"","KLF4","PAK1","CDC42","TGF","TGFR","SOSGRB2","ERK","MEK","RKIP","TrCP","SUFU","HEY1","Wnt","NFB","GLI","Frizzled","ILK","DSH","CD44","FUS","AKT","miR200","Ecadherin","Csl","NOTCHic","NOTCH","TWIST1","cateninmemb","ZEB1","RAF","PI3K","DELTA","RAS","GSK3","FOXC2","Jagged","AXIN2","SHH","LIV1","Patched","SMO","STAT","SNAI1","TCFLEF","cateninnuc","SRC","cMet","IKK","SMAD","SNAI2","Csn","Destcompl","EGR1","cfos","ZEB2"
"miR200",0.384454796411318,0.279166666666667,0.281127450980392,0.278801869585043,0.281127450980392,0.198023855577047,0.190519480519481,0.191199752628324,0.223651202020488,0.2,0.18,0.198305084745763,0.255042253521127,0.185263157894737,0.255042253521127,0.248,0.18422343962167,0.22,0.246534192944673,0.18,0.159602780536246,0.138681688567481,0.223948414726572,0.113694581280788,0.0930049261083744,0.0867902368428377,-0.00652037124429763,0.0728341998737227,0.0893906810035842,-0.154293915040184,-0.154293915040184,-0.154293915040184,-0.153545785364373,-0.101858340955962,-0.0981468396102542,-0.098880076720211,-0.151316945611092,-0.141728123280132,-0.2,-0.146075949367089,-0.16,-0.22,-0.186592851592852,-0.246534192944673,-0.246382677793158,-0.241739130434783,-0.248781383955909,-0.165263157894737,-0.180148204511952,-0.266758077414658,-0.18,-0.272782831152064,-0.171428571428571,-0.181428571428571,-0.385739247311828
"ZEB1",0.291388660805479,0.26455938697318,0.266008662335499,0.263470591269509,0.263470591269509,0.166159844054581,0.163176470588235,0.159211712878984,0.224415584415584,0.166666666666667,0.166666666666667,0.193727369349131,0.233965424819083,0.150877192982456,0.234309067430767,0.23588850174216,0.182024901096866,0.228571428571429,0.227166872064648,0.154166666666667,0.140244874481285,0.138906227104047,0.117322946692583,0.0645833333333333,0.0587009803921569,0.0570480878301734,0.00755877886089194,-0.0247079049545711,-0.0148917574179943,-0.15524345674166,-0.15524345674166,-0.15524345674166,-0.156030858316463,-0.123575744790944,-0.0944325920886403,-0.0788159306629766,-0.113174123523789,-0.134829374972247,-0.2,-0.136608734402852,-0.140530303030303,-0.223076923076923,-0.196044185374545,-0.227432829511457,-0.226845745362729,-0.230393996247655,-0.226472427620204,-0.145959160195571,-0.183467208789173,-0.244861922291836,-0.166666666666667,-0.248544352653942,-0.15,-0.162,-0.284520787440798
"Jagged",0.0833333333333333,-0.2,-0.2,-0.138666666666667,-0.166666666666667,-0.22,-0.26,-0.226666666666667,-0.0102564102564102,0,0,0.0833333333333333,-0.02,0,-0.0123076923076923,0,0.183333333333333,0,-0.0123076923076923,0,0.111111111111111,0.195757575757576,0.026,-0.1,-0.04,-0.0257142857142857,-0.038,0.00737333089445765,0.203623188405797,-0.0533333333333333,-0.0533333333333333,-0.0533333333333333,-0.0533333333333333,-0.0118773946360153,-0.0428571428571429,-0.101558441558442,0.00428571428571428,-0.163461538461538,0,-0.125,-0.1,0,-0.0583333333333333,-0.00284382284382284,-0.00394272394272394,0,0.02,-0.1,-0.188095238095238,0.129738562091503,0,0.0128803088803089,0.1,0.2,-0.105072463768116
"PAK1",0.0989461358313817,-0.123809523809524,-0.106162464985994,-0.106162464985994,-0.106162464985994,-0.158347084708471,-0.178481945467944,-0.175815278801277,0.00437571636466665,0.1,0.142857142857143,0.187731869359438,-0.111481481481481,0.15,-0.106115627822945,-0.111481481481481,0.177282812766684,-0.13,-0.107521085441878,0.192857142857143,0.155263157894737,0.184529206237179,-0.0479717345518366,0.141025641025641,0.136410256410256,0.136410256410256,0.00815782044042913,-0.0495377730880574,0.182171543204453,-0.00147988734789309,-0.00147988734789309,-0.00147988734789309,-0.002388978256984,0.0464334415584415,-0.0355233901802941,-0.136364817655078,0.0938175790810794,-0.176927632701826,0.15,-0.185927632701826,-0.18963133640553,0.13,-0.0576339344974734,0.104928492849285,0.106997458366526,0.111481481481481,0.111481481481481,-0.155263157894737,-0.17147636115378,0.20518806149962,-0.125,0.150222686730658,0.2,0.18695652173913,-0.104011729494239
"LIV1",0.0989461358313817,-0.123809523809524,-0.106162464985994,-0.106162464985994,-0.106162464985994,-0.158347084708471,-0.178481945467944,-0.175815278801277,0.00437571636466665,0.1,0.142857142857143,0.187731869359438,-0.111481481481481,0.15,-0.106115627822945,-0.111481481481481,0.177282812766684,-0.13,-0.107521085441878,0.192857142857143,0.155263157894737,0.184529206237179,-0.0479717345518366,0.141025641025641,0.136410256410256,0.136410256410256,0.00815782044042913,-0.0495377730880574,0.182171543204453,-0.00147988734789309,-0.00147988734789309,-0.00147988734789309,-0.002388978256984,0.0464334415584415,-0.0355233901802941,-0.136364817655078,0.0938175790810794,-0.176927632701826,0.15,-0.185927632701826,-0.18963133640553,0.13,-0.0576339344974734,0.104928492849285,0.106997458366526,0.111481481481481,0.111481481481481,-0.155263157894737,-0.17147636115378,0.20518806149962,-0.125,0.150222686730658,0.2,0.18695652173913,-0.104011729494239
"CDC42",0.107142857142857,-0.0571428571428571,-0.123809523809524,-0.106162464985994,-0.106162464985994,-0.165277777777778,-0.18695652173913,-0.178481945467944,-0.0017016317016317,0,0.1,0.198025987006497,-0.111481481481481,0.125,-0.111481481481481,-0.13,0.191798941798942,-0.15,-0.111481481481481,0.142857142857143,0.155263157894737,0.188082505729565,-0.0467952639636013,0.133333333333333,0.141025641025641,0.136410256410256,0.0087012987012987,-0.0455084690587534,0.185708520696414,0.00217864923747277,0.00217864923747277,0.00217864923747277,-0.00147988734789309,0.0493425324675325,-0.0300061488009838,-0.144340277777778,0.0969622331691297,-0.185927632701826,0.1,-0.18963133640553,-0.192857142857143,0.15,-0.0597819058578552,0.107521085441878,0.104928492849285,0.13,0.111481481481481,-0.15,-0.177282812766684,0.207358043416438,-0.1,0.151876822069004,0.26,0.2,-0.102404012452439
"SNAI1",0.101126821189637,-0.106162464985994,-0.106162464985994,-0.106162464985994,-0.106162464985994,-0.156460292255641,-0.175815278801277,-0.173124695841636,0.00353889628098464,0.125,0.192857142857143,0.182969964597533,-0.106115627822945,0.155263157894737,-0.103007766762616,-0.111481481481481,0.17147636115378,-0.111481481481481,-0.104928492849285,0.18963133640553,0.146929824561404,0.184817390675219,-0.0475034723249896,0.136410256410256,0.136410256410256,0.129879644165358,0.00538858967119836,-0.0490887230017016,0.181556537054391,-0.002388978256984,-0.002388978256984,-0.002388978256984,-0.00386681076929927,0.0453113293472204,-0.0346339365589473,-0.132600111772725,0.0933513786148789,-0.171296564740661,0.13,-0.176927632701826,-0.185927632701826,0.111481481481481,-0.155854575066868,0.106997458366526,0.108081609115107,0.111481481481481,0.107521085441878,-0.155263157894737,-0.170123347623645,0.205623864382624,-0.15,0.150606458660482,0.18695652173913,0.178481945467944,-0.101182701203956
"STAT",-0.0145573380867499,-0.172727272727273,-0.153977272727273,-0.146565627672607,-0.146082535885167,-0.0601395730706076,-0.16156862745098,-0.156192283364959,-0.054261583011583,0,0.1,0.199333333333333,-0.192694805194805,0.14,-0.190173796791444,-0.201785714285714,0.188486312399356,-0.214285714285714,-0.190130702630703,0.15,0.168894269572236,0.19699862865111,-0.134459863194228,0.162745098039216,0.170853206147324,0.169882332360916,0.0801688982348652,-0.0371899459182362,0.20771920387305,0.162867038875103,0.162867038875103,0.162867038875103,0.159881964248238,0.181390743213173,0.0247293796864349,-0.159442968813709,0.122249123425594,-0.178352884681347,0.3,-0.181007751937984,-0.183333333333333,0.214285714285714,0.00822335097118079,0.187922500737958,0.187088174158697,0.201785714285714,0.192694805194805,-0.163809523809524,-0.178141484813149,0.199847158501817,-0.1,0.22140398940017,0.233333333333333,0.173333333333333,-0.0896987627756859
"CD44",0.196825396825397,0.2,0.26,0.254444444444444,0.26,-0.119047619047619,-0.12,-0.1,0.0262962962962963,0,0.1,0.052046783625731,0.1,0,0.0933333333333333,0.1,0.0444444444444444,0,0.0933333333333333,0.1,-0.00666666666666667,-0.205467720685112,0.0746824449028336,0,-0.0142857142857143,-0.0195488721804511,0.189450549450549,0.057985347985348,-0.258730158730159,-0.114285714285714,-0.114285714285714,-0.114285714285714,-0.105714285714286,-0.093452380952381,-0.106666666666667,-0.0510955710955711,-0.08,-0.0436363636363636,-0.1,-0.08,-0.1,-0.1,-0.207868155236576,-0.0956589147286822,-0.0879666070363745,-0.2,-0.2,0,-0.0260770975056689,-0.333182373182373,-0.1,0.0929499072356215,0.1,0.1,-0.0873015873015873
"Csn",0.0890167348990879,-0.0477272727272727,-0.0313093622795115,-0.0212916155075881,-0.0210529520231013,-0.134654675429494,-0.0893939393939394,-0.0852272727272727,0.0611700326586786,-0.02,0.0714285714285714,0.146583610188261,0.0662373632460878,0.138333333333333,0.0658006820233804,0.0505747126436782,0.141305641821946,0.0333333333333333,0.0657929188016434,0.0936507936507937,0.148433333333333,0.1405955433697,-0.0636625345058907,0.128787878787879,0.13008658008658,0.122394272394272,-0.0436504597163784,-0.0725471022648913,0.156320926385443,-0.115124099736001,-0.115124099736001,-0.115124099736001,-0.117619301271509,-0.0953038012174542,-0.131387864794413,-0.0740177567860766,-0.0557600527226944,-0.108478606416206,-0.0666666666666667,-0.113396639203091,-0.120923520923521,-0.0333333333333333,-0.0971799427839518,-0.0670790924350839,-0.0684621351290105,-0.0505747126436782,-0.0662373632460878,-0.150833333333333,-0.132822351333514,0.0613511547111647,-0.13,-0.212715482285844,0.116666666666667,0.0984848484848485,-0.0834491315136477
