"Nature","Strength","Type","Node"
"P",0.302343158875964,"DA","miR200b,miR200b"
"P",0.181902328553439,"DA","miR200b,TWIST2"
"N",0.019535323879692,"NF","miR200b,TWIST1"
"P",0.246557175258497,"DA","miR200b,TGFbeta"
"N",0.169432794432851,"NF","miR200b,FOXC2"
"N",0.0243798978611637,"NF","miR200b,ZEB1"
"P",0.101111052043972,"TS","miR200b,SNAI2"
"N",0.242792865941258,"NF","miR200b,SNAI1"
"P",0.470771668515602,"TS","miR200b,ZEB2"
"P",0.136557909804229,"TS","miR200b,miR34a"
"N",0.270264440050284,"NF","miR200b,miR101"
"N",0.151336140861987,"NF","miR200b,miR200a"
"P",0.26970298479045,"TS","miR200b,GSC"
"N",0.0814445636333713,"NF","miR200b,miR141"
"N",0.27555767903677,"NF","miR200b,miR200c"
"P",0.239271378364828,"DA","TWIST2,TWIST2"
"N",0.152209150111541,"NF","TWIST2,TWIST1"
"P",0.130045311450283,"DA","TWIST2,TGFbeta"
"N",0.285488677695861,"NF","TWIST2,FOXC2"
"N",0.104646247383562,"NF","TWIST2,ZEB1"
"P",0.157305838675931,"TS","TWIST2,SNAI2"
"N",0.322426361864141,"NF","TWIST2,SNAI1"
"P",0.262951054863373,"TS","TWIST2,ZEB2"
"P",0.301609197859395,"TS","TWIST2,miR34a"
"N",0.209719299830855,"NF","TWIST2,miR101"
"P",0.195016669140256,"DA","TWIST2,miR200a"
"P",0.0743639744413414,"TS","TWIST2,GSC"
"N",0.0266598907761924,"NF","TWIST2,miR141"
"N",0.195847191977306,"NF","TWIST2,miR200c"
"P",0.29191469266767,"TS","TWIST1,TWIST1"
"N",0.0762705247516456,"NF","TWIST1,TGFbeta"
"P",0.264435283539712,"TS","TWIST1,FOXC2"
"P",0.157083262054545,"TS","TWIST1,ZEB1"
"N",0.021120892198105,"NF","TWIST1,SNAI2"
"N",0.506838267219037,"NF","TWIST1,SNAI1"
"N",0.185997416008594,"NF","TWIST1,ZEB2"
"N",0.106798571751251,"NF","TWIST1,miR34a"
"N",0.324116840219537,"NF","TWIST1,miR101"
"N",0.160590408239804,"NF","TWIST1,miR200a"
"P",0.268538683461641,"TS","TWIST1,GSC"
"P",0.148926820250164,"DA","TWIST1,miR141"
"P",0.0174648021512727,"DA","TWIST1,miR200c"
"P",0.226805745344212,"DA","TGFbeta,TGFbeta"
"N",0.158011259594286,"NF","TGFbeta,FOXC2"
"N",0.0318901560858934,"NF","TGFbeta,ZEB1"
"P",0.0453446029787325,"TS","TGFbeta,SNAI2"
"P",0.208882855883381,"TS","TGFbeta,SNAI1"
"P",0.187305641873926,"TS","TGFbeta,ZEB2"
"P",0.176298796285415,"TS","TGFbeta,miR34a"
"P",0.108681058305554,"DA","TGFbeta,miR101"
"P",0.168308424387045,"DA","TGFbeta,miR200a"
"P",0.22351764511283,"TS","TGFbeta,GSC"
"P",0.120750038122758,"DA","TGFbeta,miR141"
"N",0.187765375639369,"NF","TGFbeta,miR200c"
"P",0.183416144415603,"TS","FOXC2,FOXC2"
"N",0.0958513588690925,"NF","FOXC2,ZEB1"
"N",0.191149583450032,"NF","FOXC2,SNAI2"
"N",0.226816094684024,"NF","FOXC2,SNAI1"
"N",0.11666924617131,"NF","FOXC2,ZEB2"
"N",0.220293966331673,"NF","FOXC2,miR34a"
"N",0.181729180993652,"NF","FOXC2,miR101"
"N",0.148305177954034,"NF","FOXC2,miR200a"
"N",0.149397929152343,"NF","FOXC2,GSC"
"P",0.0959471818275012,"TS","FOXC2,miR141"
"P",0.174778245954393,"DA","FOXC2,miR200c"
"P",0.191753682732842,"TS","ZEB1,ZEB1"
"N",0.0913940805405489,"NF","ZEB1,SNAI2"
"N",0.241289152475682,"NF","ZEB1,SNAI1"
"P",0.0912288592671842,"TS","ZEB1,ZEB2"
"N",0.117441916070611,"NF","ZEB1,miR34a"
"N",0.206680836622893,"NF","ZEB1,miR101"
"N",0.0404127157644169,"NF","ZEB1,miR200a"
"P",0.0697842860453745,"TS","ZEB1,GSC"
"P",0.0241287078297608,"TS","ZEB1,miR141"
"P",0.0297000558069219,"DA","ZEB1,miR200c"
"P",0.083265752443955,"TS","SNAI2,SNAI2"
"N",0.293732828932494,"NF","SNAI2,SNAI1"
"P",0.101402161812586,"DA","SNAI2,ZEB2"
"P",0.107224606061643,"DA","SNAI2,miR34a"
"N",0.235734247252549,"NF","SNAI2,miR101"
"P",0.106957040949794,"TS","SNAI2,miR200a"
"P",0.108070257873028,"DA","SNAI2,GSC"
"P",0.0428151773255972,"TS","SNAI2,miR141"
"N",0.093525911971115,"NF","SNAI2,miR200c"
"P",0.329283326223884,"DA","SNAI1,SNAI1"
"P",0.135811057544999,"DA","SNAI1,ZEB2"
"P",0.404336032979164,"DA","SNAI1,miR34a"
"P",0.336916859104916,"TS","SNAI1,miR101"
"P",0.26652237056164,"TS","SNAI1,miR200a"
"N",0.11669794120651,"NF","SNAI1,GSC"
"P",0.216638682645436,"TS","SNAI1,miR141"
"P",0.213134881865521,"DA","SNAI1,miR200c"
"P",0.201839312477556,"DA","ZEB2,ZEB2"
"P",0.164161397662546,"DA","ZEB2,miR34a"
"N",0.180405844456174,"NF","ZEB2,miR101"
"N",0.334701086358916,"NF","ZEB2,miR200a"
"P",0.227835138877169,"DA","ZEB2,GSC"
"P",0.223072151081038,"DA","ZEB2,miR141"
"N",0.464244470845615,"NF","ZEB2,miR200c"
"P",0.139852137747452,"DA","miR34a,miR34a"
"P",0.184390061149995,"TS","miR34a,miR101"
"P",0.248285800917961,"TS","miR34a,miR200a"
"N",0.0838436455328338,"NF","miR34a,GSC"
"N",0.114428538234144,"NF","miR34a,miR141"
"P",0.173894638541264,"DA","miR34a,miR200c"
"P",0.192434202352772,"DA","miR101,miR101"
"N",0.113003551176801,"NF","miR101,miR200a"
"N",0.0577875517220135,"NF","miR101,GSC"
"P",0.171332688618691,"DA","miR101,miR141"
"P",0.250963845852638,"TS","miR101,miR200c"
"P",0.131312933207899,"TS","miR200a,miR200a"
"P",0.140080983523372,"TS","miR200a,GSC"
"N",0.104250888664962,"NF","miR200a,miR141"
"P",0.209825497764896,"TS","miR200a,miR200c"
"P",0.0203295772894832,"DA","GSC,GSC"
"N",0.158684817681787,"NF","GSC,miR141"
"N",0.25021780101731,"NF","GSC,miR200c"
"P",0.0400763553471804,"DA","miR141,miR141"
"P",0.110064476459365,"TS","miR141,miR200c"
"P",0.248772199197576,"TS","miR200c,miR200c"
