"","miR200c","miR200b","miR200a","TGFbeta","TWIST2","SNAI1","TWIST1","miR101","SNAI2","FOXC2","GSC","miR34a","miR141","ZEB1","ZEB2"
"miR200b",0.280622754650213,-0.0257190024640495,0.0100238849790178,0.0234215036375348,0.04910727126615,0.080098679793922,0.0824109547910263,0.0189445768854205,0.117636558420945,-0.0435136143653964,-0.0229735659426819,-0.247935156443778,-0.266684476819571,-0.266841837601562,-0.297632382824484
"miR101",0.231997245723656,0.0488805382894482,0.0423349598242036,0.084130785887678,0.04008316379367,-0.0401482013458233,-0.0237031567511133,0.0403359139118822,-0.0598856476951583,0.113636284005817,-0.0837789148132397,-0.0839969859630712,-0.181399199211119,-0.181545477303161,-0.282794635394701
"miR200c",0.265920993054321,0.0340846174867479,0.00672524687813368,0.195147746668255,0.0990441039210334,-0.0122860587614089,-0.0209139316901183,-0.0253709019507826,-0.0613606186866474,-0.0384226653013583,-0.194470464873637,-0.151852314011602,-0.25487312888558,-0.255234133032499,-0.277742507225324
"GSC",0.206712749959934,0.0430339314764531,0.0383328963087808,0.0748758216763331,0.0532704577356823,-0.0366551082535645,0.0882117861698133,0.0453957877107109,-0.0479050968868846,0.0644778710866303,-0.0747704489281235,-0.0706888951613284,-0.160553052781928,-0.16058056837,-0.267829077449257
"TWIST2",0.142621123926491,-0.0106538213775463,0.0173252131084618,0.0605116914278484,-0.039799890741392,0.124282748657501,0.196400837306259,-0.0253838528190037,0.0784048497917233,-0.157423259868884,-0.0604137892507982,-0.121108132263392,-0.126177782494117,-0.126239788316507,-0.162836361065154
"FOXC2",0.251570838873101,-0.177157677403334,-0.16377458689695,0.117794399412542,0.115098800978385,0.0973139220230946,0.0813675545849646,-0.00391635623043398,0.0912177769312357,-0.13162044792368,-0.117334998294482,-0.22139666800614,-0.213802815959314,-0.21398969990972,-0.104273733305385
"TWIST1",-0.0251314672801511,0.0888013235715677,0.117842611901396,-0.0279277291362532,0.0574336877596824,0.0496160582181625,0.120840174801651,-0.0411411890598033,-0.030480926823416,-0.243496773628952,0.02812690569491,0.0402608046562847,0.135965534988389,0.135850155259441,-0.0920319078552621
"miR34a",0.111106179497345,0.0126857565424171,-0.0877420401741815,0.0209010289230977,0.00296672593249747,-0.106838558709946,-0.0714495138450414,-0.00268484870015609,-0.106482878769128,0.146173584916654,-0.0207766485497139,-0.00119844931117648,-0.101508929128196,-0.10155705527532,-0.0263753958281945
"TGFbeta",-0.0459694160625226,0.105048163152446,0.0217450601844753,-0.117449174576537,0.0488255582073579,-0.0252487382062189,-0.0317546019659757,-0.0243032017782778,-0.0751499292659571,0.00900071140176498,0.0171523429317029,0.0952368450212863,0.0716520840086795,0.071843794942478,0.0275712815607452
"SNAI2",-0.0320079422235527,0.00377361241236542,0.00198398770524388,-0.0138354329099884,-0.0168571288592555,-0.0875048176171637,-0.136116169179133,0.0393839319149469,-0.108646483696267,0.0994667804955257,0.0140278935838574,0.0516375523269501,0.0347238356324582,0.0345975700460266,0.030750684580427
"ZEB1",-0.251723056445838,0.177280384714107,0.163824940238502,-0.117807196136581,-0.115001085409918,-0.0976090529506993,-0.0811704101916316,0.00346723492027957,-0.0910016615115892,0.131430735576954,0.117794399412542,0.22137801560483,0.21398969990972,0.113984185931786,0.104392493578445
"SNAI1",-0.0640332745182536,-0.064405361037892,-0.0606584853583446,-0.00716812466303419,0.00517960566670423,-0.0426381968104726,0.043418614499831,-0.0381116905111335,0.0808748188646951,-0.150001365783482,0.00676408506001598,-0.0730328473166097,-0.0121633346416975,-0.0119469352797665,0.127685037401234
"miR200a",-0.0361246615867516,-0.121236159629663,-0.177902186836116,0.0993463441810605,0.0639848799975859,-0.0142921279140308,-0.0183899262509334,-0.0227448807915534,-0.0584717800928005,-0.0240072738817469,-0.0993977077034036,-0.0725734845101062,-0.144707881841315,-0.144712510099609,0.215520194053177
"ZEB2",-0.394011159869633,-0.17760448454623,-0.171817369221271,-0.150017863479102,-0.09450056669038,-0.0018391744642311,0.00600616503869922,0.00677857706306687,0.0128540785692498,0.0330323174931652,0.149563710132575,0.193565659634144,0.241974106661501,0.242161733259687,0.259289878726346
"miR141",-0.265920993054321,-0.0340846174867479,-0.00672524687813368,-0.195147746668255,-0.0990441039210334,0.0122860587614089,0.0209139316901183,0.0253709019507826,0.0613606186866474,0.0384226653013583,0.194470464873637,0.151852314011602,0.25487312888558,0.255234133032499,0.277742507225324
