"","miR200b","miR200a","ZEB1","miR141","SNAI2","SNAI1","GSC","TWIST1","FOXC2","TWIST2","TGFbeta","ZEB2","miR101","miR34a","miR200c"
"miR200c",-0.0762440990840681,0.288824781738358,-0.313794932355445,-0.311598360969189,-0.22464872038723,-0.130918923083841,0.0348255551494487,-0.0395803138197683,-0.0299119991865387,-0.000651772977872576,-0.0367403394823799,-0.263351920011291,0.17834041770776,0.285510425523288,0.031045768734834
"miR200a",0.0117094566109305,0.282698801064125,-0.316348706991907,-0.315901617240722,0.169253035625777,0.0862373457934696,0.201160020272942,-0.0855388329623701,-0.0100422125264806,-0.175890047277583,-0.201455061901285,-0.245586154280566,-0.127427874152466,0.186326108489891,0.040439383090008
"miR101",-0.0525565730650101,0.179727885179296,-0.197355021811129,-0.196395178386653,-0.169631276691364,-0.0419435284523921,0.0863200343444421,-0.0511483014529813,-0.0604605096941574,-0.0111965930081845,-0.0869569209891755,-0.160241034417139,0.157259026175165,0.146070628468347,0.0259795060031943
"miR141",0.175825037747998,-0.116956103863573,0.36595642697904,0.364512410391362,-0.140152634239706,-0.0673195218218811,-0.164222617044199,0.090322141540003,0.0140518226474321,0.175939530608081,0.165356198037306,-0.135950375796155,0.103198660298515,-0.227472011545192,-0.258186066134803
"miR34a",-0.130481434389872,0.156474948894614,-0.15199776427149,-0.151052227027986,-0.206756441627404,-0.1073133909533,0.0913056337432271,-0.0798067037971449,-0.0714191035438477,0.0104157381995057,-0.0919797146936145,-0.0676275516656902,0.162572636428448,0.140216346454523,0.0969704577974212
"SNAI1",0.0527295835585043,0.0562677538493019,-0.0621139825965239,-0.0630840700218661,0.175634567181982,-0.0668351017677186,0.00272445709082392,-0.00114683050237748,0.0452027216416424,-0.06472876645934,-0.00173755368364795,-0.0451945468961994,-0.155635869874926,-0.0374317432123407,0.000309899543208105
"TGFbeta",-0.128947906118254,-0.0156090633050341,0.0559529681399755,0.0565820686674159,-0.275158333496525,-0.11834252595155,0.00755761717257434,0.0410005675605884,-0.0284984158204075,0.183076939231268,-0.107923817082234,-0.023778233708242,0.198227709813133,0.0862521611528596,-0.036201069959948
"GSC",-0.129331301151163,0.101267530645991,-0.226827974331152,-0.22566052723724,0.0155124228672108,0.0968483771313522,0.056772990142022,-0.0215889385903186,-0.0379660736842919,-0.0471169781530341,-0.0578513256311851,0.0293003386198917,-0.106826911327393,0.0890730780783146,0.140199953425266
"ZEB2",-0.244086549763697,-0.12857632861001,-0.111160446201663,-0.109683819897111,-0.0829931943473116,-0.0532932270258277,-0.0301788159508629,-0.0119627997663328,-0.00937198854349929,-0.000250832844986593,0.0289254542012308,0.0611262589134633,0.0683304873576428,0.102378276300647,0.233541172395036
"SNAI2",0.324424102469813,-0.20722530196896,0.318880060300288,0.315092427629318,0.237666490492446,0.0106995134914479,-0.30316385221694,-0.104864714646996,0.0713033129244794,-0.238773592688734,0.306587941450263,0.094020559863753,-0.274861714551692,-0.206501274956924,-0.119017874033834
"TWIST2",-0.184331514209229,0.123588458749678,-0.337585398882077,-0.335146063443771,-0.0928422046798995,0.0060700750224985,0.0831846391208423,0.137761945962819,-0.0879991729783228,0.0212607618810669,-0.0854046983148754,0.0962099984195969,0.0308787992360259,0.194249795819534,0.223935988023381
"TWIST1",-0.0988060147354961,0.0435935425789342,-0.20976893085099,-0.208894378433591,0.0652877152050106,-0.0419041325462214,0.0284171539674773,-0.15131584761891,-0.12542570524238,-0.156555191324343,-0.0290547863062646,0.150706890154653,0.00593468337029643,0.165229111117001,0.179557575835096
"FOXC2",0.29694418662446,-0.434642605304049,0.500308630739311,0.496108547442465,0.120571423346393,0.0947757929957663,-0.203496294382292,0.156309402739534,0.104393647762601,0.185660404462852,0.207027594542805,0.156435775388338,-0.109212427987565,-0.43233578835348,-0.300929300890513
"ZEB1",0.297783762961324,-0.437932935726149,0.403832563909898,0.500308630739311,0.120785383001255,0.0950285943879377,-0.207027594542805,0.157489282063269,0.10405586724282,0.188985374752038,0.21029075917266,0.15819052505886,-0.108367511116483,-0.435007558317145,-0.302191607073556
"miR200b",-0.0117094566109305,-0.282698801064125,0.316348706991907,0.315901617240722,-0.169253035625777,-0.0862373457934696,-0.201160020272942,0.0855388329623701,0.0100422125264806,0.175890047277583,0.201455061901285,0.245586154280566,0.127427874152466,-0.186326108489891,-0.040439383090008
