"","ZEB2","TWIST2","TWIST1","TGFbeta","miR141","ZEB1","miR200a","miR200c","miR101","miR34a","GSC","miR200b","SNAI1","SNAI2","FOXC2"
"ZEB2",-0.0937476306326173,-0.0186799658873399,-0.0172197996566402,-0.00843230865048441,-0.00196874988348049,-0.00194734950225509,0.0033251909372998,0.00353759972815548,0.00549011647424109,0.00694222149413779,0.00798069247349146,0.0187559200777227,0.03410263539273,0.0438654022966709,0.0468263218183404
"GSC",-0.071393759444104,-0.0282636162738035,-0.20975171625689,0.0460430563353964,0.0691584746437777,0.0690135264566127,-0.0699900830931049,-0.00519281146554531,0.167392407476426,-0.0323994089794359,-0.0458367276607584,-0.0573311365429346,-0.151820715767176,0.0871041697191148,-0.0803064174334903
"miR34a",-0.0705318449357328,-0.190336441476922,0.0776322609309932,-0.0244855830753075,-0.0543752464736409,-0.0543993095472031,0.0457724495256278,-0.100196383273646,0.0142026205315632,-0.00276316293295601,0.0243818316418995,0.0576729469723593,0.0267161560934919,0.0801321152866124,0.118346730167485
"SNAI1",-0.0608752940986871,0.00361775637466612,0.041577126729818,0.0172908182563419,-0.0808197104166171,-0.0806577200371145,0.00325607938978043,-0.0727139908249296,-0.129079618827365,0.0390953600141728,-0.017219843684271,-0.0247428470477802,-0.0380867533838828,-0.088102029933625,0.152329453541808
"ZEB1",-0.0247760887639104,-0.0881427441144173,0.0888787732939374,0.0111497393542206,0.00888817714954258,-0.0909870064408591,-0.0137403225200497,-0.00381215462516169,0.00146256307178277,0.00337371465570689,-0.0109705852176796,-0.0145208542663814,0.0605578868012033,0.0702123218267527,0.0799590785947103
"miR200b",-0.0243865974995946,-0.0783679744661643,0.0212854625629228,-0.0891061852885202,0.0105672970726614,0.0103108915631827,-0.017501846169061,-0.00640998251004206,0.00793891309188207,0.0939210190490584,0.0894991759594712,-0.0204974812518542,0.0533723838431481,0.068196505387296,0.0618553792260959
"miR200c",-0.00433615056032977,0.010204846425215,-0.0493496634012592,-0.10687924348563,0.00267712851515081,0.0026919389416911,-0.00327374689837696,-0.000670703665384031,0.00677094761294643,-0.0128735909945828,0.107234010139953,0.0250668715052632,0.0137867302695163,0.0267108666596497,0.0392572034838524
"miR200a",-0.00170503978009345,0.00249692612110293,-0.0555776088254583,-0.12218791091514,-0.00403573646040295,-0.00394594824950248,0.00138693536567982,-0.0026040459986396,0.00886084346401887,-0.0138782936223948,0.122521176560111,0.0680044395219908,0.022888541916145,0.041069301255545,0.0580786870648352
"miR141",0.00170503978009345,-0.00249692612110293,0.0555776088254583,0.12218791091514,0.00403573646040295,0.00394594824950248,-0.00138693536567982,0.0026040459986396,-0.00886084346401887,0.0138782936223948,-0.122521176560111,-0.0680044395219908,-0.022888541916145,-0.041069301255545,-0.0580786870648352
"SNAI2",0.00253331160899688,-0.0925456863297631,0.0424859645360145,0.00178486384805592,0.0402677853682907,0.0397516705972266,-0.0179910620141846,0.0220331483151198,0.0728823979171407,0.00901261204339353,-0.00183019902901173,0.00672741971391538,-0.0572269165876812,-0.0153188421408942,-0.0234472292270575
"TWIST1",0.00486366952577052,0.076795774883689,0.0570514548944729,-0.000379619322909278,0.00281241622320089,0.00241493953898095,0.0205817696496446,0.00376396501519916,-0.103543116479172,0.0183589202584562,0.000433089539998359,-0.0200111547583896,0.06779009839428,-0.101820319209881,0.250424410558916
"FOXC2",0.0245862500231839,0.0883249704448016,-0.088708512226968,-0.0109705852176796,-0.00920107427793719,-0.00888817714954258,0.0140522817280553,0.00378495224524283,-0.0018950941488444,-0.00353114092276451,0.0109263055918424,0.0146389485203578,-0.0607248533020792,-0.0699918948775372,-0.0796583151181929
"TWIST2",0.0269657093524423,0.0986452385635814,-0.0683928631502519,-0.0315544920544208,-0.125075592288311,-0.125394416552377,0.0741221894921416,-0.0500022221346148,-0.0700206306023157,-0.0401187111934345,0.0316116488167449,0.02669846441402,0.0527991833395918,-0.0759424004630082,-0.00680440637799252
"TGFbeta",0.0809284010300002,0.0901647864886553,0.026676043190884,0.0590605170310689,-0.00756237217018447,-0.00771266601190215,0.045998009335384,0.0374583671850594,-0.019628697027324,-0.0589135195090501,-0.158652373519421,-0.0501023741553205,-0.00721286763610848,-0.0498447209596615,-0.0483732781965624
"miR101",0.0998891040980169,0.0243525811720303,-0.0622690545311996,-0.0545892962966448,-0.0101191419435579,-0.0098228350391638,0.0556933113802954,0.0443557311223626,0.122255339546838,-0.0198477538502592,0.0546455956685549,0.0851257622286312,-0.0611662804164085,0.0772805552296597,-0.146587183705736
