"","miR200b","miR200c","SNAI2","FOXC2","miR34a","miR141","TWIST1","miR101","ZEB1","SNAI1","TWIST2","TGFbeta","GSC","ZEB2","miR200a"
"miR200b",0.0367911365866648,0.11764726417653,-0.162958960398543,-0.119845199190513,-0.107972221337504,-0.00730797916833773,-0.0625985942285191,0.0223175888040122,0.0070302836707074,0.118730483808656,0.140578034622865,0.0571147325778351,0.0573357151739625,-0.245929780708506,-0.11764726417653
"SNAI1",0.104566501657355,0.115667596416198,0.0726874066720163,-0.150532545040267,-0.0512072272778672,0.0570597338443998,-0.0446699807026923,-0.119129822666927,-0.0564055894874769,-0.0405389936785428,0.0110233475125343,-0.0258519735173362,-0.0262964567312552,-0.20011148624192,-0.115667596416198
"TWIST2",-0.0502579040606537,0.0383154045842465,-0.247241371768704,0.00615590500908277,0.0120122416521663,-0.0535663067503716,-0.081649406567216,0.183613121321125,0.0539853957485159,-0.0813420534878267,0.181063328857099,-0.0314932587437161,-0.0319159924214991,-0.128232138342025,-0.0383154045842465
"SNAI2",0.277065232273004,0.0364991952603889,0.294051110337648,-0.0972131368228008,-0.0794431900370184,-0.0344475468014729,0.0733890310997094,-0.379920674872374,0.0348457690356035,0.162221486808223,-0.321231551612134,0.212977740682621,0.212893057986119,-0.112289729212842,-0.0364991952603889
"ZEB1",-0.0239942106566067,0.000289075832216153,-0.152969446305937,-0.122247860786325,-0.0279540255505028,-0.0149327083331492,-0.0993038281480773,0.0302222373077241,-0.084664270006943,0.0948347538974276,0.144284690993939,-0.00336935056523986,-0.00361632733918573,-0.0220708314447973,-0.000289075832216153
"TGFbeta",-0.117694522664273,-0.00809783216156707,-0.151249859174621,-0.106391366082124,-0.108369242108848,-0.0178718167561098,-0.0513354655672574,0.0300080052325116,0.0177698428551531,0.0920955676537617,0.168872818834995,-0.0994332928760683,0.000653820758828771,-0.00453253957314479,0.00809783216156707
"FOXC2",0.0244887303451331,0.000139795732036447,0.152473081464305,0.122866353884188,0.0290470562672773,0.0157026702088233,0.100543448197065,-0.0297328254314872,-0.0149327083331492,-0.094002273033905,-0.144105105624865,0.00361632733918573,0.00301855239038405,0.0223003556633043,-0.000139795732036447
"miR34a",0.0956217830248093,0.0330485604941226,0.246204410185307,0.11697792751682,0.0477667579014888,0.0718752948151234,0.114745686920445,-0.113996842818276,-0.0712293664287176,-0.00986502759937528,-0.316097841430179,0.0138795293718116,0.0134202320905845,0.122747923145583,-0.0330485604941226
"GSC",-0.110503095075076,-0.129309443531177,0.0496490285522401,-0.134457455485046,-0.10607327267653,-0.121498309196613,0.0425413779587977,-0.11706527441163,0.120887561411373,0.0946531017912282,0.0292344079978915,0.0581265883535325,0.0586711193817055,0.139842492997457,0.129309443531177
"ZEB2",-0.288173051825676,-0.281993290204408,-0.0728945804505559,-0.0600897140688973,-0.0587819547882829,-0.0450294465364885,-0.0208857123809157,0.00872549359457307,0.0451026059792823,0.0558914459400963,0.0667280281545578,0.0913185062552482,0.0913514894591859,0.213764715803676,0.281993290204408
"miR200a",-0.174180775574496,-0.128601725139431,-0.18888764435793,-0.144809881289083,-0.132644764223286,-0.0308200148734767,-0.0712539483002559,0.0258405523189575,0.0304784494113914,0.138719724441997,0.165755902760306,0.124624584567808,0.124905292189916,0.226379873401586,0.128601725139431
"miR141",-0.0936040733281898,-0.121601807018541,0.0513637485750521,0.0600511587517412,-0.0246446043072151,-0.0153924608317941,-0.0186776757368015,0.00250292223640861,0.0150027614834529,-0.055832241445439,-0.000917906796724668,-0.0514077906175057,-0.0511127489891626,0.229207532435687,0.121601807018541
"TWIST1",-0.0579493614428312,-0.140880861831848,0.139924861543212,0.186340848655412,-0.0135346737401077,-0.0791643780272595,0.107046810100793,-0.0590288056363672,0.0792196047289809,0.0133133488305641,-0.120329659758832,0.0594698650991998,0.0594351094580919,0.231294415539724,0.140880861831848
"miR200c",-0.0367911365866648,-0.11764726417653,0.162958960398543,0.119845199190513,0.107972221337504,0.00730797916833773,0.0625985942285191,-0.0223175888040122,-0.0070302836707074,-0.118730483808656,-0.140578034622865,-0.0571147325778351,-0.0573357151739625,0.245929780708506,0.11764726417653
"miR101",-0.113626357073173,-0.12814651169629,-0.0446985907975971,0.161687526778373,0.0258892227738789,0.0121433753428327,0.063541965701972,0.108895281415033,-0.0112851423412676,-0.0692710946367917,-0.0441920901325038,0.0272062385894406,0.0265024964405639,0.27802306712728,0.12814651169629
