"","miR101","ZEB2","TWIST1","miR200b","ZEB1","GSC","TGFbeta","miR141","FOXC2","miR200c","miR200a","miR34a","SNAI1","TWIST2","SNAI2"
"miR101",0.361748394781937,-0.143025023809973,0.327879546665681,0.039137961898148,-0.112389594213333,-0.0727266124737248,0.0727406873167023,0.111909161039235,0.15154525244773,-0.125550777862962,-0.125550777862962,-0.0725003678256164,-0.364284822972413,-0.157898692562801,-0.263640097166007
"GSC",0.372750451388884,-0.125588025559824,0.44704917739125,0.0557852851052451,-0.125755937820553,-0.0691350650539965,0.0693590610157594,0.125303404666726,0.182207767971081,-0.125161500484177,-0.125161500484177,-0.0636095914367018,-0.377200252419939,-0.173189505948945,-0.272648158330115
"ZEB2",-0.103941762094507,-0.0816509015610192,-0.0306033327713455,-0.00976043997246544,-0.00185092832988202,-0.00149684371428799,0.000446455527349339,0.00151499211297174,0.0041913596744505,0.0115904423092985,0.0115904423092985,0.0634340885373284,0.0736091593274003,0.104654314665022,0.135130666645437
"TGFbeta",0.227955593839825,-0.0595918884643534,0.136023426989159,0.143567382456891,-0.0383564614280494,-0.01297219634795,-0.086403489268621,0.0381892242304805,0.029338687941238,-0.0474212727977602,-0.0474212727977602,-0.106149073110245,-0.199274230369566,-0.239800621549314,-0.261852684065966
"TWIST1",0.34290312440333,-0.0594068617363221,0.341047719737981,0.131881821403369,-0.170073274008747,-0.0277800170427706,0.028877493248524,0.169812178756947,0.0591067970506745,-0.106535585508242,-0.106535585508242,-0.0228643001604132,-0.372979091437902,-0.228970755623498,-0.318390073327322
"miR141",0.162451703188409,-0.016617035667226,0.0588590968974742,0.0117972194781991,-0.00397209298540786,-0.0907551809782325,0.0898700560932032,0.00328896206123724,-0.00754438469218937,-0.00935272465860061,-0.00935272465860061,-0.108096884914275,-0.110969992980904,-0.172582160818597,-0.216547699176263
"miR34a",0.0326497745802884,-0.00247070233308607,-0.0249011230549633,0.00036995838150147,-0.0546287498427967,-0.0411093115914047,0.0407652936806309,0.0545098499499009,0.0986357742289448,-0.0741722938809391,-0.0741722938809391,-0.0264148050136269,-0.0960948899425399,0.152871700671548,0.0388856944897725
"miR200c",-0.128895373133368,0.00916280488681556,-0.0460547600230231,-0.0485117997335975,0.0218244674207226,0.0850672916937733,-0.0854220583480968,-0.0214384706790164,0.00638743099814323,0.0146282367752983,0.0146282367752983,0.0785117570395241,0.0864474092245875,0.135926194643528,0.173829098005395
"miR200b",-0.128895373133368,0.00916280488681556,-0.0460547600230231,-0.0485117997335975,0.0218244674207226,0.0850672916937733,-0.0854220583480968,-0.0214384706790164,0.00638743099814323,0.0146282367752983,0.0146282367752983,0.0785117570395241,0.0864474092245875,0.135926194643528,0.173829098005395
"miR200a",-0.162451703188409,0.016617035667226,-0.0588590968974742,-0.0117972194781991,0.00397209298540786,0.0907551809782325,-0.0898700560932032,-0.00328896206123724,0.00754438469218937,0.00935272465860061,0.00935272465860061,0.108096884914275,0.110969992980904,0.172582160818597,0.216547699176263
"FOXC2",-0.0402755542368898,0.0173206198659176,-0.00688129102217925,-0.000265066758718834,0.00439140732737637,0.00369146591522428,-0.00423389133172951,-0.00494138009571502,-0.0928386433493335,0.00901801482620686,0.00901801482620686,0.0171720102749936,0.112472108218202,-0.0565045711256599,-0.0341477735320465
"ZEB1",-0.0406322442483844,0.0177373173826136,-0.00717103353965341,-0.00035732789463794,-0.0954045754890633,0.00423389133172951,-0.00440024874423191,-0.00439140732737637,-0.0927445583643716,0.00855673191566797,0.00855673191566797,0.017457765063065,0.112929502364968,-0.0559869427089162,-0.0340168108213879
"TWIST2",-0.170251309870111,0.0960911210460779,-0.31306424848177,-0.0143822175011552,0.134514158038276,0.0687973772516489,-0.0685613933913604,-0.134059008916472,-0.0564924576930148,0.113425888827351,0.113425888827351,0.0483367314305213,0.295583639728715,0.0145149982592261,0.0594042956829449
"SNAI2",-0.395058859128714,0.140218599294445,-0.337629600177943,-0.222085088948874,0.135456580946255,-0.120504272389754,0.119324702304131,-0.134983336188621,-0.0854030775413392,0.136154654328258,0.136154654328258,0.0199717866642174,0.284597096657621,0.274266207568998,0.215445575580777
"SNAI1",-0.418352570792474,0.161065121528495,-0.412097389537361,-0.0814448505371039,0.135852235396945,0.0619984269415975,-0.0625198323174257,-0.135492085030303,-0.163368326708634,0.146560165245003,0.146560165245003,0.144755092228151,0.319845240900101,0.255924784354738,0.324061023845217
