"","SNAI1","FOXC2","ZEB2","miR200c","TGFbeta","miR200b","miR34a","GSC","ZEB1","miR141","miR200a","TWIST2","miR101","SNAI2","TWIST1"
"TWIST2",0.0581896866644238,0.100311941138462,-0.125981979345399,0.119524380174642,0.0810867775317466,-0.0196992262653273,0.0951495934385679,-0.0817392700759016,-0.114656637404375,-0.11452602939551,-0.119524380174642,-0.124470137837773,0.0746138499296739,-0.19896874862887,-0.147526624111566
"SNAI1",0.122708320305663,0.263232724214811,-0.102590924485359,0.098378202016788,0.0925698557864714,-0.0840312916026113,0.203421874851386,-0.0923831014655474,-0.094965467989506,-0.0952053621393039,-0.098378202016788,0.0944346129182316,-0.173613533877422,0.0304626260890943,-0.257711015285954
"ZEB2",-0.11197860585977,-0.110254763449793,-0.0833154685969806,-0.014696296496336,-0.00728346104247086,-0.00698486510209732,-0.00500656172528735,0.00399528932683682,0.00432667874587232,0.00554052827630815,0.014696296496336,0.0258574179827928,0.0310903667653404,0.0520305561763946,0.0733125061625082
"TGFbeta",0.160014397604963,0.180095906212209,-0.0288856189317855,0.0668808640137581,-0.0389986197125696,0.0648263396293868,0.189204128547308,-0.0622532354852106,-0.10841616450081,-0.107773885807707,-0.0668808640137581,-0.06550874218022,-0.00435042440513237,-0.148220010091031,-0.120102912644885
"miR200c",0.177176019116524,0.186693814177383,-0.0137312319123799,0.0145916300775616,0.101190260295369,0.0178100070144702,0.0239450235848082,-0.101040947730418,-0.0153744958406041,-0.015430960591789,-0.0145916300775616,-0.0316468951905188,-0.0531251487304323,-0.0715207367482949,-0.117667053092676
"GSC",-0.0700070946540685,-0.21860566099734,-0.0131377402721484,-0.0583114271163097,-0.0593886077449617,0.0286747778708806,-0.11676884429598,0.0606461400035351,0.137495565008119,0.136979156381982,0.0583114271163097,-0.00991143500930967,0.0402377276001235,0.0857033889019485,0.199581828886899
"SNAI2",0.173088595836129,0.205189862234532,-0.00497666179643767,0.00807152029689056,0.204778853944794,-0.196389662692126,0.0759354410022868,-0.203729301736629,-0.010106200615424,-0.0105653786499009,-0.00807152029689056,0.206506873854604,-0.26211373648721,0.0581623293835807,-0.263694877064055
"FOXC2",-0.0380071772564777,-0.0351607846405313,-0.0045047068839683,0.00749186849419069,-0.00353118198836349,0.0211624612877109,0.00912411799490988,0.00460496291491466,-0.0109274477048881,-0.0118255585751266,-0.00749186849419069,-0.0251992784807684,0.0974497487767376,-0.149048337938882,-0.0281528512970301
"miR34a",-0.156483771415855,-0.174837438312797,-0.00420936193954,-0.0761246183504666,-0.0890353472052978,0.116382529117232,-0.0964238404585067,0.0886779811568926,0.0628908599085323,0.0632220810387418,0.0761246183504666,-0.0841038780708372,0.172486070200079,-0.173685247674185,0.108233171498422
"miR101",-0.197505713810478,-0.213581056797217,-0.00337893352546524,0.000642123539078958,-0.00153655347829961,0.00153744937844956,-0.100622467078549,0.00296163132977483,0.00231537847020113,0.00143395919763628,-0.000642123539078958,-0.0754487709546153,0.201331547920029,-0.104578788573928,0.213548410244006
"TWIST1",0.241588166939675,0.159887071031898,0.00250495245706261,-0.0350111294823907,-0.0085117642779478,-0.0429011599277951,0.0694108230721561,0.00791958162368622,0.0556933117634204,0.0561110123102425,0.0350111294823907,0.178579141397511,-0.221173473104606,0.201120148717486,-0.24660501760504
"ZEB1",0.0384010771000936,0.0375406720470247,0.00433856096579739,-0.0068986251023433,0.00169613176122164,-0.0213386800573164,-0.00782367257556659,-0.00353118198836349,-0.0897683160562464,0.0109274477048881,0.0068986251023433,0.0235830101590993,-0.097756668088954,0.149912260676272,0.0267877757250126
"miR200b",-0.141431369904589,-0.142392263529411,0.00546259021061378,-0.0168451923656762,-0.0983705401913236,-0.0416811952536956,-0.0273057248521425,0.0988734249100785,0.0291733451594325,0.0285716715812334,0.0168451923656762,0.0209895878102168,0.0426575376921236,0.0571969278416603,0.0884084219962675
"miR200a",-0.141431369904589,-0.142392263529411,0.00546259021061378,-0.0168451923656762,-0.0983705401913236,-0.0416811952536956,-0.0273057248521425,0.0988734249100785,0.0291733451594325,0.0285716715812334,0.0168451923656762,0.0209895878102168,0.0426575376921236,0.0571969278416603,0.0884084219962675
"miR141",-0.157709935683267,-0.202431261530317,0.0175217241814125,-0.0176320922342063,-0.10908779674428,-0.00381420808750963,-0.123218970759432,0.108011551776113,0.0156886980802668,0.0165236358764753,0.0176320922342063,0.0367148930127851,-0.0108787111867718,0.178603536852862,0.141115196429273
