"","miR200c","miR200b","SNAI1","miR101","TGFbeta","FOXC2","SNAI2","TWIST2","GSC","TWIST1","miR141","ZEB1","miR34a","ZEB2","miR200a"
"TWIST1",0.2683819504704,0.00818192915143539,0.219686066289369,0.0684244242095852,-0.0326955380142211,0.214212332408214,-0.0494784227965688,-0.176669105232291,0.0325631992269257,-0.0835628899529527,-0.264125555307862,-0.264465990328332,-0.251104767474999,-0.273633701910045,0.0220902984230956
"miR200c",0.237207531751631,0.0256665764111334,-0.126902297444206,-0.0720453569491274,-0.12118842354955,-0.0716488112373546,-0.0166367103041516,-0.0582837714459338,0.121266066083324,0.156210462557339,-0.233745535097698,-0.233845505476845,-0.121150604331931,-0.241666892211346,-0.0016922199303608
"FOXC2",0.33871138815437,-0.173528532569483,0.0729609946137332,0.081909784982234,-0.104187269199071,0.0756377342973859,0.0906496784600738,-0.135635089473856,0.10420940901199,0.0470574943290597,-0.287706535070306,-0.28806855597995,-0.271729830827281,-0.210708106836199,0.161214599498767
"SNAI1",0.197393620651421,0.000666239917187728,0.0935868721806148,0.133984083497936,-0.0261401015944642,0.0870533023138323,-0.0279499412460659,-0.11394909021551,0.0260659549744795,-0.155533875336459,-0.199882387846273,-0.200093531795129,-0.261559085977973,-0.192502782041218,0.0192975725124466
"TGFbeta",0.121110370823937,-0.0511026581841778,0.183788778792163,0.116705314281662,-0.0912372551447465,0.0717779116993135,0.0463642105779242,-0.0052805574503821,-0.00889018887667699,-0.15826932864379,-0.0712435720832425,-0.0713875906079783,-0.190781448539836,-0.171202298710941,-0.0411359055081957
"TWIST2",0.154211905076945,0.0183745627328389,0.0987405733379651,0.0343670687455344,-0.0120399370237448,-0.0245534963601663,-0.0383697605269592,-0.113573895468643,0.0120280529444497,-0.158264319513081,-0.150804969416918,-0.150898198029307,-0.131945947695433,-0.158380053143508,-0.00182678488823882
"miR101",0.113710358441817,-0.00317479381940197,-0.176637593537403,-0.104318646638876,-0.0154837535962697,-0.0724278668939486,0.0692160479894784,0.0251508469292705,0.0154995877946194,0.178199741113847,-0.100363018083859,-0.100383817532845,0.0272908827900406,-0.130327665862464,-0.013455864537978
"SNAI2",0.104485958841889,-0.00248640921776858,-0.0248430809198529,0.000316536986349354,-0.0141910748169327,-0.0376352904900975,-0.0778540634329679,-0.00832359233389032,0.0140807306972478,-0.035566474575914,-0.100300869840327,-0.10050751670194,-0.0505157252350921,-0.109617579015335,-0.0032872440297121
"miR200a",-0.084316852086944,0.170592839904255,-0.171041702378453,-0.12414341101647,-0.00976722038138895,-0.0904556004045755,-0.0758890782451552,0.074203559406972,0.00982575090684973,0.114525243335675,0.248831400645984,0.249045226179159,0.246298163698191,-0.0754804663887181,-0.168243233866666
"miR34a",-0.194883074695293,0.102474581865414,-0.0986380420326359,-0.0914291640813285,0.074760752617575,-0.092921597933126,-0.0893329276769163,0.0696313966962293,-0.0747346630758408,0.00101055952670697,0.197349198340268,0.1974959359065,0.16308817949074,0.0886736276355702,-0.116482391434042
"GSC",0.000146210662388395,-0.0935457538826495,-0.0745860936916999,-0.099466409075324,-0.0405578835881809,-0.053825698669241,-0.0207005809792125,-0.0130454104363717,0.0406052066786942,0.194086953522139,-0.0981711063954803,-0.0981534178031483,-0.00415391745151457,0.0969422307080516,0.0975533300267482
"ZEB2",-0.251937601902405,-0.165030235480262,-0.0650406413116582,-0.0506464399941182,-0.0440512719340986,-0.0408746394381726,-0.0360516959216288,0.0226846758375476,0.0440918666466373,0.0478542956075146,0.0894860388454003,0.0897284106048601,0.090482877517091,0.123870974725375,0.168481168655855
"miR141",0.0111105901287613,-0.124249363364565,-0.150084342289404,-0.0892081316833146,-0.163524304240327,-0.0879162993124708,-0.0282781266724637,-0.0497768176240111,0.163800233860357,0.175176626040538,-0.193259410611051,-0.193145555457022,-0.084666409648182,0.168471241769096,0.181189748274594
"ZEB1",-0.339053443612498,0.1736004962555,-0.0731150270898934,-0.0819323002985742,0.104443203679844,-0.0757379887895584,-0.0907030336384903,0.135888621759608,-0.104187269199071,-0.0471799628158271,0.28806855597995,0.188351272666751,0.271945452586426,0.21110881169767,-0.161264952840319
"miR200b",-0.237207531751631,-0.0256665764111334,0.126902297444206,0.0720453569491274,0.12118842354955,0.0716488112373546,0.0166367103041516,0.0582837714459338,-0.121266066083324,-0.156210462557339,0.233745535097698,0.233845505476845,0.121150604331931,0.241666892211346,0.0016922199303608
