"","miR200b","miR200c","miR200a","TGFbeta","miR101","miR141","TWIST1","TWIST2","ZEB1","SNAI1","FOXC2","miR34a","SNAI2","GSC","ZEB2"
"miR200c",0.0436566827221796,0.120082931565109,0.120082931565109,-0.0855884589891886,-0.114659924132524,0.00108256889484451,0.00529190623262642,0.0264000037170779,-0.00116495189247485,0.0845401670761498,0.0925448718079236,0.100628183430148,0.144859119024953,0.0857138815437474,-0.244804228197104
"miR200a",0.166310123517886,0.102152811854716,0.102152811854716,0.156196350649112,0.134372013889099,0.0212383503148089,-0.0055259291819046,-0.0298680130051238,-0.0211457851489322,-0.101168549090719,-0.113628901884641,-0.12358626435034,-0.167764352407437,-0.156247714171455,-0.227795499198334
"miR141",0.166310123517886,0.102152811854716,0.102152811854716,0.156196350649112,0.134372013889099,0.0212383503148089,-0.0055259291819046,-0.0298680130051238,-0.0211457851489322,-0.101168549090719,-0.113628901884641,-0.12358626435034,-0.167764352407437,-0.156247714171455,-0.227795499198334
"TWIST1",0.0845749668102554,0.0465349879190574,0.0465349879190574,0.0332440551430092,0.0749231673067954,0.0293428222789984,0.0179732956019068,-0.136713185229404,-0.0292803357291634,-0.0267412413220157,-0.0519629177562022,0.020177523198012,-0.155275194452888,-0.0333108929143706,-0.106421643574417
"TGFbeta",0.189161245771095,0.0480638589620266,0.0480638589620266,0.133677931884255,0.207973866293183,0.00811953588539643,0.07386622962915,-0.17034080647599,-0.00821899965956032,-0.138478533706196,-0.154291169959529,-0.119863610544569,-0.275370227359709,-0.233485959244389,-0.105543136390696
"miR34a",0.18092160775824,-0.0563831351858017,-0.0563831351858017,0.0884808930078961,0.218245678842166,0.0933816456963953,0.159237180329586,-0.273412522614982,-0.093379758396508,-0.121200813377193,-0.185833104055174,-0.104262826690544,-0.292188556294232,-0.0883953435803492,-0.0967351302457195
"ZEB1",0.0310887819898984,0.0377265206095745,0.0377265206095745,0.00832681147512291,0.0939625426094964,-0.00844212678158987,0.0993502423428504,-0.112805734553239,-0.0915177715607079,-0.0713903180616062,-0.0902506551251741,0.00942843793653295,-0.113905824081108,-0.00834984557839247,-0.0766853658208575
"SNAI2",-0.280702617640423,0.0534026772937223,0.0534026772937223,-0.237401405141675,-0.406885965595616,-0.0708781287676784,-0.239918284450021,0.367874035912241,0.0708690858742204,0.126124779711302,0.174599958653118,0.0904866800819577,0.37828760288709,0.237323565491355,-0.0368530708470884
"FOXC2",-0.0309780686267955,-0.0378104428454944,-0.0378104428454944,-0.00834984557839247,-0.0938949966604758,0.0085991092999312,-0.0993562164153756,0.112692173216913,-0.00844212678158987,0.0712586261735914,0.0902429432411608,-0.0095127467904548,0.11378025078241,0.00803988819753234,0.0766951391101617
"SNAI1",-0.0890423322543104,-0.00592157598661161,-0.00592157598661161,-0.0432817638780256,-0.110303028870676,-0.0816309488874188,-0.00762772383117023,0.00574466826974181,0.081599416408966,-0.0838134042987309,0.0970265250876862,0.095466488666464,0.105614585398183,0.0433344991745923,0.0871054853135929
"miR101",-0.0101113736725321,-0.123405899632681,-0.123405899632681,0.0103658797156765,0.0803916410315938,0.093882849388411,-0.0206151475269162,0.0357927091277372,-0.0938913737527491,0.0080861905983655,-0.0711845495990069,-0.0606690681833232,-0.0701114553752294,-0.0103957887570037,0.159746055115407
"GSC",-0.031584799029227,-0.128226158544627,-0.128226158544627,0.00303908221989069,-0.108908327067839,0.0935213967472935,-0.00217201416675253,0.00727855999777926,-0.0935213967472935,0.0995161396958996,0.13287519061163,0.0047275853078304,0.0171416239175269,-0.00308514336132363,0.174148371542501
"ZEB2",-0.285841454046558,-0.243008229577184,-0.243008229577184,-0.0986656642746236,-0.0556611757946871,-0.0422806042134925,0.000766717301701406,0.00908206102676591,0.0423537636562863,0.0458733700092396,0.0512416886360332,0.0552638750405538,0.0655758012711856,0.0984753765595985,0.214321683218901
"TWIST2",-0.158981721585405,-0.111638719420021,-0.111638719420021,-0.0584363190607906,-0.194662236289556,4.61710793675827e-05,-0.232301249590024,0.197297432264488,0.000101587476116634,0.0633360060033363,0.124324559511218,0.0365959331804327,0.285400748302228,0.0581414807125644,0.225265593741469
"miR200b",-0.0436566827221796,-0.120082931565109,-0.120082931565109,0.0855884589891886,0.114659924132524,-0.00108256889484451,-0.00529190623262642,-0.0264000037170779,0.00116495189247485,-0.0845401670761498,-0.0925448718079236,-0.100628183430148,-0.144859119024953,-0.0857138815437474,0.244804228197104
