"","miR200c","TGFbeta","SNAI1","SNAI2","ZEB1","miR141","FOXC2","TWIST1","TWIST2","miR34a","miR101","GSC","miR200b","miR200a","ZEB2"
"miR141",0.15540332882941,0.0393850117345688,-0.0223240938333329,-0.0416604902733347,0.00848454901137609,0.00825776435497799,-0.0213149898511234,0.0226366246446156,-0.0223278051160177,0.0718505521981498,0.032269744957391,-0.0393432042163826,-0.16947403219084,-0.15540332882941,-0.327940125867129
"TWIST2",0.205985059820152,0.180274979698242,-0.0456459771900001,-0.0870780562787466,-0.124884808868942,-0.124904158203588,0.126612630500555,-0.204652159989562,0.0587155347935742,0.0977330318972101,0.0657582582181399,-0.180481536314562,-0.167846541138156,-0.205985059820152,-0.297144277381201
"miR200c",0.10250636100373,0.15933084477364,0.0705470644386752,0.0762898880536606,0.0251542505087278,0.0253190165039884,0.0234756384063728,-0.0231014218142093,0.0201260946581247,-0.113559100199702,-0.0733156751592666,-0.15942282131365,-0.0361263609544804,-0.10250636100373,-0.234542554029165
"GSC",0.0319561085776695,0.0293246301551314,0.0909252159259863,0.027897648507275,0.00616706516727702,0.00578332098363012,-0.218386910322397,0.185183399289276,0.0170748113638348,-0.0689386369292294,-0.110255730031954,-0.0295536739132158,-0.041938605191646,-0.0319561085776695,-0.0834454488752873
"FOXC2",-0.00265643730358953,-0.00772967562307976,0.142619133680421,-0.0559165613214428,0.0184408598795032,0.0178716647619799,-0.109739476227476,0.0876198389104383,-0.00111838236158658,-0.044321059547634,-0.0424345076585869,0.00754702216650147,0.00508532223290123,0.00265643730358953,-0.0210374362408299
"ZEB1",0.00294871819420702,0.00659204685604412,-0.142503903278408,0.0567578485285956,-0.11836917816636,-0.0184408598795032,0.110283935238813,-0.0875063315324587,0.00245999070702432,0.0449276356382399,0.0434713972268853,-0.00772967562307976,-0.00559275848045631,-0.00294871819420702,0.0212231287376092
"SNAI2",-0.0641251026914498,-0.058769104699336,0.052079326527668,-0.0362800567564496,0.0408883552210768,0.0405785523896464,-0.0948494057624614,0.124444535277505,-0.0604928239457405,-0.0456292866564774,-0.0560434477115552,0.0582464670471851,0.0582788257488781,0.0641251026914498,0.0899916888889246
"miR101",0.00110494351872423,0.0131869429987618,-0.144843428185926,0.0505287186598165,-0.118019179969077,-0.118050890604415,0.168704237134588,-0.136238816433138,-0.0796548789122326,0.131639054933022,0.0983284006330205,-0.0133576004698644,0.0114515400405845,-0.00110494351872423,0.119943938006155
"TWIST1",-0.0885623283319357,-0.0815787973249261,-0.197879211345019,0.0890427193757492,0.043017931434999,0.043206428205663,0.0753717737711077,-0.0787397056208415,-0.121992909008962,0.0675855354437686,0.0378353516249186,0.0818514954320805,0.088770108334616,0.0885623283319357,0.148700405925324
"miR34a",-0.0297812678280879,-0.0157081926193948,0.167137105423899,-0.0693976175815119,0.0137637502751079,0.0133914803723511,-0.182942287995388,0.112264088174022,0.0170033009498449,-0.0984383643799934,-0.0424710172824812,0.0154248480614912,-0.00255709396779378,0.0297812678280879,0.149491640941882
"TGFbeta",-0.119854090585985,-0.191601754328301,0.0790000010644778,0.0229176865883722,0.0928020643642541,0.0925927825429061,-0.004050199834246,0.00969305164004156,-0.00603057959790003,-0.14020720429357,-0.0521424391234131,0.0919808599616495,0.155647497755355,0.119854090585985,0.15411134874796
"SNAI1",-0.159642456416435,-0.129309759591155,0.0243808261110567,-0.066037128811931,0.138888006965458,0.138700666946415,-0.165319450558231,0.130229199251159,0.109259708499484,-0.198046108099376,-0.0809237625848075,0.128905719988136,0.0867168447101452,0.159642456416435,0.184468063472138
"miR200b",-0.10250636100373,-0.15933084477364,-0.0705470644386752,-0.0762898880536606,-0.0251542505087278,-0.0253190165039884,-0.0234756384063728,0.0231014218142093,-0.0201260946581247,0.113559100199702,0.0733156751592666,0.15942282131365,0.0361263609544804,0.10250636100373,0.234542554029165
"miR200a",-0.102760126625102,-0.169898242386883,-0.167349616159711,-0.0464647331114818,-0.0411518342365973,-0.0408232278977347,0.0248510775611928,-0.0461259374024873,0.0036754122031157,0.0519321887405749,0.105929402599699,0.170147892995481,0.0685557529709616,0.102760126625102,0.251802814618087
"ZEB2",-0.309683585723414,-0.275401644293484,-0.136011297144361,-0.103643186406024,-0.0678511910918059,-0.0677879853146983,-0.00566842629574957,0.000978704018522282,0.00635908826369713,0.102252653817582,0.11999128475531,0.274206637443126,0.276203281914259,0.309683585723414,0.365772933338045
