"","ZEB2","miR200b","SNAI2","miR101","SNAI1","FOXC2","miR200c","GSC","TWIST1","miR200a","TGFbeta","miR141","ZEB1","TWIST2","miR34a"
"TWIST1",-0.0974988931611353,0.0969517895840785,0.0571324829357111,-0.0162586171668251,-0.0205608001467242,-0.0537600234850688,0.123171147867445,0.0547563415500837,0.0296805264290163,0.02537611450842,-0.0544769596657933,-0.14076807788901,-0.140667736416869,-0.107786560056717,-0.0514899171563525
"ZEB2",-0.0894651537039369,-0.0187292747727363,-0.014885304212556,-0.0141723205354199,-0.0134813884598469,-0.0100690394879549,-0.00710310142904801,-0.00568393822168788,0.00425672940461735,0.00478721838069293,0.00599854724386274,0.00847105559291425,0.00876319568080512,0.0336351325566836,0.0468919691314967
"TWIST2",-0.0706424230266984,-0.00316322044471255,-0.0531302256010253,0.00550784765405507,0.0294192116483132,-0.0458282712149658,0.0071900068686955,-0.00811858443511297,0.0641107519510512,-0.063123107663211,0.00773885980620749,0.0570258732477814,0.0570412647639777,0.0779752293145974,0.00562930621943337
"GSC",-0.0656843790272359,0.0114326818907194,0.0538260437925751,0.0967540746018828,0.0485886012909449,0.0434177235784207,-0.00496771498281309,-0.00814366505101363,0.0562698521847871,-0.0756221466528533,0.00781492731558126,0.083501598725392,0.083597411933857,-0.0199732874242155,0.00936469491921803
"TGFbeta",-0.0201099314016477,-0.0632288714120905,-0.104787659864663,-0.106785868431511,-0.109207673951089,-0.00650968986701166,0.0559603954277073,-0.174628412437896,0.0440594277638688,0.0384196086440458,0.0744461190907967,-0.0951067730061854,-0.0951616820297775,0.121373735431848,0.0554755189839314
"FOXC2",0.00060636423640729,-0.0076898976482451,0.0620185789888289,0.0634648232712478,0.0646035694874185,-0.0919817345472687,-0.00869285881126797,-0.00568432211092517,-0.00184213668552861,-0.00818480890024233,0.00515850155410888,0.0145213850651081,0.0145395395060047,0.0208026872838223,0.0070689382446292
"ZEB1",0.000614360564019794,-0.00779046228639692,0.0622390059380445,0.0631484238258355,0.0647799425517241,-0.091838293504622,-0.00873973950857493,-0.00515850155410888,-0.00188096815694268,-0.00815760652032347,0.00529798584613012,0.0145395395060047,-0.0856033226495596,0.0211460122541115,0.00717861436433285
"miR200b",0.00428797418046649,0.0666063010838844,0.0873049752896683,0.086452069655349,0.0856671341990364,0.0209854326415284,-0.00234156201407699,0.11792355327719,-0.0239712331520173,0.00160553432351642,-0.117774240712239,0.000402160817747181,0.000451220355661873,-0.0921087880508741,-0.100760338673856
"miR141",0.00428797418046649,0.0666063010838844,0.0873049752896683,0.086452069655349,0.0856671341990364,0.0209854326415284,-0.00234156201407699,0.11792355327719,-0.0239712331520173,0.00160553432351642,-0.117774240712239,0.000402160817747181,0.000451220355661873,-0.0921087880508741,-0.100760338673856
"miR200a",0.00494165106876109,0.0287770304089525,0.122342612246346,0.124227635858528,0.125681654479264,-0.0121125507221912,-0.00864907185671905,0.107041938807761,-0.0253370212942685,-0.00413755894456438,-0.107346536440261,0.0114266592842362,0.0114914549003499,-0.0534500493701143,0.0012377676087316
"miR200c",0.00994329464328833,0.0181787785838913,0.0819828569287017,0.081241076606772,0.0812113157245044,0.0170131128921144,-0.0152128448475076,0.107095586172388,-0.0224146071996083,-0.00614213874015831,-0.106843546562751,0.0212681303384154,0.0209848809308325,-0.0787493540030844,-0.0767119390254162
"miR34a",0.0125738157298247,0.0516889174837438,0.0740881869434464,0.0845994940738322,0.101714910971109,-0.0880798838754719,0.039909813213468,0.0287746184716728,-0.0346753142360188,0.0509341990461588,-0.0285264644584338,-0.00956283034846761,-0.00948922565286549,-0.00680792815490505,-0.0466345532642831
"SNAI2",0.0261431435868761,0.00572787759199027,-0.0242613007543467,0.0467466031615217,0.0227980774351427,0.0259074047504953,-0.0138927302046827,0.00143507073834251,-0.0915248436841549,0.0118619201287495,-0.0017250448203051,0.00190485387066852,0.0018114106382695,-0.090417267534177,-0.00939076509410192
"SNAI1",0.102307834242378,-0.0548245307457039,0.0489100379996735,0.0934134127705961,-0.070341390335183,-0.0348080469473611,-0.104658356557738,-0.0335628188892414,-0.0302223774283225,-0.00258530749018755,0.0337186457430061,0.106450051100487,0.106506314934589,-0.0318914639677305,-0.00958946772585255
"miR101",0.103905983214013,-0.0953009988434638,0.050025384176764,0.0938968890372604,0.0353406153569759,-0.0552697449866314,-0.110278959227029,-0.0434035490153604,-0.0355503819736639,-0.00687720702916104,0.0430763089161327,0.11537036841506,0.115260233627811,0.0145942772562735,0.0381946653741538
