"","ZEB2","FOXC2","miR34a","ZEB1","TGFbeta","miR200c","TWIST2","miR101","GSC","TWIST1","SNAI1","miR141","miR200b","miR200a","SNAI2"
"TWIST2",-0.148785876174765,0.0883712936373576,0.0234298611549497,0.0824674328309772,0.0510011649125128,0.0315747709567599,0.104089533705729,-0.0324058359582975,-0.0514069213341599,0.175135703306608,-0.0299330509233853,-0.0828469436446167,-0.0523488764883011,-0.116057736444571,-0.116545408035095
"TGFbeta",-0.0959110705886708,0.0736879954524893,-0.0108419328979838,0.102557597575879,0.12925263851716,-0.00294499306530163,0.0668779081436422,-0.00465740878424139,-0.228649295934725,-0.0252196087977075,-0.0286142962699296,-0.101998780598637,-0.0754949265986103,-0.0991263816631437,-0.0412563232545614
"ZEB2",-0.0788684276110974,-0.0179192096939569,-0.0127069616743225,-0.0117098673508024,-0.00947235474335776,-0.00771776128618876,-0.00263053629510298,0.006045516482574,0.00841181787828444,0.010053455572176,0.0106159275963449,0.0107189799317382,0.0147559795122858,0.0162175938749395,0.0230980375910961
"miR101",-0.0157207993723973,-0.0916139518559118,0.0148527078136766,0.0157784265924588,0.0155152960845582,-0.00188502550437532,-0.0129507931887286,-0.0968298214810835,-0.0167873100186527,-0.0205883556124315,0.00654577521795477,-0.0169408089136091,-0.0163173975163149,-0.0170297388017923,-0.084798865286737
"TWIST1",-0.015197368050373,0.0473770539669756,-0.00256097939302476,-0.0627997799192207,0.00241977700138243,0.0446388150937375,0.0945914451277824,-0.0492359027469035,-0.00236630678429334,0.0143109741600059,-0.023364476725748,0.0628420426064535,-0.0590456209295776,0.0110449692814426,-0.0896844149170238
"ZEB1",-0.00582739704629481,-0.0801939468504737,0.0152896123591044,-0.0908347622976944,0.00737255211266118,-0.00466348435675975,-0.0122243232055225,-0.0826590483959044,-0.00620549088033665,-0.0853933349508145,0.0677620648398717,-0.00810605266824424,-0.00511040293157983,-0.00601900074961864,-0.0958121555885498
"FOXC2",-0.00454176526237335,-0.0813800346117137,0.0170809889809307,0.00810605266824424,0.00620549088033665,-0.00462933668835097,-0.0114822130774358,-0.0831247599391516,-0.00813165460425319,-0.0864597068965699,0.0665733103864519,-0.00984353945287918,-0.00496186250275007,-0.00793647914687756,-0.0963365453723805
"miR141",0.0251071969635609,-0.0837246936730068,0.0844140412791976,-0.0147458296221389,-0.116255262678387,-0.0040047222763243,-0.0463720269575915,-0.0236531146671959,0.116072504098887,-0.0152203397674833,0.0703204962740015,0.0146514131529446,0.0637117499064615,0.0195773750597915,0.0226272215319505
"GSC",0.0313859808716525,-0.0310298687365518,-0.0802355134447265,-0.106798976403324,-0.0369948552117402,0.0337571127892085,0.0430060034472333,0.0614343872089676,0.0377211069074843,0.14265275153906,-0.03085253602453,0.107471142911939,-0.0265692605891812,0.0750199641777928,-0.00523284647499473
"miR200c",0.0341819283690065,-0.0599673936592659,-0.0394006792158504,-0.0322324491570077,-0.132250097951093,-0.000350721623833679,-0.0150854848941512,0.0294890577422741,0.133730084094886,0.0533147180516944,0.0286927362387922,0.0336440679366285,0.0353178572626055,0.0349561220658978,0.0861890042743694
"miR200b",0.0341819283690065,-0.0599673936592659,-0.0394006792158504,-0.0322324491570077,-0.132250097951093,-0.000350721623833679,-0.0150854848941512,0.0294890577422741,0.133730084094886,0.0533147180516944,0.0286927362387922,0.0336440679366285,0.0353178572626055,0.0349561220658978,0.0861890042743694
"miR200a",0.0341819283690065,-0.0599673936592659,-0.0394006792158504,-0.0322324491570077,-0.132250097951093,-0.000350721623833679,-0.0150854848941512,0.0294890577422741,0.133730084094886,0.0533147180516944,0.0286927362387922,0.0336440679366285,0.0353178572626055,0.0349561220658978,0.0861890042743694
"SNAI2",0.0504529292809029,-0.0855140737808982,-2.90170568979168e-05,-0.029995294846432,-0.0206734327711649,-0.00969199605611507,-0.0927636353140689,0.0131297924486343,0.0202739699502902,-0.107958324841631,0.051822360573572,0.0296848221710417,0.0249005393005747,0.0399452533083756,-0.0152308242452617
"miR34a",0.0957995513260189,-0.121337854358696,0.0451137481409492,0.0189124464513857,0.0233903786967091,-0.0889838904935132,-0.0368626034277264,-0.0715960456049417,-0.0243908822855379,-0.0692483093599987,0.0760546007369921,-0.0197834353493441,0.00549882023800581,-0.0134977127301814,-0.0722370913498448
"SNAI1",0.102329304222247,-0.0823437812409678,0.00972848550281086,-0.080671170884134,-0.0239263181934335,-0.0131227730815621,-0.00199181574682973,-0.0778311863758987,0.0243565271917404,0.0023497402697164,-0.0999357568412966,0.0810659451486854,-0.0112684441196989,0.089359464956946,-0.0549554683352341
