"","ZEB2","GSC","ZEB1","TWIST2","miR101","TWIST1","miR141","TGFbeta","miR200c","miR200a","SNAI2","SNAI1","miR34a","miR200b","FOXC2"
"SNAI1",-0.122202652866157,0.0263540873236584,0.0967882553378739,-0.0609102223672951,-0.101646215197492,-0.0391226452203423,-0.0966163724161115,-0.0263283144343589,-0.107747975739478,-0.107747975739478,-0.08332469847527,-0.0758467547380523,0.00933588832399382,-0.102492452852943,0.105357987309907
"ZEB2",-0.0817542594363186,-0.00521950379985266,-0.00395854260293107,-0.00310037663976849,-0.000856176439312232,0.00275305995038381,0.00398292908386234,0.00527278436005969,0.0119616043634084,0.0119616043634084,0.020080103510224,0.0219066804322853,0.0229735205351183,0.023146095891657,0.0234425169428629
"GSC",-0.044696210685789,-4.85219686241298e-05,-0.0681274274432533,0.0671183922349712,0.160630891552919,0.0291041106486512,0.0681667354262133,3.6533452360761e-05,0.00567776912593377,0.00567776912593377,0.112534098817773,-0.108172624892724,-0.0219679574717059,0.0296309443805656,-0.14527406931447
"miR34a",-0.0269950232819467,0.0171971056127924,0.0241421737671088,-0.15520940401425,-0.00664491522774207,-0.0763676596939982,-0.0240199710994104,-0.017161308334599,-0.0652752677120632,-0.0652752677120632,-0.0531320820769469,-0.0145257244558315,-0.0203449380837447,-0.0659568035744747,-0.0402672385001839
"miR200c",-0.0243017860837455,0.116799970957571,0.00133429341227422,0.0157409152445719,0.00393670327567122,-0.0139743968860895,-0.00120655348336427,-0.11674144043211,-0.0127312227573029,-0.0127312227573029,-0.0719151687655691,-0.08046765114583,-0.0967650233434884,-0.0750934982691479,-0.0905471907098607
"TWIST1",-0.0242508950213765,0.0224428078450639,-0.00275830526524816,-0.168490369551385,-0.144839462410357,-0.147373782942843,0.00269530015483365,-0.022461522421045,-0.00949026035153983,-0.00949026035153983,-0.19848684279185,0.0270698356695842,0.0101497637183801,-0.0726442787991557,0.0266311083032575
"ZEB1",-0.0142067641139656,0.000904560151692289,-0.083583000299717,0.0889689668099459,0.00227798886963619,0.0126644609844589,-0.0165302868832919,-0.000944229996212092,-0.0140439678884017,-0.0140439678884017,0.0755581092544892,0.0668920978135044,-0.00813220665831707,-0.010844044993172,0.078275528981942
"miR141",-0.000265265973735362,0.109188316072077,-0.00610429692918102,0.0148614104612749,0.00355542666179009,-0.0130180010328956,0.00629035291259334,-0.109189510572597,0.0028366103458761,0.0028366103458761,-0.0656840903294726,-0.0733164909773788,-0.0861594986349083,-0.0244619227069662,-0.0811826063987283
"TGFbeta",0.0124434139948274,-0.199566253841609,0.0763135395075748,0.0644525402272318,-0.00801459987688564,0.0289488480718422,-0.0764450073983466,0.0995323763169273,-0.0312625313688967,-0.0312625313688967,0.0805665722962467,0.0994960146900537,0.062216423098366,0.0751866529431375,0.0916980226541335
"FOXC2",0.0142029140303004,-0.000976514543677677,-0.0165302868832919,-0.089254190631417,-0.00213460185504863,-0.0123448481043586,0.0162536986366906,0.000904560151692289,0.0139947720949314,0.0139947720949314,-0.075514455017603,-0.0667780432319201,0.00775841253606177,0.0107490160231754,-0.0786472417913813
"miR200b",0.0243017860837455,-0.116799970957571,-0.00133429341227422,-0.0157409152445719,-0.00393670327567122,0.0139743968860895,0.00120655348336427,0.11674144043211,0.0127312227573029,0.0127312227573029,0.0719151687655691,0.08046765114583,0.0967650233434884,0.0750934982691479,0.0905471907098607
"miR200a",0.0243017860837455,-0.116799970957571,-0.00133429341227422,-0.0157409152445719,-0.00393670327567122,0.0139743968860895,0.00120655348336427,0.11674144043211,0.0127312227573029,0.0127312227573029,0.0719151687655691,0.08046765114583,0.0967650233434884,0.0750934982691479,0.0905471907098607
"TWIST2",0.103182098319553,0.00500445629000083,0.023753358891391,-0.12178228897178,-0.0759841049438192,0.0891733826037197,-0.0236425399747778,-0.00497219950334269,0.0400739238115379,0.0400739238115379,-0.153345204032346,0.0111848266072729,-0.0142442830033879,-0.0255566304360423,-0.0275634426010826
"miR101",0.130961821915878,-0.0238062436657087,-0.104561194521297,0.00965010340539097,0.0997556093936786,0.022158592183955,0.104575174478812,0.0237657784921483,0.116305933435599,0.116305933435599,0.0818328009539435,-0.0177150384112312,0.032535635602028,0.131275247988376,-0.0991684325821723
"SNAI2",0.146208695066315,-0.219439675521922,-0.0639960326862071,0.195644419884513,0.230768657031871,0.18864706797897,0.0640626821602122,0.21945763851815,0.104532984235799,0.104532984235799,0.100958780463407,-0.0571810515004905,0.0141505690171545,0.279061615986212,-0.0844852684781781
