"","ZEB2","SNAI1","miR101","FOXC2","miR200a","miR200c","miR200b","miR141","ZEB1","GSC","miR34a","TGFbeta","TWIST2","SNAI2","TWIST1"
"miR34a",-0.0985374824396971,0.228923665798204,0.0846885294342691,0.197256605414455,-0.0227443210406086,0.101040511340369,0.056240102184753,-0.0345400363630759,-0.0345490010375403,-0.016004855459249,-0.108111591055783,0.0160212372645239,-0.0866193145273452,0.0172169106660773,-0.090293722567306
"SNAI1",-0.0876498460215123,0.183917688085757,0.117212499952779,0.307591818163331,0.117451366969889,-0.0282241561247414,-0.0678530044067599,0.138441834180036,0.13848882375577,0.0649698924453951,-0.106439371434747,-0.064909227029044,0.134849440754509,0.147892110002952,-0.306450949217553
"ZEB2",-0.0874555380116826,-0.0385717461924146,-0.0255656927710453,-0.0162232965819264,-0.00725909440083919,-0.00633130971556432,-0.00562829903863199,-0.00265493113647749,-0.00255489679633087,-0.00120247813457337,0.00085042764127451,0.00125829586431407,0.0066838044735949,0.0125486714155938,0.0284558790086788
"ZEB1",-0.004220005408232,0.128718222723817,0.0911603096901308,0.115815983714579,0.00354373911210627,0.0032485370921211,0.00538150667363327,0.00455012122616144,-0.0952714263970634,0.000225728464226669,-0.0351943604601808,-9.13628618208847e-05,-0.0578002394488628,-0.0583297324752498,-0.0373139149100391
"FOXC2",-0.00403312827032497,0.128622981269092,0.0907254085797702,0.11585145838104,0.00381634168533565,0.00328847250093815,0.00525141847198733,0.00476477079205672,0.00455012122616144,-0.00103624087213244,-0.0350324576168088,-0.000225728464226669,-0.0574014542910654,-0.0582569754137728,-0.0373019667649886
"miR200a",-0.00254845990105009,0.069976213418357,0.038549272837813,0.0258190082946808,0.00680701516125625,-0.00371840657299869,0.0181841380014155,0.0106209864316551,0.010565447332129,0.0894935633149033,-0.0830607295321515,-0.0893179717385209,0.0489546259024498,-0.00654387709294565,-0.0821769004803284
"miR141",-0.00254845990105009,0.069976213418357,0.038549272837813,0.0258190082946808,0.00680701516125625,-0.00371840657299869,0.0181841380014155,0.0106209864316551,0.010565447332129,0.0894935633149033,-0.0830607295321515,-0.0893179717385209,0.0489546259024498,-0.00654387709294565,-0.0821769004803284
"miR200c",-0.00229667203666004,0.157224204188189,0.0965641426308242,0.0797897849071302,-0.000150182258423753,0.00187499038461847,-0.00822987822164093,-0.0033115265831818,-0.00355312166612019,0.0909509878994301,-0.0245723396391789,-0.09186478079693,-0.0124390612572426,-0.0376922974779369,-0.11442924556555
"miR200b",0.00254845990105009,-0.069976213418357,-0.038549272837813,-0.0258190082946808,-0.00680701516125625,0.00371840657299869,-0.0181841380014155,-0.0106209864316551,-0.010565447332129,-0.0894935633149033,0.0830607295321515,0.0893179717385209,-0.0489546259024498,0.00654387709294565,0.0821769004803284
"miR101",0.00646383174483342,0.222525803441895,0.088420781542167,0.248663512521825,0.00807830615949969,-0.0142255058166884,-0.0383963309261961,0.019866245811176,0.0198509019553674,0.0113590137673755,-0.0563601532167854,-0.0111725220979232,0.112362469450499,0.146690222401466,-0.251334121781341
"TGFbeta",0.0138196620961878,-0.145616930383829,-0.0615047816418416,-0.0952473048604747,-0.0164921230409391,0.00457575862591445,-0.0568323489989225,-0.0187947181909997,-0.0187059224557051,-0.0213098665727244,0.105119892714151,-0.0783707167659863,-0.0182429029903875,-0.0230972621719827,0.132725177849007
"SNAI2",0.0216068757991559,-0.0752419605831701,-0.0307487547919384,-0.0500756713409819,-0.0121740653806336,-0.0094410690514351,-0.00375438882962656,-0.00260547850937115,-0.00265404219646025,-0.00496788086305585,0.0268341875507747,0.00501663756710266,-0.0210953242116395,-0.114662394997608,-0.0165310411265645
"GSC",0.0610065387320587,-0.151026143060758,-0.114603842674516,-0.173044235302754,-0.0802433463026436,0.0131881201336799,0.0132047805432962,-0.0947549876175015,-0.0947205931324115,-0.0375732019745186,0.0176512833562475,0.0377997218344423,-0.0172289408923442,-0.0171299220124427,0.0404575312356532
"TWIST2",0.0660574367139685,-0.0784799218755348,-0.000948747483625147,-0.0240898167095172,-0.0081544880126698,-0.0577042480913091,-0.0119842015770854,0.0514797085367206,0.051342504163771,-0.00578233845272356,0.0625998209514823,0.00535168205541049,-0.117125340481125,-0.0838353584484974,0.0271039963173583
"TWIST1",0.0872569344286061,-0.250254417245449,-0.0481718483723141,-0.356393052834032,-0.114732802546868,0.0257512456915382,0.0554910126694217,-0.1339405499444,-0.133968811495985,-0.0595455900548541,0.0147262694237934,0.0596003970273704,-0.117950033905324,-0.118390871734163,0.244317378395888
