"","miR200c","miR200a","TGFbeta","TWIST2","FOXC2","miR141","ZEB1","TWIST1","miR101","SNAI1","miR34a","ZEB2","SNAI2","miR200b","GSC"
"miR200c",0.244281840357336,0.244281840357336,0.188772368169313,0.144975394069033,0.0342283939473236,0.231742375995064,0.231751632511652,0.0117698453295886,-0.0466011237061426,-0.0118855407742317,-0.208612176553602,-0.258571465155833,-0.103847255164743,0.0282489009464909,-0.188666057623068
"miR200b",0.230181488428861,0.230181488428861,-0.00518260222104492,0.009704765942566,-0.0354741084499913,0.251470610308655,0.251463205095385,-0.075646204349423,0.0192941053217534,0.0740324292249998,-0.142469754577754,-0.20622422599145,0.112736230626539,-0.0124697653341034,0.00495923062387828
"TWIST1",0.00425962401566845,0.00425962401566845,0.0830383127737706,-0.200597197104379,-0.0796835650064908,-0.138290016207105,-0.138303239501883,0.163690518422657,0.178890093881968,-0.0355099920236136,0.0431327903558118,-0.171000838885276,0.256566625722983,-0.173267132514716,-0.0833003168375071
"miR141",-0.0236481916552894,-0.0236481916552894,-0.0281897201162784,-0.108366520693071,-0.00577476564334035,-0.199871209109603,-0.19992582255747,0.0151328690577956,0.0352048958170275,-0.00732966726710466,0.177205386243793,-0.149686034647146,0.063193921491757,-0.17468939872657,0.0276510003819353
"miR34a",0.233887129141436,0.233887129141436,0.0338828081190922,0.0141787583155357,0.0511398824699021,0.221772092509059,0.221836732530197,0.0506045706819627,0.0324863480273059,-0.0769682627790365,-0.167188274402066,-0.149534622466096,-0.0230551562754099,0.0821015385580462,-0.0335679134176961
"TGFbeta",0.0433275039214816,0.0433275039214816,-0.0584215866108292,0.126644745865602,0.0417396695501513,-0.0246218951859984,-0.0245776542012756,0.0108909209434295,-0.0508068294084892,-0.0218883116798663,-0.0431939244432937,-0.116637659968417,-0.122735974367138,0.0557317168808106,-0.0415171112016507
"ZEB1",0.259352785389125,0.259352785389125,0.0250796203971766,0.120719113470797,-0.0880413718315777,0.251049002149778,0.15108509364171,-0.112099983636166,-0.0187692875366754,0.118363982229707,-0.220594768297341,-0.0719428982762144,0.0802891635902299,0.195286563384152,-0.0250553066215031
"FOXC2",0.259393878346024,0.259393878346024,0.0250553066215031,0.120497272720764,-0.0884007456265958,0.250994538827088,0.251049002149778,-0.112300115065761,-0.0186424907551806,0.118365158050136,-0.220477631217113,-0.0719337173074742,0.0804955780683462,0.195108499391828,-0.0246899997083466
"SNAI2",0.00653293397764765,0.00653293397764765,0.202971504132471,-0.343186003638915,-0.0337157637659885,0.0478269243994707,0.0477964464992976,0.199559972206097,0.314468075415667,-0.0250879800387146,-0.0401342311311754,0.0341746562291168,0.300334635065645,-0.217568383778464,-0.202849184681968
"SNAI1",-0.101174405538664,-0.101174405538664,-0.0535723046196365,0.0355654554420383,-0.0209952312871887,-0.106561106425388,-0.106552759592857,-0.0166239059066031,-0.128297156462894,-0.101633513739432,0.104278733608123,0.0943524864597908,-0.157227471502367,0.0442993933248795,0.0536884808744789
"ZEB2",-0.238517314684765,-0.238517314684765,-0.198708330051344,-0.101567796268329,-0.0715350472038652,-0.068634082588448,-0.0685101594506545,-0.0678385764229317,0.0305551354173086,0.0630938040583417,0.082048030607452,0.118604714874844,0.12418379721374,0.156491829264518,0.198822502680359
"GSC",0.0185537570489178,0.0185537570489178,-0.0527982221352383,0.0449285993940635,-0.084518174386151,0.155997494508644,0.156015183100976,-0.135165338528917,0.0481736808555956,0.0152118554564801,-0.100086844403317,0.131389725567164,0.00984494268181118,0.133824868502044,0.0529313577632157
"miR200a",0.0236481916552894,0.0236481916552894,0.0281897201162784,0.108366520693071,0.00577476564334035,0.199871209109603,0.19992582255747,-0.0151328690577956,-0.0352048958170275,0.00732966726710466,-0.177205386243793,0.149686034647146,-0.063193921491757,0.17468939872657,-0.0276510003819353
"miR101",-0.037949383804377,-0.037949383804377,-0.0822267405206535,0.0525805566443765,-0.0427076295180484,0.103690250015992,0.103697410482036,-0.0497450729926043,-0.123779931458874,0.0347056731010768,-0.0267583797969983,0.177704562691644,-0.11423265275535,0.155480190162509,0.0824748096281326
"TWIST2",-0.186486506943653,-0.186486506943653,-0.11150646675075,0.166064124445162,0.0444968335096521,-0.156966383762999,-0.157001124613842,-0.259404913696084,-0.204104596046568,0.0884842548883257,0.134132024394884,0.215360669174985,-0.293622362200497,0.102352123356261,0.111503637208061
