"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",0.118604714874844,-0.0685101594506545,-0.182957580767274,-0.101567796268329,-0.0678385764229317,-0.198708330051344,0.0683720045879388,0.12418379721374,0.0630938040583417,0,0.082048030607452,0,0,-0.238517314684765,0.156491829264518,-0.238517314684765,-0.068634082588448,0.0305551354173086,0.0303598734604544,0.198822502680359,-0.0715350472038652,-0.223463460735682
"ZEB1",-0.0719428982762144,0.15108509364171,-0.18867196538862,0.120719113470797,-0.112099983636166,0.0250796203971766,0.112300115065761,0.0802891635902299,0.118363982229707,0,-0.220594768297341,0,0,0.259352785389125,0.195286563384152,0.259352785389125,0.251049002149778,-0.0187692875366754,-0.0186424907551806,-0.0250553066215031,-0.0880413718315777,0.220936633267542
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.215360669174985,-0.157001124613842,0.0969667091729988,0.166064124445162,-0.259404913696084,-0.11150646675075,0.258998372193328,-0.293622362200497,0.0884842548883257,0,0.134132024394884,0,0,-0.186486506943653,0.102352123356261,-0.186486506943653,-0.156966383762999,-0.204104596046568,-0.204092079618757,0.111503637208061,0.0444968335096521,-0.299046141760271
"TWIST1",-0.171000838885276,-0.138303239501883,-0.112522280592422,-0.200597197104379,0.163690518422657,0.0830383127737706,-0.263204621842561,0.256566625722983,-0.0355099920236136,0,0.0431327903558118,0,0,0.00425962401566845,-0.173267132514716,0.00425962401566845,-0.138290016207105,0.178890093881968,0.178733822733067,-0.0833003168375071,-0.0796835650064908,0.210226269642566
"TGFbeta",-0.116637659968417,-0.0245776542012756,0.0372821274158015,0.126644745865602,0.0108909209434295,-0.0584215866108292,-0.0105872772187331,-0.122735974367138,-0.0218883116798663,0,-0.0431939244432937,0,0,0.0433275039214816,0.0557317168808106,0.0433275039214816,-0.0246218951859984,-0.0508068294084892,-0.0508068294084892,-0.0415171112016507,0.0417396695501513,0.00272916983156259
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",0.0341746562291168,0.0477964464992976,-0.278758336781437,-0.343186003638915,0.199559972206097,0.202971504132471,-0.199567957831971,0.300334635065645,-0.0250879800387146,0,-0.0401342311311754,0,0,0.00653293397764765,-0.217568383778464,0.00653293397764765,0.0478269243994707,0.314468075415667,0.314217782351003,-0.202849184681968,-0.0337157637659885,0.260231826495266
"SNAI1",0.0943524864597908,-0.106552759592857,0.131040789039542,0.0355654554420383,-0.0166239059066031,-0.0535723046196365,0.0165232344557335,-0.157227471502367,-0.101633513739432,0,0.104278733608123,0,0,-0.101174405538664,0.0442993933248795,-0.101174405538664,-0.106561106425388,-0.128297156462894,-0.128320591788718,0.0536884808744789,-0.0209952312871887,-0.167709381730238
"miR9",-0.218417730844927,0.068634082588448,0.182721491111499,0.10135798771863,0.0683720045879388,0.198822502680359,-0.0680012080146106,-0.124225583077261,-0.0633649778199425,0,-0.0822051654172596,0,0,0.238319404250743,-0.156268099207668,0.238319404250743,0.0687381099327786,-0.0303598734604544,-0.0295695999042234,-0.199820242606493,0.0717400718374219,0.123431549661209
"miR34a",-0.149534622466096,0.221836732530197,-0.0626591060690345,0.0141787583155357,0.0506045706819627,0.0338828081190922,-0.0504860839270893,-0.0230551562754099,-0.0769682627790365,0,-0.167188274402066,0,0,0.233887129141436,0.0821015385580462,0.233887129141436,0.221772092509059,0.0324863480273059,0.0325467399034801,-0.0335679134176961,0.0511398824699021,0.123384922068739
