"","ZEB2","SNAI2","SNAI1","miR200b","miR200a","miR141","GSC","TGFbeta","FOXC2","miR200c","miR101","ZEB1","miR34a","TWIST1","TWIST2"
"ZEB2",-0.088522700959407,-0.0254097926000623,-0.0172930005667726,-0.00781871551004265,-0.00723503923927258,-0.00627539594125939,0.000481486799337227,0.000610882445554308,0.00193898323467511,0.00305613051665018,0.00425041629765009,0.00641225884444506,0.00901462944277648,0.0119352612942894,0.0184209399118013
"SNAI1",-0.0542840399143174,0.0346779726973444,-0.0918225441352043,-0.00429737279068354,-0.0227703163005048,-0.108489223290168,0.00307363914349149,0.00303993613440754,-0.0903164360032153,-0.0866647026296166,0.0348987369010224,0.108484586160984,0.108290428184322,-0.0243919489963256,0.0506090137374404
"miR200b",-0.0102054512556585,-0.0611254981062747,-0.0223390651039788,-0.0154780325543445,0.0128929979517685,0.0164363375806038,-0.0901998752595689,-0.0902201817684022,-0.01188857779589,0.00382471330654169,0.0196493464333096,-0.0162197350924521,-0.103076174150216,0.0601795512413718,-0.0243547830424693
"miR101",-0.00480827096320533,-0.0222371823082511,0.00844129259661248,0.0640234267413634,0.0663905118543794,0.125744204844872,0.00482344104286096,0.00490085267923739,0.0786064807718482,0.0621809540422594,-0.033098271485148,-0.125450625737066,-0.0856367102713816,0.0151572405033743,-0.0797330571825917
"ZEB1",-0.00274777459423076,-0.0816156055910851,-0.0720262080660744,-0.0218243395486562,-0.0192151850169157,-0.0302788798568609,0.0011023084575415,0.0012072415946584,0.081081434109185,-0.0186534673083788,0.00317495248168398,-0.0693321340634271,0.0328886455636252,-0.0175896881961223,0.107047031440987
"miR200c",-0.0027069088694908,-0.0540338601874551,-0.0175135990261486,0.0186347913540161,0.0130825531450548,0.0252713891391972,-0.088696041734301,-0.0885610631755853,-0.0125559145780452,0.0125090491571285,0.0186347366554079,-0.0249002028240313,-0.10938212113603,0.0554403245441785,-0.0308955818820157
"TWIST1",0.00223846902253324,0.0591325093058105,0.00388776493260027,0.0774389870654261,0.0935398863368787,0.159067590400172,-0.00325141329910336,-0.00324606627739445,0.196702120767101,0.0751804377032236,-0.0266313565696334,-0.158934579611519,-0.118706369809593,0.10869553357891,-0.146754857280107
"FOXC2",0.00253128142812927,0.0817627365376275,0.071618198377314,0.0218593987803055,0.0193731903300614,0.0310509775491111,-0.0013347764931866,-0.0011023084575415,-0.0813174177599909,0.0193323692582686,-0.00253385847431318,-0.0302788798568609,-0.033171415967487,0.01722228273582,-0.106532043985554
"miR141",0.0027069088694908,0.0540338601874551,0.0175135990261486,-0.0186347913540161,-0.0130825531450548,-0.0252713891391972,0.088696041734301,0.0885610631755853,0.0125559145780452,-0.0125090491571285,-0.0186347366554079,0.0249002028240313,0.10938212113603,-0.0554403245441785,0.0308955818820157
"SNAI2",0.00701761876713273,-0.0890961258151157,-0.0137850274439265,0.0117432910653478,0.0113029967795653,0.0286253226577819,-0.00226498959173718,-0.00222649745696338,0.0295002235617864,0.0178021733121783,-0.0118725858757352,-0.0286631688415134,-0.0260695128405157,0.0908731930938812,-0.016615261900637
"miR200a",0.00968150149394109,0.105518575441872,0.0636247558524101,0.0358334953534663,0.00598360919719664,0.0204067416987315,0.0860131454187654,0.0860788429473438,-0.0112712957255474,0.0150427009470992,-0.0204964414184457,-0.0201086818646082,-0.0267445627959034,-0.0407336856793745,-0.0752728830987256
"TGFbeta",0.0247320912600322,0.0613591904643275,0.0211106505485689,0.0828704466487656,-0.00807356025992234,0.00439246278391619,0.00133287536454953,-0.0986429264035346,0.000313198584830222,0.0131109039573751,-0.0218056378972494,-0.00445050946599922,0.0559077713373802,-0.0278492182831746,-0.0510445073599726
"TWIST2",0.0558488914477781,0.0389359764944898,0.0785955636358843,-0.0574728752242183,-0.109876962868381,-0.160046786934418,-0.0136759044280834,-0.0137455111782404,-0.114283225633137,-0.0528948064261315,0.0244979073362526,0.159942124624284,0.133494851135736,-0.182067868969683,-0.00894331544184109
"miR34a",0.0658824020119848,-0.0635785024804791,-0.0095980202906196,-0.101817171242596,-0.123392061660993,-0.0991016121710506,0.00924587541569831,0.00921493200573454,0.0362388495400053,-0.0730511050968901,0.01392379060783,0.0990006416270836,0.0385656703307691,-0.0908993874796823,0.190918307309944
"GSC",0.106708763475111,-0.0318191421857287,-0.0114478078589082,-0.0117477084957012,-0.00163286446518326,0.102675825535718,-0.0111133451937762,-0.0111644541315305,0.0507624661954677,0.104714374374398,-0.0424102861313378,-0.102550039990246,-0.0721573206049425,-0.0856959208766618,-0.022932088005022
