"","miR141","ZEB1","miR200c","miR200b","miR34a","TWIST1","TGFbeta","TWIST2","FOXC2","miR101","SNAI2","GSC","SNAI1","ZEB2","miR200a"
"miR200c",0.23055820205789,0.230709083278269,0.0444873799108427,-0.0092620052977245,0.222352370507265,-0.0252252902326945,-0.0734093283068463,0.189693204833428,-0.0573317313232577,-0.125010913762235,-0.168703106452103,0.0735705858769933,0.0810215313738039,-0.330081664375599,-0.276587985196388
"miR141",-0.107443149770932,-0.107667157472354,0.176995899420582,0.123968342000351,-0.0197287457070109,-0.119926403271199,-0.0754147668848829,-0.000745900278933044,-0.0773832633504381,-0.0924641818518269,-0.0417330548460564,0.0754040163802064,0.143965576649605,-0.256152300437866,-0.0750221118724582
"SNAI1",0.114045130817804,0.11409057468381,0.0341521190001707,0.0809921913553834,0.228742788055504,-0.229432400386435,0.0433954500436066,-0.00921288669969248,-0.102090896527447,-0.0779920797020541,0.187538945855691,-0.0434323251006043,0.146448898465674,-0.199422283326127,-0.149626192907321
"TWIST2",-0.0411048672969036,-0.041136969602113,0.101033828124937,0.0201707216169413,0.0577427636844508,0.00748977603154754,0.00298574475919586,0.152392333761868,-0.117516582708399,-0.160390550478985,-0.14815694229675,-0.0029059516553573,0.169103090134138,-0.166641613705341,-0.062426241196993
"GSC",0.0695598233830177,0.0696978926731647,0.0443885546980111,0.0314197767374205,-0.0303145922083447,0.0280671600275251,0.0202215683370158,-0.00414826972515315,-0.00502726923483285,0.110575596195499,-0.0185012470025469,-0.0202726772747702,-0.143883364829763,-0.162513351523429,-0.109060320294568
"FOXC2",0.133941766256572,0.134374269113226,-0.121483828219907,-0.161140679538777,0.136649381532593,0.117161936006295,0.00202670881750885,0.211543178537332,0.077443220306651,-0.0385694648862716,-0.170939299056213,-0.00182745050124163,-0.0975248506590402,-0.0948139362101848,-0.200555962362799
"ZEB1",0.134374269113226,0.0348725322101771,-0.121645306177298,-0.161324279199256,0.137067941417992,0.1169618045767,0.00208173473087503,0.211360952206948,0.0771116092940806,-0.0388953444648796,-0.170785700815317,-0.00202670881750885,-0.097279104189441,-0.094786393303964,-0.200863291378478
"miR101",-0.152563285155681,-0.152741614857635,0.106030658172766,0.0810021859403869,-0.174075330842537,0.206101356342058,0.00196927221911728,-0.0462031756345464,0.107041375193478,0.105195361828691,-0.121017558559678,-0.00208011160756535,-0.231953173819212,-0.0608030190118233,0.0413383824162734
"miR34a",-0.17691387488435,-0.176816207115186,0.138973406985991,-0.0280145188055055,-0.127438856534287,0.110204085309506,-0.0405002855376206,0.246437180460327,0.00749372339387308,-0.112555701552722,-0.251035092997183,0.0405919023004545,-0.0457266882732547,0.0184237404040009,0.155284357870717
"SNAI2",0.00100804336286466,0.000781971026415436,-0.0554366606984459,0.196317058450974,-0.0902943207271089,-0.00348932695625174,0.198893868093178,-0.365373390336897,0.176497562487892,0.392926862807865,0.248990090453926,-0.19916502379814,-0.241773921058833,0.116038510209078,0.0561413896393008
"TGFbeta",-0.0961298525298471,-0.0963623530240283,-0.0425754280797015,0.0676868791562678,-0.174367330508047,0.0989994857686432,0.0770826091314124,-0.159603687266102,0.0993580496246739,0.134084263229609,0.0991341682402084,-0.177214892799219,-0.170533222817915,0.190739599014942,0.137576089103959
"TWIST1",0.0176451088227725,0.0179860624038222,-0.102036973917236,-0.147619126250326,-0.0759707326119674,0.202135064501878,-0.0538697160648116,0.184116827269461,-0.0459109354075526,-0.100282420456342,-0.30461944352484,0.0540368104932149,-0.17078342663657,0.220433824686624,0.0965163992462946
"miR200a",-0.199634670738035,-0.199717053735666,-0.0131703501688138,-0.0329967369762605,-0.0761366733692853,-0.158584595924159,-0.138972694500635,-0.0305430231695355,-0.0986347574633337,-0.103333573386712,-0.0308610842856928,0.139064671040645,0.178061025414099,0.227918219532072,0.213103172710272
"ZEB2",-0.199509397807862,-0.199146586693599,-0.184804761352055,-0.18176644596888,-0.140295810370269,-0.0938501849750167,-0.0860193717216205,-0.081325492102703,-0.0516507360725459,-0.0342876669391034,0.0204172644583619,0.0860878752990295,0.0899788230321643,0.239175524953071,0.362278791316448
"miR200b",0.107443149770932,0.107667157472354,-0.176995899420582,-0.123968342000351,0.0197287457070109,0.119926403271199,0.0754147668848829,0.000745900278933044,0.0773832633504381,0.0924641818518269,0.0417330548460564,-0.0754040163802064,-0.143965576649605,0.256152300437866,0.0750221118724582
