"","ZEB1","ZEB2","GSC","miR200a","miR200b","TWIST1","SNAI1","SNAI2","miR101","FOXC2","miR200c","TWIST2","TGFbeta","miR141","miR34a"
"ZEB2",-0.121328620024094,-0.0901916298163653,-0.0618242042456574,-0.0598194799393093,-0.0587016658813011,-0.00992564466054413,-0.00434931209460414,-0.00103497461985069,-0.000673136104321804,0.0294174970978391,0.046768603388064,0.0598902254524624,0.0638717000593277,0.120473102458363,0.123724485719942
"TWIST2",-0.24509409494039,-0.0803633195332336,-0.126266406599664,-0.0854955241405322,-0.0855351393445287,0.233519048802889,-0.0943379116800435,0.0880115942862394,-0.0888695678452212,-0.0329442744367679,0.164335020347692,0.169847640186394,0.125696536702037,0.245467009389946,0.19134925488706
"miR34a",0.113806184478455,-0.0780665820126241,0.0776293033438563,0.139104088167169,0.0299818843667279,0.0890326040400515,0.00479399541572545,0.0829230772911944,-0.026747390758922,-0.0816291383464154,-0.0785480199906587,0.163704241556916,-0.0785715605139298,-0.113431083625867,-0.0681312321480071
"SNAI1",0.137458252199941,-0.0569491375523219,0.0905902820297321,0.104585934807803,0.0959941824401979,-0.0286702847391616,-0.0841829182616765,-0.0723863866259114,0.0953714808500526,-0.0287815037758014,-0.0380990130301446,-0.0930008795398602,-0.0890958509563508,-0.138112087414918,-0.131447562935145
"TWIST1",-0.203783813231288,-0.0250930018497142,-0.101402934828052,-0.0901321908916886,-0.0531029667273535,0.0256264678879322,-0.000879339343009571,-0.0308663434932901,-0.0178878629038562,-0.071280698069956,0.132827463691127,-0.00421397341328628,0.10321156492109,0.203102683910058,0.152081438596588
"miR101",0.123549281581604,-0.0150380313197224,0.0703296970767938,0.0707161037956469,0.0620285465449493,0.024598806670442,-0.00695115754759252,0.0650716708489,-0.0868785078638186,0.00849876709410101,-0.0566751873302055,-0.0142573700449448,-0.0678472466466314,-0.124605279835814,-0.0519139421744647
"TGFbeta",0.0670270800508642,-0.0113474874733441,0.031884239409195,0.0433213200410413,0.107788277081796,-0.080214676135988,-0.00440858619806467,-0.028964674686745,0.0120078512016749,0.0678897395857916,-0.0329454775640678,-0.0580064527154795,-0.130033881275363,-0.0678645211021053,0.00843928476073276
"miR200c",0.289706864137777,-0.00622799934744943,0.0728188206856333,0.151395568965175,0.17175980176183,-0.050376358347914,-0.0456327029781932,-0.0645742855007526,0.0095115209688079,0.0483258846772548,-0.144659796789256,-0.113858493102705,-0.0720674798588001,-0.290205790381853,-0.181345241478592
"miR141",-0.235735645216653,-0.00420777986286248,-0.220240430204177,-0.118146750407905,-0.0893779265942568,-0.0562763293969511,-0.024797225878066,-0.0278002778236647,0.000842739875110445,0.0828947431769177,0.120170259129362,0.0942236295670381,0.217358100450364,0.2369917545176,0.219130917293738
"miR200b",0.235735645216653,0.00420777986286248,0.220240430204177,0.118146750407905,0.0893779265942568,0.0562763293969511,0.024797225878066,0.0278002778236647,-0.000842739875110445,-0.0828947431769177,-0.120170259129362,-0.0942236295670381,-0.217358100450364,-0.2369917545176,-0.219130917293738
"SNAI2",-0.13462168494199,0.00503568036229058,-0.0739044265921798,-0.0694470171614447,-0.0637568411145649,0.0834943207392595,-0.0142927744368245,-0.0340170275849666,-0.0361856892645999,-0.00284841346450315,0.0657970511255134,0.118191249157869,0.0763379848906563,0.133573044222845,0.0925876160346845
"ZEB1",0.163228509929131,0.022975824654596,0.23540247967289,0.226234825096067,0.22195520365771,-0.00047791390857472,-0.0431795355023606,-0.0687954732396535,0.00890870223164414,0.0262428977222506,-0.246763867478325,-0.207312556191625,-0.235986010289052,-0.2628791242364,-0.255709692664321
"FOXC2",0.2628791242364,0.0234754470502366,0.237406132742022,0.22716144233543,0.223176741097279,0.000669108016271448,-0.042450526836564,-0.0672999114204036,0.00952372587272629,0.0277436303512319,-0.24699827096486,-0.208971079894253,-0.23540247967289,-0.2639502362493,-0.256064088289214
"miR200a",0.171490919305625,0.0238151148464396,0.175977944874114,0.0738348652123708,0.0173953872233082,0.0517463227047588,0.0222009230482258,0.0252693714945082,-0.00169074051887409,-0.071148077884272,-0.0960263790816267,-0.0720845173282729,-0.174999648948555,-0.171920421675293,-0.166671153219735
"GSC",-0.274507336514974,0.0666355861516839,-0.172831147440809,-0.185068080544521,-0.16934386364268,0.204502205481963,-0.088255063158867,0.00804983107353821,-0.0995661780768084,-0.121572102556927,0.114100207950031,0.108631909763337,0.172030440749324,0.274985419857725,0.22044311695988
