"","ZEB2","miR34a","TWIST2","miR141","miR200c","miR200a","FOXC2","SNAI2","TWIST1","TGFbeta","GSC","ZEB1","miR101","miR200b","SNAI1"
"SNAI1",-0.122184827035936,-0.108405010822235,-0.096587173093389,-0.0757932131094521,0.0948822441998472,0.0948822441998472,-0.0643625798494044,0.0972080249436944,-0.00972196792246878,-0.0218830657223102,-0.0219048735517175,0.0757839388510836,0.128718610142241,-0.0469817125834429,-0.042914803342056
"miR101",-0.1174133052252,-0.0338551832649036,-0.0210696339601557,0.00979051298937536,0.0523179143461681,0.0523179143461681,-0.0351290073252903,0.0630511086875846,-0.00534896541329171,-0.00610100452590321,-0.0061027638812754,-0.00985086548888947,0.0957206583794681,-0.0867750157451237,0.0272948889813134
"ZEB2",-0.0859354408176121,-0.027467454698738,-0.0140825830060416,-0.00679913975712005,-0.00663686751560666,-0.00663686751560666,-0.00486650859955513,-0.00431105390346305,-0.00244079098487239,0.000187720002435393,0.00020548018917107,0.00676081814422806,0.0147201429494166,0.0206088494656237,0.0338279627769598
"SNAI2",-0.0720400826479537,-0.0476795820637573,-0.121996036168313,-0.0217713272519352,0.0459810484992514,0.0459810484992514,-0.0780744309079804,0.00247580316871264,0.0394829108936721,-0.00664050625629887,-0.00650792223652246,0.0218942436185676,0.100291902417705,-0.0443623370770483,0.0969064924560554
"ZEB1",-0.0216044307271529,-0.00295735300770562,-0.102461495333262,-0.0099972536328827,0.0141678527488074,0.0141678527488074,-0.0984729417342693,0.1068888376796,0.00449332743683075,-7.22107655707094e-05,-0.000188660954322389,-0.0899836980797087,0.091884842880578,-0.0199074997676433,0.0736545279216889
"FOXC2",-0.0215952497584126,-0.00298197417743501,-0.102606748205307,-0.00995133357649714,0.0140839305128875,0.0140839305128875,-0.0984929926327038,0.10682901520683,0.00433501451491188,-0.000188660954322389,-0.000172056094633453,0.0099972536328827,0.0920922207942377,-0.0199259519948271,0.0735522315443916
"TWIST1",-0.0113112117172161,-0.0208559924763759,-0.1074480838917,0.0581848794903041,-0.0301340046031061,-0.0301340046031061,-0.149726821561168,0.0981376723991449,-0.0242464418818605,0.0261968915476651,0.0261621359065572,-0.0582603300546276,0.0918295083982953,-0.047654102448167,0.052125239723989
"miR200c",-0.00421983106159024,0.117028841009003,0.0683098866204788,0.0138851534320533,-0.00505323734661366,-0.00505323734661366,0.0246192246031537,-0.0019259591719283,0.0126524390406595,-0.0863870877125892,-0.0864050052203833,-0.01391014602684,-0.0690069019664777,-0.0629259967964371,-0.13647990870669
"TGFbeta",-0.000688200940773711,-0.144116989005894,-0.0118085435714814,-0.0811605014427382,0.0398471572496452,0.0398471572496452,-0.0120869901003724,0.00091572069411312,-0.0177823322028742,-0.107665428778805,-0.00757508871298616,0.0811928193251953,0.0598231527647666,0.0923048578342502,0.117960075363287
"miR141",0.00149206415098114,0.00512779468124139,-0.0394061765643757,0.00690374473918745,-0.00435714954992693,-0.00435714954992693,-0.0162976595659948,0.0693899990332588,0.0154109611381659,-0.0875128321742726,-0.0874901366644,-0.00686764432449551,-0.00359470739640111,0.000560935356891097,-0.0772386852597062
"miR200b",0.0176114579832087,0.104418039518323,0.0634290775734727,0.00505258728488876,-0.0113763656495083,-0.0113763656495083,0.0226098981493862,-0.00268989469846937,0.0118065506226845,-0.0826691035605342,-0.0826607420568969,-0.00505628989152383,-0.0638502657819841,-0.0135309156315038,-0.125226049007778
"miR200a",0.0176114579832087,0.104418039518323,0.0634290775734727,0.00505258728488876,-0.0113763656495083,-0.0113763656495083,0.0226098981493862,-0.00268989469846937,0.0118065506226845,-0.0826691035605342,-0.0826607420568969,-0.00505628989152383,-0.0638502657819841,-0.0135309156315038,-0.125226049007778
"GSC",0.0469782737019143,-0.107521544288638,-0.109110709972161,-0.0946938517572364,0.0198013167181683,0.0198013167181683,-0.00447704568505769,0.110001686498844,0.0127856202694272,-0.0103805156085802,-0.0103609553978347,0.0947252981436044,0.177056011742299,0.0544383481445457,0.146902597275767
"TWIST2",0.114399761265496,0.093526701906751,0.175957786767139,0.0661254230329652,-0.0876521041261107,-0.0876521041261107,0.114585835855156,-0.162585018578016,-0.0261030278225763,0.0116408426398904,0.0116764948777757,-0.0661082724863465,-0.160606013648134,0.0686004025705424,-0.153132909611288
"miR34a",0.136819795908513,0.131893414303805,0.299935065563448,0.119374313573597,-0.1684401666087,-0.1684401666087,0.155205468224621,-0.1792786241105,-0.022609171676821,0.0309117822441748,0.0308359405530871,-0.11934647590026,-0.174747475126962,0.0542711980432284,-0.163937485594348
