"","miR200a","TGFbeta","miR200b","miR141","miR34a","SNAI1","FOXC2","miR101","TWIST1","TWIST2","SNAI2","ZEB1","ZEB2","GSC","miR200c"
"miR200b",0.483209527413217,0.524480135493324,0.35990891990895,0.489796076525561,0.408380927207873,0.0883099021829989,0.073455506586852,0.00831833394840179,-0.0399900802894266,-0.122151819677565,-0.104323913001268,-0.50246917338575,-0.487583100993636,-0.505777840857826,-0.483209527413217
"miR200a",0.483209527413217,0.524480135493324,0.35990891990895,0.489796076525561,0.408380927207873,0.0883099021829989,0.073455506586852,0.00831833394840179,-0.0399900802894266,-0.122151819677565,-0.104323913001268,-0.50246917338575,-0.487583100993636,-0.505777840857826,-0.483209527413217
"miR141",0.483209527413217,0.524480135493324,0.35990891990895,0.489796076525561,0.408380927207873,0.0883099021829989,0.073455506586852,0.00831833394840179,-0.0399900802894266,-0.122151819677565,-0.104323913001268,-0.50246917338575,-0.487583100993636,-0.505777840857826,-0.483209527413217
"miR101",0.381250919944551,0.337654319757841,0.311055755590967,0.325161620000368,0.281074364591329,0.146938596696258,-0.113076830051612,-0.0889618470417212,0.154105612367763,-0.12763159660211,-0.0677470871211009,-0.335305272588195,-0.44874577018308,-0.322703317804956,-0.381250919944551
"TWIST1",0.338128543131358,0.315683970197775,0.28215684041954,0.379196395247945,0.1808382259286,-0.188018415510119,0.14095507480606,0.0367096433463283,-0.118987942265957,-0.163204919873801,0.0840230068168228,-0.387319387446201,-0.284654176824702,-0.303384483511859,-0.338128543131358
"GSC",0.0982597659117021,0.0679806618369886,0.0795902693010375,-0.0476259832715879,0.0292470907149149,0.0666744517089604,-0.195461125870919,-0.0903202456430811,0.176739122054415,-0.0165209953692546,0.0102253370196014,0.0448223413869667,-0.262331602863182,-0.063426918580529,-0.0982597659117021
"SNAI1",0.0408361675385878,0.0147576043518252,0.0130555592216862,-0.0717327782227213,0.0922489157834813,0.0236915801417015,-0.147157174074103,-0.0910942235181795,0.158904012219502,-0.0326564264858038,-0.0443296897427561,0.0707076635310595,-0.162289403518534,-0.0131545306373967,-0.0408361675385878
"miR34a",0.208134470385214,0.201412679750053,0.194153583927346,0.223810747887139,0.0369314741484939,-0.213702239377766,0.196948032744886,0.0272168301761067,-0.0519674187609388,-0.237078805161669,0.132076374657682,-0.227406997822263,-0.0885475168959325,-0.196140772119165,-0.208134470385214
"SNAI2",0.00728695475609704,0.0109189929754663,0.0237638062166915,-0.00601994885149325,-0.0397651224875386,-0.0837643696701761,0.0575077372923927,0.00571120700992375,0.0114842679388263,-0.0678905889995485,-0.0253326848202879,0.0062085099261909,-0.0207306428311971,-0.0115630946973478,-0.00728695475609704
"TGFbeta",-0.0118583896800929,-0.108082089345265,-0.107856648996427,0.0018259540793738,0.0983911307895524,0.0923976127619149,0.00748464917055774,0.000172398468230342,-0.0243584305597461,0.0634694943571112,-0.0936354959179864,-0.00139766369535578,0.0299650069625293,0.00738679348154986,0.0118583896800929
"TWIST2",-0.0381123397805603,-0.0355143622026803,-0.0654769147441495,0.0647027740892388,0.111971354031358,0.177233532004052,-0.0988788389927677,-0.0219691526233816,0.0354904418149545,0.0611834172280022,-0.109058536991615,-0.0642199202382814,0.141951511783026,0.0344804473040063,0.0381123397805603
"FOXC2",-0.593551268023963,-0.547892470147583,-0.521482819605859,-0.599486556315276,-0.481366417835382,0.091995755266983,-0.18560108407745,-0.0159872262994556,0.0373156473339343,0.293955717779313,-0.061716157485363,0.617368680598443,0.403371009598167,0.521440928663109,0.593551268023963
"ZEB1",-0.611069021917665,-0.570209956870982,-0.534822857248402,-0.617368680598443,-0.494414891695907,0.0915853939373652,-0.190442604860977,-0.0167041613723933,0.0390959209464559,0.299301023470585,-0.0603262281405538,0.531648880906223,0.417258853699394,0.547892470147583,0.611069021917665
"miR200c",-0.483209527413217,-0.524480135493324,-0.35990891990895,-0.489796076525561,-0.408380927207873,-0.0883099021829989,-0.073455506586852,-0.00831833394840179,0.0399900802894266,0.122151819677565,0.104323913001268,0.50246917338575,0.487583100993636,0.505777840857826,0.483209527413217
"ZEB2",-0.69100100617579,-0.638031165053237,-0.592582805501975,-0.496058849547392,-0.418858829251074,-0.122915137184622,-0.0658086857773761,-0.00764193828672454,0.0345305595135856,0.107185699033307,0.137840589640352,0.514717493559516,0.603324005101438,0.608909533145793,0.69100100617579
