"","ZEB2","SNAI1","miR34a","SNAI2","TWIST1","FOXC2","miR200a","ZEB1","GSC","TGFbeta","miR200b","miR101","miR141","miR200c","TWIST2"
"ZEB2",-0.0869779203699812,-0.0313546773579032,-0.026615515678132,-0.0229452385848666,-0.0155311560770659,-0.00850489828294362,-0.00709540173965498,-0.00512449930322769,-2.91689144722929e-05,0.000168713238824046,0.00449200913206667,0.00537460533961818,0.00647969088640798,0.00709540173965498,0.0266152123716113
"miR101",-0.0776381356529654,0.160983354391566,-0.0214862324622629,-0.0774780954179144,0.168749223738526,0.184378389417135,-0.0106975138202411,0.101258898417335,-0.0120040063628861,0.0120515089579353,0.00747265542615471,-0.169604667901041,-0.100888941005059,0.0106975138202411,0.0257917187725769
"miR34a",-0.0717165905782017,0.0534861729971486,-0.0237056729586304,0.0382633867788198,0.0837919338569194,0.108241059438314,0.0660801714138248,0.00360211690855839,0.00682501465157327,-0.00768111566057113,0.00534158256560254,-0.0177227008837068,-0.00216116344465536,-0.0660801714138248,-0.151493532366667
"SNAI2",-0.0352579849778384,-0.0218548806835698,0.0237311652076434,-0.0828718834970257,0.0672504347933949,0.0177589901221461,0.00566596455732338,0.0235278170812107,-0.00362313988707174,0.00323907392010654,0.000878449242172785,0.0191827105796887,-0.0226694120466635,-0.00566596455732338,-0.0206847693947152
"SNAI1",-0.0324126242326314,0.0345776437990165,-0.0744084342411595,-0.0726881864315104,0.132729643172179,0.148997431932961,-0.0324681070431747,0.107380187290236,-0.0115604072905585,0.0108248886805499,0.00494692225441598,-0.15380201364709,-0.107024674052778,0.0324681070431747,0.0743398638730342
"ZEB1",-0.0111355076108606,0.0524604923710739,-0.00590516438528028,0.0568495953187308,0.0722023817529077,0.0921400101227402,0.00105598321084654,-0.0897779404220313,0.00191838259570438,-0.0015088874264677,0.0106560166808551,-0.00034527971006798,-0.00937992476622088,-0.00105598321084654,-0.0740012428649845
"FOXC2",-0.0100577803448642,0.0527015355589582,-0.00334530882947603,0.05876121974139,0.0689972918431162,0.0910927362737389,-0.000765418695635151,0.00937992476622088,0.00399952501005098,-0.00191838259570438,0.00917614806071267,0.00101156435359111,-0.0118863055182419,0.000765418695635151,-0.0744845387846993
"miR200a",-0.00910766244021025,0.106819061757357,0.0036211028531883,0.058104089232947,0.0337144100863777,0.00954616763108855,0.00107646107927143,0.00420335439016791,0.088633608891823,-0.0879873841107152,-0.0247788868043411,-0.0244310283973438,-0.0050336639280826,-0.00107646107927143,-0.0365347938424152
"miR141",-0.00910766244021025,0.106819061757357,0.0036211028531883,0.058104089232947,0.0337144100863777,0.00954616763108855,0.00107646107927143,0.00420335439016791,0.088633608891823,-0.0879873841107152,-0.0247788868043411,-0.0244310283973438,-0.0050336639280826,-0.00107646107927143,-0.0365347938424152
"miR200c",-0.00266225428804988,0.0775143133478991,-0.0798896602584528,0.0248551933426757,-0.0181940565220709,-0.0221544083601719,-0.00467984426869924,0.0146222727655177,0.0895400439134789,-0.0906903479138611,-0.00123140082001751,-0.0267631912218576,-0.0132800778603045,0.00467984426869924,0.0375439633855522
"miR200b",-0.00194968739041839,0.0978061319169335,-0.0114972176980778,0.0531412193638165,0.026314954772423,0.00550686398837895,0.00610068357227922,-0.0144041019012633,0.0909063231382164,-0.0891635468801087,-0.0498489613398989,-0.0218279212209368,0.0123954378017373,-0.00610068357227922,-0.0276758562677784
"TGFbeta",0.00182275076392572,-0.0723293969094368,0.0914594034559098,-0.0135114983977554,0.00894626306910787,0.0229206264561972,-0.00139550206917321,0.00126937114425625,-0.0118321333725015,-0.0882469141850903,0.0687661843224683,0.0288425162580005,-0.00153638588183818,0.00139550206917321,0.0120312956831619
"TWIST2",0.019431498157948,0.167740766287011,-0.10116060262996,0.0104258452669799,0.0437049604941085,0.0898897564926059,0.0170408950938372,-0.0532752101621043,0.00913341455736743,-0.00895175791671369,0.00654938762238776,-0.0788351800916025,0.0538847142034767,-0.0170408950938372,-0.00753377525481534
"GSC",0.0570341161926953,-0.0608222158116572,-0.0305285955275347,-0.0149378218627288,-0.186951642895633,-0.206705424800201,0.0369894235964943,-0.133160413523047,0.0298418510584943,-0.0294045857021515,0.0312597005514083,0.0742423932083106,0.132976648702709,-0.0369894235964943,0.0215653942487932
"TWIST1",0.0705380085424886,-0.170123954190664,0.0819075398673112,0.0954306337276373,-0.0624093008903293,-0.0602681537807139,-0.0591630160943077,0.0516915063196702,-0.0299968746458745,0.0310368703682572,-0.065580568474739,0.115366710561576,-0.0533967927854984,0.0591630160943077,-0.139438908083416
