"","miR200a","miR200b","TGFbeta","GSC","miR34a","miR141","FOXC2","SNAI2","TWIST2","TWIST1","SNAI1","miR101","ZEB1","miR200c","ZEB2"
"miR200b",0.0357578868729315,0.0527144560380163,0.0324635131203044,0.0318029543329613,-0.119152945486423,-0.21307063092583,0.0995515160574534,0.0407784321638821,0.0731303482189414,-0.0973251087826862,-0.0580861122151774,-0.0489038869391258,0.212828110191233,-0.249594912628944,-0.292201824316515
"TWIST1",0.212479183601926,0.124544936681505,0.111479920045478,0.11091981952147,0.0827653373212049,0.169696696074067,-0.168305943408363,-0.0735166617127167,-0.118092999220705,0.0763742544116879,-0.0210197322507304,0.0432977181962007,-0.169778369365345,-0.0324789056403622,-0.272375288730516
"miR200a",0.253654581022687,0.26914516891984,0.289169718036312,0.288939179436028,0.261642797989304,0.247697106149636,0.245526992352569,0.224735136752457,0.00659862371045226,-0.187966841247218,-0.192300794332563,-0.208711164429476,-0.247636938791816,-0.00296947036787097,-0.259960128189471
"SNAI1",0.0511469247206694,0.0547447680658281,-0.0143154390047249,-0.0146782419848639,-0.107645250772132,-0.091187046837142,-0.108032866310445,0.0351156238532738,0.0616127574163128,0.00033118272346797,-0.0717515986309559,0.0483110272343875,0.0910819385756326,-0.141419715975854,-0.209366893696122
"miR101",0.0104065034489116,-0.0133023417764378,-0.0516714940144203,-0.0519406753863656,-0.0429287286425899,-0.109161746969334,0.0705250462094208,-0.102701609228162,-0.0170022171248293,0.0211765532669856,0.00503926589051839,0.00385124131443342,0.109050248283791,-0.120569988644134,-0.134635512691266
"GSC",-0.0609425412049208,-0.0522325701048813,-0.0958234641739281,-0.0957761410834148,-0.0643560263246901,-0.180067281234681,0.194290736781987,-0.0194337210185337,0.0171573670729621,-0.173469881877989,-0.069487020005886,-0.075663063208132,0.180003897112158,-0.130110658774999,-0.0642782251919493
"SNAI2",0.0478647551158504,0.24502656048076,0.234943779652968,0.23499424711856,0.0490636351047761,0.0489696824836573,0.108559783461702,0.140368032282085,0.203805540242793,-0.187510892745645,-0.0530722212230049,-0.246097765531428,-0.0489144203569697,0.00146149174859459,-0.0464017607203035
"ZEB1",-0.218349555630182,-0.257126022277072,-0.247373120262649,-0.247791573138713,-0.288485989080453,-0.262457232352991,-0.220729039332339,-0.236838727026738,0.0620126610502873,0.103262494517674,0.181407585071686,0.210737687741808,0.162249706274381,-0.254263886400793,-0.0407719509551134
"FOXC2",-0.219001833974194,-0.257601167127056,-0.247791573138713,-0.248289718929381,-0.288719517144856,-0.262806438363179,-0.220542411739218,-0.236919029264961,0.0622371427616303,0.103113142704543,0.181527518755414,0.210606150893715,0.262457232352991,-0.253990126279482,-0.0402290891583089
"TWIST2",0.0903535669693396,0.0273905829649408,0.0619700086128963,0.0622286288146993,0.131404961770463,0.137467820792888,0.157273268113448,-0.0699063749153441,-0.133436275278217,-0.177637884712281,-0.130021270943959,-0.0277195258175888,-0.13736843557402,0.0475620700891665,-0.0401534357845048
"TGFbeta",-0.030699935339041,0.0851512009692455,0.0871362427402151,0.187562131621934,0.0952739758465403,-0.0187093214475403,0.179125572110332,0.135692466071223,0.0913154852401812,-0.147876957081161,-0.11895689588375,-0.128251190826819,0.0188125504118934,0.00987512375832594,0.0460170483944789
"miR34a",0.0790432685705184,0.114256533177889,0.125628481558458,0.125942162792797,0.104706274509142,0.14794829067862,0.0993325270059326,0.199541760149644,0.0181415014219015,-0.012090150037847,-0.0459665988011203,-0.136808803408972,-0.147814764211599,0.177316495124734,0.120568424470729
"miR200c",-0.2754159235732,-0.212750319049142,-0.073075069023737,-0.0723428402052175,-0.163964031865973,-0.261316667356965,0.0559869841594582,0.00488449214494439,0.0715236425348092,-0.0627082879967295,-0.025668296267315,-0.0156648424167027,0.261397199051277,0.00998592225069673,0.291606931836767
"miR141",-0.0575192294234442,0.0036803938326819,0.183631135892271,0.184793384897849,0.216831711609754,0.199451069718501,0.201962460454574,0.188841196733519,0.00499191802631998,-0.153350020461261,-0.1598829783847,-0.175472119907053,-0.199067849931772,0.25661136451177,0.323848627963812
"ZEB2",-0.414120184847278,-0.406232290157197,-0.173026151317478,-0.171402362815931,-0.110343738891133,-0.107034321219907,-0.105429586901835,-0.0969184253827425,-0.00353288890116715,0.084999325779732,0.0850731830002514,0.0900190844906087,0.10737523426966,0.312301982882598,0.410788958249728
