"","miR200c","miR200a","miR200b","GSC","FOXC2","TWIST1","miR101","TWIST2","ZEB1","miR141","miR34a","SNAI1","SNAI2","TGFbeta","ZEB2"
"miR141",0.107337028241474,0.107337028241474,0.0634746806344547,0.143147888057255,0.127822089840297,0.0263831681215518,0.00904917934393914,-0.0271292197720933,-0.0105385780062736,-0.0105626449494016,-0.122533167851952,-0.145542647497625,-0.162507620815694,-0.143235086595186,-0.204700046287215
"GSC",0.0838152387033932,0.0838152387033932,0.0847528469384255,0.0220339817779191,0.194840680873811,0.0628366975928744,-0.123852352188146,0.0289984429643597,-0.027307262518576,-0.027287608527096,-0.0795410580105176,-0.167172980606021,-0.0206579883464308,-0.0220888765629146,-0.15876885895778
"miR34a",-0.066892314450915,-0.066892314450915,-0.141906194772299,0.0571346080479315,0.0209607569942695,0.155332025212328,0.135675929945436,-0.347492229664564,0.142899206827652,0.142797764458714,0.0361876436530702,-0.0722546492075857,-0.319272249577272,-0.057393683264687,-0.141836067004135
"miR200b",0.0870761482785808,0.0870761482785808,0.146649164644118,-0.101941782520108,-0.129642710668086,-0.102231723836306,-0.036572034159725,0.155514510457197,-0.0380872235679576,-0.0380131714352561,-0.0128295851652478,0.180130928821447,0.252703906087677,0.102146042108961,-0.129319066720053
"ZEB1",0.0143207708776592,0.0143207708776592,-0.00953236566703905,0.0144566102189384,0.0780034973493447,0.098711200157618,0.0343571053682143,-0.135261572049507,-0.0734034402001659,0.0265694911808851,0.0154948895206331,-0.0829106126998739,-0.150219982869132,-0.014564102700863,-0.0738651589291809
"FOXC2",0.0143005137862303,0.0143005137862303,-0.00946224720374053,0.0142794917155897,0.0780883280734906,0.0985976927796384,0.0341046968218742,-0.134968425344106,0.0265694911808851,0.0264979413255867,0.0154255025877594,-0.0828882721117285,-0.150000633802308,-0.0144566102189384,-0.0738595318838239
"TWIST1",0.0854727049175504,0.0854727049175504,0.0188767617466696,0.0186296834421808,-0.179925416914441,-0.0843639359045894,0.119140227872521,-0.10085237057642,-0.11595767747413,-0.115996828797885,0.00409189045382608,0.170249402218474,-0.0997250155271553,-0.0185962645565001,-0.0439081109352495
"SNAI2",0.0691029081906658,0.0691029081906658,0.316463981132813,-0.218725177552308,0.0278757265232351,-0.190320839809616,-0.330646779378722,0.427649150864443,-0.112144949335456,-0.111989210614791,-0.0639785458841369,0.0201483294916514,0.371474903189165,0.218980936403361,-0.0224441998624683
"miR101",-0.0760391105449675,-0.0760391105449675,-0.113459501400456,0.00338267636168668,0.0553516246046392,0.19952527281513,-0.0414909276500781,-0.0749016583798228,0.104112459410602,0.104094387758205,-0.0190435606025513,-0.160807714376978,-0.178431833790239,-0.00355157447741708,0.0410328187642371
"ZEB2",-0.205719295602332,-0.205719295602332,-0.197373333549526,-0.0677824379554986,-0.0473991530385213,-0.00732412300072309,-0.00260351788885579,0.00711560813608963,0.0320292695361463,0.0320506699173717,0.0484664505542385,0.0520974442655539,0.0571877836119209,0.067802735311768,0.0855904816363539
"TWIST2",-0.0388772082081736,-0.0388772082081736,0.0320775150293124,-0.0334758610317587,0.104623778343892,-0.0161739347702067,-0.167187003012676,0.185937263767369,-0.029723145779982,-0.0296417906229446,-0.0901155085258171,-0.161085149636913,0.18220842731093,0.0335330177940828,0.107875333727919
"miR200a",-0.0870761482785808,-0.0870761482785808,-0.146649164644118,0.101941782520108,0.129642710668086,0.102231723836306,0.036572034159725,-0.155514510457197,0.0380872235679576,0.0380131714352561,0.0128295851652478,-0.180130928821447,-0.252703906087677,-0.102146042108961,0.129319066720053
"TGFbeta",-0.0533733975459867,-0.0533733975459867,0.121335714580422,-0.23834167249499,-0.119645074002382,-0.112468414714717,-0.058021811031576,0.190652150156329,-0.0322230029580007,-0.0321436201981791,0.127797064203129,0.190317576037774,0.304584746216082,0.138598173753298,0.149349063429142
"miR200c",-0.098435595691667,-0.098435595691667,-0.1044637116048,0.089117786783949,0.108623503818919,0.0233396749240097,0.00796437413568458,-0.0245025306880097,0.00722072279679406,0.00720868932523008,-0.102459652717921,-0.127144809961665,-0.14315771103212,-0.0891691503062921,0.187623490826413
"SNAI1",-0.0589300668050307,-0.0589300668050307,0.00939364493983777,-0.0408167953360922,-0.0480380169879755,-0.168901080774556,0.0352408266731635,0.044877814530836,-0.0662313453583645,-0.0661945574668363,0.0970869206123977,0.0383012963761372,0.168209922234473,0.0408623935248529,0.197237292444867
