"","ZEB2","TWIST2","SNAI2","FOXC2","SNAI1","ZEB1","miR200c","TGFbeta","GSC","TWIST1","miR200a","miR200b","miR141","miR101","miR34a"
"miR101",-0.124098871541514,0.012173351262216,0.0891818414603774,-0.285080981391692,-0.279309435328049,0.123885009391454,-0.00242129362910245,0.0234986648249065,-0.0234652370728349,0.244625659863249,0.00242129362910245,-0.0167228837639326,-0.12383829587488,0.14427248191197,0.0362439251494434
"ZEB2",-0.081444089203445,-0.0435057466761956,-0.0295897012707687,-0.0210239467519289,-0.014192027196563,-0.0118291620094371,-0.00846476863168191,-0.00542804090725238,0.00545594977212273,0.0073346124061172,0.00846476863168191,0.00942310168537989,0.0118266735930155,0.0217143205960702,0.0510338742259155
"TWIST2",-0.0566617232946754,-0.0610515842276266,-0.0753173190450241,0.251751694462676,0.248415272927119,-0.0764880704541119,0.0674629825086281,-0.00167092595937094,0.00166356914837874,-0.275767475718108,-0.0674629825086281,-0.0211642638718066,0.0764942270605904,-0.0782687528008973,-0.0674592204327472
"miR200c",-0.0197219373347226,0.0221760758377027,-0.011344703709981,-0.126291165808987,-0.140730745452708,0.035464574103629,-0.00899664105982763,-0.10528694476736,0.105312029278272,0.0226895476175652,0.00899664105982763,0.0323354799387295,-0.0355053027766147,0.0760012032064224,-0.0204239113509859
"ZEB1",-0.0166292462906419,0.0860893897554864,0.0776306710676092,-0.0865362937941715,-0.0800531422131835,-0.0922736203388589,0.00276770141376013,0.0024969823437133,-0.00250466037813649,-0.00576057306482019,-0.00276770141376013,-0.00522436525883383,-0.00773139236835384,0.00257299906307264,0.00291161661341078
"miR200a",-0.00786598423901614,-0.0648021107915747,-0.0592846095763617,-0.0980919783857036,-0.0902257068283059,0.0292832362868263,-0.0110509803361772,-0.107700908020029,0.107706880522627,0.027598323567624,0.0110509803361772,0.0042159016397078,-0.0293026749716604,0.0742020567430996,0.0744965841114552
"SNAI2",-0.00015176870405011,0.0195975400154643,-0.093239594828524,0.159717175425987,0.155248658475081,-0.0319258165957676,0.0164538808022238,0.00109774746505387,-0.00109860284582662,-0.166922429193342,-0.0164538808022238,-0.0159480818380509,0.0319006974472733,-0.0795877600940882,-0.0397415981091757
"TWIST1",0.00591557579258599,-0.11308811104802,-0.0301493722231202,-0.395989755308609,-0.284788605755262,0.000725895217685945,-0.0225514100219098,-0.00708884892672445,0.00711023701356008,0.252944483422968,0.0225514100219098,0.0255608792391422,-0.000650444653362394,0.122386653528413,0.0747248936636391
"TGFbeta",0.00610173856268163,0.0656517162736066,0.0146312868936539,0.146421521601851,0.143883643042431,-0.106188443937081,0.0507267058764112,0.0882706716866298,-0.188293256703085,-0.0522275746370249,-0.0507267058764112,-0.104629485993448,0.106119101684431,-0.0781550653130638,-0.0614234479745429
"miR200b",0.0159125242208795,-0.0809575573382521,-0.0682425294152215,-0.106795201176739,-0.0949303188421613,0.00644127938607116,-0.0113597609741897,-0.115347076056392,0.115336325551715,0.0306547993516456,0.0113597609741897,0.0388132975097857,-0.00647275154246927,0.081101623992495,0.100221075558221
"miR141",0.0159125242208795,-0.0809575573382521,-0.0682425294152215,-0.106795201176739,-0.0949303188421613,0.00644127938607116,-0.0113597609741897,-0.115347076056392,0.115336325551715,0.0306547993516456,0.0113597609741897,0.0388132975097857,-0.00647275154246927,0.081101623992495,0.100221075558221
"FOXC2",0.0166313194126155,-0.0860180838001186,-0.0775967177722532,0.0865347514173688,0.0800355049067529,-0.00773139236835384,-0.00276943773588261,-0.00250466037813649,0.00248252056521791,0.00576654713734543,0.00276943773588261,0.00522344264747464,0.00775595425897867,-0.00257892414632006,-0.00289445640420544
"GSC",0.0918975306712452,0.0640043906863802,0.00440111580297332,0.189136107770089,0.274037063324569,0.0641626226721428,-0.0758300979648906,-0.0132384400989342,0.0132113081937066,-0.369653613621894,0.0758300979648906,0.0801980167113099,-0.0641935777087238,-0.187242998513789,-0.125930981530619
"miR34a",0.100741789624937,-0.179749316950854,-0.0698170514454785,0.0758196992291812,0.0816237653874638,-0.0742476018135956,0.0438959220287386,-0.0250823240644734,0.0250926385344613,0.0352090125575121,-0.0438959220287386,0.0227347871080654,0.0742796859116785,-0.00965321272242562,-0.00888667701984978
"SNAI1",0.115994345800162,0.028562775287641,-0.0741590920625536,0.31505838757824,0.20407112375977,-0.121869307093888,0.00520630647247464,-0.0235321014133682,0.0235174306917669,-0.279928527979513,-0.00520630647247464,0.0200850809211577,0.121867452242214,-0.162143197262116,-0.120409734833021
