"Nature","Strength","Type","Node"
"P",0.180612927648363,"TS","ZEB2,ZEB2"
"P",0.117569168698165,"TS","ZEB2,NP63"
"N",0.0743004358028878,"NF","ZEB2,TWIST1"
"N",0.124893184936847,"NF","ZEB2,miR101"
"P",0.0799021660475898,"TS","ZEB2,SNAI1"
"N",0.0383093348835949,"NF","ZEB2,GSC"
"N",0.027459057087004,"NF","ZEB2,miR200a"
"P",0.0500771655254435,"TS","ZEB2,miR141"
"N",0.0670313980816969,"NF","ZEB2,TWIST2"
"P",0.00394082348128501,"TS","ZEB2,TCF3"
"P",0.0573997505607877,"TS","ZEB2,KLF8"
"P",0.0505574837059778,"TS","ZEB2,SNAI2"
"P",0.00668308797980791,"TS","ZEB2,TGFbeta"
"N",0.00660113763726932,"NF","ZEB2,CDH1"
"P",0.040893491438867,"DA","ZEB2,CLDN7"
"N",0.041013334824713,"NF","ZEB2,OVOL2"
"P",0.027459057087004,"DA","ZEB2,miR200c"
"N",0.0355339127399123,"NF","ZEB2,miR200b"
"P",0.0565315016982764,"DA","ZEB2,miR205"
"N",0.0394606792474078,"NF","ZEB2,FOXC2"
"N",0.0748300797634569,"NF","ZEB2,ZEB1"
"P",0.0849656178241708,"DA","ZEB2,GRHL2"
"P",0.0772614984792605,"DA","ZEB2,miR34a"
"P",0.29208867433035,"TS","NP63,NP63"
"N",0.254053088673311,"NF","NP63,TWIST1"
"N",0.209532332420621,"NF","NP63,miR101"
"N",0.0967874564674811,"NF","NP63,SNAI1"
"P",0.158197899516084,"TS","NP63,GSC"
"N",0.188252277848064,"NF","NP63,miR200a"
"N",0.222646864091427,"NF","NP63,miR141"
"N",0.0824061610575112,"NF","NP63,TWIST2"
"N",0.147219314666767,"NF","NP63,TCF3"
"N",0.122548458376329,"NF","NP63,KLF8"
"N",0.132767782618856,"NF","NP63,SNAI2"
"P",0.138158160900834,"DA","NP63,TGFbeta"
"N",0.1712146015319,"NF","NP63,CDH1"
"N",0.122461080929843,"NF","NP63,CLDN7"
