"","KLF8","miR101","ZEB2","TWIST2","miR34a","CDH1","miR141","CLDN7","GRHL2","OVOL2","TWIST1","TCF3","miR200a","NP63","miR205","FOXC2","TGFbeta","GSC","miR200c","SNAI1","miR200b","ZEB1","SNAI2"
"ZEB2",-0.102987991519265,-0.102865684997245,-0.084941677285691,-0.0834319231125897,-0.0447931447635317,-0.0410189019476462,-0.0383000378207959,-0.0383000378207959,-0.0376798776338037,-0.0374720084138524,-0.0156478180773915,-0.015558513516364,-0.0077824713644983,0,0,0.00326303538195904,0.00401571801548502,0.00402249187332022,0.0077824713644983,0.0126484577973735,0.0155048199059079,0.0382968463758324,0.0953770707689306
"GSC",0.00413633978251051,0.00403598121987898,-0.0752306807874265,0.0341399378857953,0.0705013933413627,0.0839603754161108,0.158242312687182,0.158242312687182,0.157685668176911,0.139277973080664,0.11852142643226,0.118419203074223,0.0444562066424512,0,0,-0.0254442271023116,-0.0164501649155158,-0.0164892820897889,-0.0444562066424512,0.0105093068587166,-0.0920699750095843,-0.158216249338766,-0.111210634289684
"SNAI1",-0.0312639552371385,-0.0311525803342406,-0.0488146006794116,0.0597210931851428,-0.075425380317405,-0.0553075827852719,-0.052558397060319,-0.052558397060319,-0.0531432390692284,-0.0651391668166582,0.0319853641453064,0.032124849836527,-0.0512975201897567,0,0,-0.0227975658447138,0.00591852886566759,0.00594136192090602,0.0512975201897567,-0.0784766228374036,0.0123962023726836,0.0526046463509445,-0.0554911739933334
"TCF3",-0.00405691800085735,-0.00270093528591173,-0.0375036626852446,-0.0253035646813128,-0.0303460347543641,-0.112994467939954,-0.0792086273193435,-0.0792086273193435,-0.0800328395799911,-0.0864614236829589,-0.0950389889391818,-0.093828921175387,-0.0567512093656514,0,0,-0.0105515572214361,0.0172234790884671,0.0171147243304464,0.0567512093656514,-0.0412542107559001,0.00126012697786133,0.0791757121308126,0.0345536947670589
"KLF8",-0.00405691800085735,-0.00270093528591173,-0.0375036626852446,-0.0253035646813128,-0.0303460347543641,-0.112994467939954,-0.0792086273193435,-0.0792086273193435,-0.0800328395799911,-0.0864614236829589,-0.0950389889391818,-0.093828921175387,-0.0567512093656514,0,0,-0.0105515572214361,0.0172234790884671,0.0171147243304464,0.0567512093656514,-0.0412542107559001,0.00126012697786133,0.0791757121308126,0.0345536947670589
"SNAI2",-0.00302120962190863,-0.00315509328879497,-0.0372913605242265,-0.0254346283628976,-0.0304416117616907,-0.0131740431365085,-0.0790585954473004,-0.0790585954473004,-0.0798995129172273,-0.0863668593045451,-0.0944969185555007,-0.0946193342247063,-0.056641800762111,0,0,-0.0110892153830441,0.0172535396279094,0.0172091574238805,0.056641800762111,-0.0411155727218189,0.00111954533658892,0.079043341329117,-0.0654105575154056
"miR205",0.0917489624478722,0.0918853915110176,-0.0287810953409832,-0.0425353707095788,0.190224864382814,0.118371685574109,0.177957510158617,0.177957510158617,0.181137873812203,0.121945277906132,-0.084810545776778,-0.0847117030602507,0.0745043183308621,0,0,0.0895924974622244,-0.0183156747935595,-0.0183696344824977,-0.0745043183308621,-0.0903096109605677,-0.0882491930810207,-0.178015273416216,-0.092399099137298
"GRHL2",-0.05481793874866,-0.054618106009543,-0.0237342318744005,-0.0662145861747301,0.0729874350251047,0.0985807658696226,0.0487712654582953,0.0487712654582953,0.115213960370037,-0.185462735717219,-0.0511186459236198,-0.0509827999209607,0.0580891356972724,0.306281053357567,-0.306185595419806,0.0175979997274815,0.135176554533685,0.135068459609712,-0.0580891356972724,-0.0993748621348041,-0.121648644898267,-0.0488614466285543,0.0698845050794658
"OVOL2",0.0909956581063373,0.0911491954981757,-0.0109182813448779,0.0889117382318221,0.13297089447361,-0.07823327095925,0.197093029705199,0.197093029705199,0.0149558368229276,0.283604371273793,0.00886891655781231,0.0090235816898172,0.194101052905614,-0.300276143134155,0.300216721576014,0.0227423403155508,-0.264555677341335,-0.264548788011529,-0.194101052905614,0.0981158615495854,-0.0327195590722922,-0.197101589383138,-0.113179764046803
"miR200c",-0.0421115924789282,-0.0419242793417934,-0.00836463248916292,-0.0564816868651568,0.0723832421172163,-0.00203517276749226,0.145338439344015,0.145338439344015,0.151899458531662,0.0956591933647064,-0.0855491460241995,-0.0854175223201014,0.0653474570982863,0,0,0.041760381952373,-0.110514863550216,-0.110564859005174,-0.0653474570982863,0.0182088934943265,-0.0718495979360082,-0.145433743122017,0.0545971280092358
"miR200b",-0.0421115924789282,-0.0419242793417934,-0.00836463248916292,-0.0564816868651568,0.0723832421172163,-0.00203517276749226,0.145338439344015,0.145338439344015,0.151899458531662,0.0956591933647064,-0.0855491460241995,-0.0854175223201014,0.0653474570982863,0,0,0.041760381952373,-0.110514863550216,-0.110564859005174,-0.0653474570982863,0.0182088934943265,-0.0718495979360082,-0.145433743122017,0.0545971280092358
"miR141",-0.0951715399968257,-0.0950220497046892,0.000485087339193042,0.0119867234328615,-0.183130120280062,-0.0623227202282788,-0.188102049333115,-0.188102049333115,-0.189530311246452,-0.125160452651497,-0.0147238182705657,-0.014580363222279,-0.0929940129319035,0,0,0.0136265063114731,-0.0660485639044558,-0.0660326562596962,0.0929940129319035,0.0631560841224482,0.0239057166042361,0.188085309793653,0.111989596320398
"TGFbeta",0.0388285409808209,0.039154693420732,0.00432848105724128,0.035408986023864,0.115138327853302,0.091844051290158,0.115265392308617,0.115265392308617,0.115748372577584,0.112472254571298,0.068070349927251,0.0684379219100977,0.0605117069643566,0,0,-0.0134769515120979,-0.107467624090953,-0.00744460093313191,-0.0605117069643566,-0.0226343870646508,0.0457599090951295,-0.11526178988573,-0.056189845610519
"miR101",0.0911226042404846,-0.00901828950436481,0.0155842298034958,0.0151537576146939,0.0280969742184941,-0.00491649790231545,0.0948522959408062,0.0948522959408062,0.0954681328874732,0.0957259144872704,-0.000440830178585006,-0.0005925057020838,0.0534497409360405,0,0,-0.00542726029852584,-0.0194876164390163,-0.0195194771907623,-0.0534497409360405,-0.00176154768005621,-0.0162231358431647,-0.0948473521353944,-0.0853960793265569
"miR34a",0.0619174756246306,0.0619251584765052,0.0158899665818173,-0.0186948748108129,-0.0239760386829663,0.014221652154638,-0.12289269946892,-0.12289269946892,-0.123847956922419,-0.112570974975376,-0.0487875577935795,-0.0487568522752467,-0.107344644524754,0,0,0.0340146059410826,0.00565738648675414,0.00568333245879283,0.107344644524754,-0.0653928417484706,0.0983501131493391,0.122913402762172,-0.0598997499455459
"miR200a",-0.118450394192011,-0.118380151765585,0.022255930680985,-0.00784459310026693,-0.199276621922332,-0.146230210461425,-0.205744878124708,-0.205744878124708,-0.204826144595215,-0.13853745463561,-0.0207832182736048,-0.020716666962544,-0.0931517772331332,0,0,0.0146900260252102,-0.0713316972811781,-0.0713101083347187,0.0931517772331332,0.0663472652039786,0.0677292627364725,0.205730370523841,0.144612521908779
"NP63",-0.0240629360523672,-0.0242274187542697,0.0317090227305086,-0.0362247571949084,-0.0350095868633627,-0.0764339935644367,-0.0718652457505114,-0.0718652457505114,0.0944249798620798,-0.195933611382374,-0.121077775421492,-0.121290947193062,-0.0369535859195622,0.257988251503474,-0.357896892948014,-0.00579213368077279,0.117992769083733,0.118023578867551,0.0369535859195622,-0.0718912409603578,-0.0599195416883082,0.0718547279703737,0.0636345520419297
"CDH1",0.00270093528591173,0.00302120962190863,0.0371362693962953,0.0254158611439742,0.0304519950192647,0.0131110125348434,0.0791757121308126,0.0791757121308126,0.0800036216466729,0.0864404539492745,0.0946193342247063,0.0950389889391818,0.0568637287380906,0,0,0.0110115608058796,-0.0172091574238805,-0.0172234790884671,-0.0568637287380906,0.040991344694373,-0.00108115142799224,-0.0790585954473004,-0.0346217854009303
"CLDN7",0.00405691800085735,0.00270093528591173,0.0375036626852446,0.0253035646813128,0.0303460347543641,0.112994467939954,0.0792086273193435,0.0792086273193435,0.0800328395799911,0.0864614236829589,0.0950389889391818,0.093828921175387,0.0567512093656514,0,0,0.0105515572214361,-0.0172234790884671,-0.0171147243304464,-0.0567512093656514,0.0412542107559001,-0.00126012697786133,-0.0791757121308126,-0.0345536947670589
"ZEB1",-0.0883506841013228,-0.0882184235480328,0.0404766656576699,0.0487726596166441,-0.172041109094429,-0.143019390825703,-0.156487777620034,-0.156487777620034,-0.164946746990606,-0.10944735056311,0.0851927540025499,0.0853399833859292,-0.157870376541326,0,0,-0.0865697643031884,0.0303469051779274,0.0303617696935843,0.157870376541326,0.0818184126203057,0.173354622069364,0.0565234970020247,0.0910197800693674
"FOXC2",-0.0882394265486466,-0.0883506841013228,0.0404978676597447,0.0487336965123184,-0.172041720603021,-0.143059099051834,-0.156410833941956,-0.156410833941956,-0.164878380348995,-0.109399009257467,0.0853399833859292,0.0852780185368981,-0.157803621527283,0,0,-0.0866988122536232,0.0303617696935843,0.0304301580089521,0.157803621527283,0.0818141634087705,0.173308625875591,0.156487777620034,0.0910220566172102
"TWIST2",-0.0366640094358185,-0.036804789636213,0.0665428946925935,-0.0839181154271841,0.0479369592422327,-0.0882046243314402,0.11606532150302,0.11606532150302,0.117488056471412,0.107667832965571,0.103371128048469,0.103205845857625,0.0900348572697667,0,0,0.0822302886575874,-0.0150618467730179,-0.0150992321948865,-0.0900348572697667,-0.00606817395762768,-0.0285240246829426,-0.116071025254474,0.0578415440567569
"TWIST1",0.0609326280044662,0.0610361981882036,0.099691996916267,0.0612989016384797,0.0827359165358888,0.0972370172247898,0.111152696834419,0.111152696834419,0.113117144460867,0.105201882921928,-0.0190215664980047,0.0810756501644411,0.106943631397699,0,0,0.116474310412385,-0.0322513261019743,-0.0322528928665115,-0.106943631397699,0.00665813239346366,0.0227859840652071,-0.111179968428647,-0.0864005829665449
