"","TWIST2","miR101","ZEB2","miR34a","GRHL2","ZEB1","miR200a","miR200b","CDH1","NP63","miR205","TWIST1","TCF3","OVOL2","miR200c","FOXC2","TGFbeta","GSC","miR141","CLDN7","SNAI1","KLF8","SNAI2"
"miR34a",0.2592652831919,0.185462430167879,-0.144173955026084,0.083785585674046,-0.0500717380916787,-0.044285050367176,-0.00852659256451597,0.135631383148309,0.0510548412424045,-0.0431581884229603,-0.0431903567579651,-0.0307183205022491,-0.0307994145634869,-0.0404623395847231,-0.125059769161322,0.17795797651571,-0.00584798310080116,-0.00588418678271561,0.0442802909894171,0.0442802909894171,-0.229159174316892,-0.185257874236717,-0.156879096567474
"TGFbeta",0.188219769809796,0.137514419494706,-0.127913117540066,0.153456736625856,0.108796988602546,0.103013381216892,0.113659979601693,0.12407362983214,0.0543526671320916,0.0931853238869136,0.0932616389591404,0.0545738313941891,0.0544059281427653,0.0813565092015971,-0.0103405334458882,-0.00705798003049613,-0.0994972042530783,0.0005353756872352,-0.102951796939924,-0.102951796939924,-0.107534004028906,-0.137179957438491,-0.156597506094559
"TWIST2",0.230616179897738,0.19147125660394,-0.120080867611027,0.157270681787141,0.193921543272878,0.182005210390182,0.145652097377691,0.0569250717107837,0.168803381173463,0.13627238536427,0.136397336154199,0.0582811674382207,0.0581016367826489,0.0998761898058276,0.0336669049896681,0.0472993749659709,-0.0223613215516096,-0.0223075629522804,-0.181919869354273,-0.181919869354273,-0.137871119585218,-0.191141031442521,-0.218556017848319
"CDH1",0.284368861798762,0.243356724603896,-0.0968199625588492,0.0258501041327632,0.0728184357254607,0.0687164294909301,0.0824153981247273,0.2396074114062,-0.0576697539797007,0.0507616385613583,0.0504021110831867,0.173122446770808,0.172617798696439,0.0367208772139091,-0.0133783179854734,-0.0666830326140398,-0.203019506838948,-0.202882428049333,-0.0687404945628847,-0.0687404945628847,0.0423383230895061,-0.243017039702081,-0.294159164621058
"ZEB2",-0.141103455465696,-0.137092321452743,-0.0716508661769809,-0.0453983033556588,-0.0370207788818693,-0.034164295950061,-0.02991870187063,-0.0261059699790048,-0.0253698496273686,-0.0251488969542604,-0.0249939542830487,-0.0220271534534893,-0.0219151168223821,-0.0189701251646895,0.000390383109432438,0.000792283785070498,0.00281614253193599,0.00282537961080217,0.0341498116998419,0.0341498116998419,0.0343426073148607,0.136928251728082,0.138146529622568
"miR200a",0.015313352317112,0.0899425919926339,-0.0325921462425415,-0.0590419090190467,-0.155297231184798,-0.138494642415209,-0.0506435256844076,0.11911742591493,-0.00968294150606508,-0.0659101219495718,-0.0661695852515089,0.0301631401197474,0.0300640526121679,-0.0380148819505481,-0.0793673794826575,-0.0312758235701591,0.096559123039974,0.0965284440107948,0.138396213923174,0.138396213923174,-0.0635781119315886,-0.0900200387704878,-0.103302895695874
"miR141",0.015313352317112,0.0899425919926339,-0.0325921462425415,-0.0590419090190467,-0.155297231184798,-0.138494642415209,-0.0506435256844076,0.11911742591493,-0.00968294150606508,-0.0659101219495718,-0.0661695852515089,0.0301631401197474,0.0300640526121679,-0.0380148819505481,-0.0793673794826575,-0.0312758235701591,0.096559123039974,0.0965284440107948,0.138396213923174,0.138396213923174,-0.0635781119315886,-0.0900200387704878,-0.103302895695874
"ZEB1",0.162837878548855,0.0810389042580834,-0.0279070954172293,0.165593392550261,0.165955832998795,0.0373340396265731,0.167657300566035,-0.142973948008765,0.127638519098902,0.0739654268635143,0.0738820839505358,0.000123147520721733,-1.24628482731275e-06,0.0435200878102043,0.147473314361216,0.118495594230048,-0.00446023521755896,-0.00437996683301165,-0.137303228251268,-0.137303228251268,-0.125431710681773,-0.0810175956133867,-0.0669372725931653
"GRHL2",0.0492144099118127,0.105617847240282,-0.00756445975477309,-0.0820933955277951,-0.0108807924180312,-0.0715629340450349,-0.0767042788135947,0.144445594029206,-0.0324805753084098,0.00556305741277844,0.00525932761081027,0.0458297965723811,0.045719963634061,-0.0871226419691859,-0.0845274160130549,-0.0520639635142782,0.083870362786256,0.0838553957967828,0.0715168608563554,0.0715168608563554,0.0180804953181393,-0.10567858935041,-0.11425694958026
"GSC",0.09818569591121,-0.0676682402516581,0.00226060563475523,-0.00696523224926536,0.167723057741479,0.156977269894042,0.0889423913350956,-0.0168911469338276,0.0112510540086846,0.12519998461611,0.125190405888549,0.362769155075046,0.36261582003799,0.0961493496236847,0.076448221581973,-0.37204101064735,-0.0202356437890367,-0.0201940817913715,-0.156948551945324,-0.156948551945324,0.251376856270467,0.0677383938100024,-0.174113442117742
