"","miR200c","miR200b","SNAI2","TWIST2","SNAI1","TWIST1","miR141","NP63","OVOL2","miR205","miR34a","ZEB1","CLDN7","GRHL2","FOXC2","ZEB2","TCF3","KLF8","miR101","GSC","TGFbeta","miR200a","CDH1"
"miR200a",0.0648107512491889,0.131019816408355,-0.0694411969125352,0.0348088854359936,-0.143739723396072,-0.11818357904254,0.0341921865078676,0.0278805703995118,0.0367334524390824,-0.027414958172748,0.136053407778272,-0.0343848028086079,-0.0341921865078676,-0.0221201890437426,-0.00405157285466373,-0.16248330491586,0.117963220257027,-0.0342009108816143,-0.0344692729723171,0.0326751425120148,0.0321751879624284,-0.103283826161272,-0.0892954966078185
"miR200c",0.0828714160895167,0.0429282351007493,0.12579829772049,0.0935415039952385,0.0954351045213593,0.0707174024197282,-0.00690257137952564,0.00399710655990951,0.0181328931555463,-0.00325425957217181,-0.00813904769445286,0.00685681663833008,0.00690257137952564,0.010737394396861,-0.056808250391166,-0.151288580554808,-0.0701125249480865,-0.0181861624180984,-0.0178907840095396,-0.1331011205208,-0.133394275688513,-0.0745375824338842,-0.0885908906016996
"TWIST1",0.143739443696221,-0.0209261280023979,0.0202577904811962,-0.0929961881561513,0.364644409862565,0.289283210900801,-0.151880869514878,-0.107535408668955,-0.0884027908176363,0.107287942253683,-0.206090333250029,0.151931834077848,0.151880869514878,0.14053542438383,0.0731435082073992,-0.13129590142407,-0.388803663162518,0.0915129593697624,0.091487066823828,0.00406294657160996,0.00398805522673062,0.0176826474362051,-0.11974531949078
"TWIST2",-0.0346405858335129,0.105460698253658,-0.0777785395219434,-0.0248245222322943,-0.309862957101268,-0.315065077766494,0.15971643028131,0.113807612193825,0.0936265856328539,-0.113371140256403,0.209288624945028,-0.15986698779611,-0.15971643028131,-0.147939883154606,-0.0906617109344725,-0.0873957548984842,0.314503688256214,-0.0848985598002067,-0.0851262413588695,-0.083022057976713,-0.083285393247539,-0.129074925759487,-0.0940302175338224
"ZEB1",0.0369762244160957,0.0113436339841256,-0.00805342927451708,-0.092842644975196,0.110074699055893,0.0941363310680224,-0.0133997087097083,-0.0179447331261657,-0.0337315482826685,0.0183125915006916,-0.0262834572458392,-0.0866409186789686,0.0133997087097083,0.00489872191081007,0.108933647138328,-0.0843452959359283,-0.0938208395322096,0.03582281795444,0.0359874088652009,-0.0178173487494528,-0.0179886337067916,-0.0193510798100622,0.0484146565698149
"miR101",0.0465290008707801,0.0191680896975677,0.144098025245622,0.0341197746758922,0.327561201509495,0.268118563487391,-0.00873415472031128,0.00606861482798788,0.0195335183774508,-0.00577468243243886,-0.138304020024818,0.00870449188784036,0.00873415472031128,0.00931092553445392,0.147000317727125,-0.0791454322353745,-0.267471487333184,0.212884545568448,0.112904483362531,-0.0193266554237392,-0.019625978801985,-0.0362915307928886,-0.091015665176314
"NP63",-0.0422649772694263,0.113000790960202,0.0533213696909641,0.055667433602562,0.116631553467403,0.133992647625663,0.0844989363779573,0.0335493319516865,0.102904420453542,-0.133425729200182,0.0591533548148267,-0.0844443117778874,-0.0844989363779573,0.0338109312185386,0.0172359843693248,-0.0554184059743923,-0.13387820804303,-0.00464263240037941,-0.00475502891334613,-0.119750078816351,-0.119987998813613,-0.0727346339120069,-0.127495676214439
"TGFbeta",-0.0300691566870464,0.157927258800189,-0.0927165352779272,-0.0374199617031295,-0.156838252079656,-0.115040292117935,0.118349046309506,0.0990379803275166,0.0896835463630017,-0.0986945625024962,0.180682933329049,-0.11837048930288,-0.118349046309506,-0.111410665367016,0.00731956850173809,-0.054166896794994,0.114820202720798,-0.0249196085446571,-0.0247333346458544,-0.0563602578029234,-0.156440621655697,-0.0908213853016921,-0.00195658335532552
"miR34a",-0.119182477511431,0.149484706788676,-0.13588593354113,0.0506655068980213,-0.31501189663712,-0.209858509229126,0.164839535781762,0.116094879154739,0.0953695656804034,-0.115619923149668,0.215795116587498,-0.164957092412408,-0.164839535781762,-0.151100649316711,-0.161405507373097,-0.0497947366264156,0.209353836479092,-0.0581384781891614,-0.0581980202911897,-0.0949670568376083,-0.0951571261676591,-0.157762775103428,-0.0290325209873244
"TCF3",0.00664279559559781,0.0288605200914596,-0.0277415186339113,-0.00944807409456832,-0.164039591656002,-0.173853904434984,0.0256687301279726,0.0125862863366005,0.00352405280338826,-0.0123550724637681,0.0776096398100745,-0.0260307972018123,-0.0256687301279726,-0.0243126672147771,-0.0479784151458253,-0.0385227536738437,0.171240158065187,-0.0449772967272934,-0.0462140721705954,-0.0235228826965573,-0.0235410084895607,-0.0328415290133386,-0.0746739347313611
