"","CDH1","TGFbeta","TWIST1","KLF8","FOXC2","GRHL2","miR141","CLDN7","ZEB1","SNAI2","NP63","miR205","OVOL2","miR34a","TWIST2","ZEB2","SNAI1","miR101","TCF3","miR200b","GSC","miR200c","miR200a"
"miR200c",-0.0664771467617946,-0.104198670653471,-0.0480705094267739,0.032282180223607,-0.0135135168518413,-0.195275620158162,-0.194530605569334,-0.194530605569334,-0.194530382375475,0.105560991852532,0,0,0.128990358369168,0.180816952897468,0.0152001996167241,-0.214880436536246,0.0116145422024775,-0.0324514824821712,0.0479802954273359,-0.132444007027629,0.104181626748372,-0.00919497853809604,-0.00919497853809604
"miR141",0.21193387994849,0.238634700424644,0.0887057962770433,-0.0117579092990667,0.0424837173298536,0.211704236998351,0.213175085130531,0.213175085130531,0.213191378282274,-0.0904551520714044,0,0,-0.14181050144851,-0.204592373126165,-0.0346894774139921,-0.177700657935468,-0.0392889235205694,0.0119884485447711,-0.0885919195892281,-0.0236337116305288,-0.238611975217845,-0.198352691336124,-0.198352691336124
"TWIST2",-0.153069280935313,0.0201821998633934,-0.182382947786189,-0.0226964977301602,0.0393915188214883,-0.0616409135297239,-0.061133272163344,-0.061133272163344,-0.0611424196892611,0.0611838897335237,0,0,0.0759473599561915,0.074160223142659,-0.0485526715882136,-0.14716893360692,0.0897720117451194,0.0226382738201205,0.182247587371274,-0.0517653297937767,-0.0202152191046058,-0.0424300129724765,-0.0424300129724765
"miR200a",0.162715010353339,0.027136609742527,-0.013486899426758,-0.0131184090910544,-0.0256739188327896,0.255289338874403,0.262673249499116,0.262673249499116,0.262703380670147,0.0557252392190902,0,0,-0.175645117496615,-0.159173032664803,-0.0849941997696125,-0.129679336155353,0.053301097699571,0.0131454254089104,0.0134913361808287,0.0713971570963809,-0.02702525622921,-0.205909657609647,-0.205909657609647
"TGFbeta",0.0679490138446176,0.0845464256791978,0.033904765156716,0.00425566338880814,0.0397037789135522,-0.127255321220062,-0.127775137616487,-0.127775137616487,-0.127785944885147,-0.0202292976055637,0,0,0.120654017010813,0.00604820901393198,0.0460228736864722,-0.113563395572187,-0.0323623267279359,-0.00424112156027708,-0.0337935859767191,-0.154822649123081,-0.184450423455074,0.0100593948734724,0.0100593948734724
"FOXC2",-0.228451407274197,-0.104429177977455,-0.0361755131049363,0.0506684183121867,0.0688271226085605,-0.241767016540148,-0.251379737863005,-0.251379737863005,-0.25140821977699,0.048208411839843,0,0,0.162320992143897,0.240567177126579,0.100525993265094,-0.110716765913784,-0.0667189883838238,-0.0508549886697514,0.0360853824154366,-0.23693627154381,0.104306513221319,0.196310126692567,0.196310126692567
"miR34a",-0.0955957902218825,-0.0925941151024846,-0.019791839613004,0.0911608005060304,0.0768519575161865,-0.231030761920459,-0.234220882864342,-0.234220882864342,-0.23423968240649,0.123867277379021,0,0,0.18319129122424,0.110660265657621,0.0164424058841591,-0.104006709905647,-0.0419470254559599,-0.0912664397193064,0.0196808273544163,-0.0674469957726014,0.0926538511776434,0.138332039047121,0.138332039047121
"TCF3",-0.0712220278755765,0.0546448457764728,-0.0910794860031073,-0.0294849456391046,0.0048143847304164,0.0725889538165803,0.0731385311331886,0.0731385311331886,0.0732445911851215,-0.0131094843467882,0,0,-0.0578665663085683,-0.0266166686698115,-0.0096915377697757,-0.0842225350613,0.0509346864840695,0.0297084592734363,0.0904018480553822,-0.0107625828700154,-0.0546448457764728,-0.079497810257841,-0.079497810257841
"GRHL2",-0.0419704036035171,0.0460128717831809,0.0123030393986776,0.0225440439284513,0.0698747803326757,-0.0458022021964853,-0.126336435683485,-0.126336435683485,-0.126341021166718,0.0160431152082023,-0.0255409753580788,-0.0256364332958402,-0.00901003350105469,0.115578069021429,0.0244978858926944,-0.0814917181145206,-0.0700853874642718,-0.0226646478282708,-0.0120891542030016,-0.12193604846271,-0.0460943587258684,0.0925767056553871,0.0925767056553871
"miR101",0.0750309469636468,0.125014977095789,-0.0116561136598366,-0.216297406270878,-0.0321953663973233,0.242007034233592,0.246916234858112,0.246916234858112,0.246921837837579,-0.104739523102039,0,0,-0.181890231610841,-0.127937951479349,0.00350248901612538,-0.0805328230048936,0.0388000383968954,0.116379815819752,0.0116615696139193,0.0421852323695428,-0.125025876826649,-0.169453458321234,-0.169453458321234
