"","SNAI2","ZEB2","miR101","TWIST2","OVOL2","miR205","FOXC2","miR141","CLDN7","ZEB1","CDH1","GRHL2","GSC","TGFbeta","TCF3","TWIST1","miR200c","miR200a","miR200b","miR34a","SNAI1","NP63","KLF8"
"ZEB2",-0.0850978749402341,-0.0834971531779067,-0.0799898794582127,-0.0720130209735899,-0.0527471644679715,-0.0343875670021308,-0.0239238988223113,-0.0067777642147373,-0.0067777642147373,-0.00661745547926144,-0.00579263566134586,-0.00135971723197908,-0.000250141792415652,0.000314801344478907,0.00221409291275196,0.00261190413914714,0.00829076842987956,0.00829076842987956,0.0138228381606851,0.0281300654361008,0.028728738078552,0.0345889924747059,0.0796547794751168
"SNAI1",-0.0932597241603676,-0.0753352128093615,-0.000809990456665275,-0.0697754269356719,-0.0837378327423975,-0.0790749112044987,-0.0524971204948397,-0.0771150641641498,-0.0771150641641498,-0.0769573224266744,-0.0436603453553081,-0.0741092630145362,-0.0116229394248277,0.0116703619241691,0.0275419454673454,0.0280237586791439,-0.00298195240436678,-0.00298195240436678,0.0821570036949647,-0.00855451958537186,-0.106655775607039,0.0795196551398087,0.000517670333372945
"SNAI2",0.0470528782785016,-0.034170048891973,0.171057273431498,0.173586329722738,-0.1021914391904,-0.100508004401123,-0.0583737906382176,-0.106576938046702,-0.106576938046702,-0.10661721577449,-0.0797407356881242,-0.0986263106226783,0.201633001781015,-0.201662733548762,-0.118555884177291,-0.118648829407614,0.0353460464023421,0.0353460464023421,-0.135330208206845,0.0607311390854583,0.00926099854169809,0.100158041025198,-0.171116237740748
"CDH1",0.147122313770216,-0.0340953577659448,0.171116237740748,0.173750730560507,-0.102109779379125,-0.100482323866968,-0.0583266886815769,-0.106414899895541,-0.106414899895541,-0.106576938046702,-0.0797746120701266,-0.0984851220717863,0.20159822059559,-0.201633001781015,-0.118114981122842,-0.118555884177291,0.0353143424057736,0.0353143424057736,-0.13545829544813,0.0606007715181402,0.0093647445287766,0.100508004401123,-0.170666559632632
"GRHL2",0.0344208966910366,-0.0199767620832899,0.0178109392583368,0.01300924795418,0.0678600009044904,0.150112265321681,0.0832820246904604,0.00615993759322542,0.00615993759322542,0.00613570003899116,0.0569931241803079,-0.0872766809784643,-0.085414163250176,0.0853803489406254,0.00644153697125995,0.00637794948065356,-0.0109643822645314,-0.0109643822645314,-0.0619979478715286,0.000404703003596296,-0.0737445852368756,-0.150617324592382,-0.0179438676442692
"miR101",0.101672747695556,-0.00988912572411278,0.0113192502990936,0.0800209452999636,-0.0561479907201433,-0.0393013118684938,0.039434229261661,-0.0151687147677389,-0.0151687147677389,-0.0150553368302945,0.0181316801727539,-0.00933478697708669,0.00577412448250607,-0.00569028039896383,-0.0523927770402074,-0.052310937728967,0.00479998861304614,0.00479998861304614,0.00886092065947531,0.00491801016078086,0.0311147058986129,0.0401384943165307,-0.111061388162294
"miR200b",-0.0907758638425505,-0.00385837674803027,-0.0818851949519462,-0.0719393542673544,0.0673530438673178,0.0489371103816717,0.0796631893150848,0.00879993338757181,0.00879993338757181,0.00877024860425957,0.0270390744754736,0.00011056173475265,-0.109210948442534,0.109185950715055,0.0102692031910607,0.0103682906986402,-0.00728506551343447,-0.00728506551343447,-0.00351830247047497,-0.0116964662094765,-0.0637220391958295,-0.0492534423525265,0.0816618600576701
"TGFbeta",-0.105434243063454,-0.00233015782248198,-0.0602888813563444,-0.0861967828843442,0.0128489877418092,0.0139703710048834,0.0576906959950746,0.0162252732083171,0.0162252732083171,0.0162662722116468,0.0795868533907656,0.0152015318170098,-0.202561864349857,0.102591837894945,-0.0263460100284812,-0.0264957615770483,-0.0101796795917626,-0.0101796795917626,0.0959778580312693,0.0459832880787252,-0.0190205495765984,-0.0137768577860227,0.0605236280169174
"FOXC2",0.0488347416668332,-0.00208262228015309,0.0137143986975794,-0.0418919677586044,0.0753948211538695,0.0534458669195536,0.106687725755984,0.0162926453353938,0.0162926453353938,0.0162599123894712,0.0663336373662692,0.000680369929890344,-0.00387161076030115,0.00387703840437797,0.0763325005334419,0.0761409728182548,-0.0119659910168384,-0.0119659910168384,-0.0220588596049941,-0.00673086996003801,-0.0912062956639976,-0.0541100035419445,-0.0137366502081147
"ZEB1",0.0488621800592549,-0.00204627599088206,0.0136152032826119,-0.0419054855703093,0.0753774610164841,0.0541100035419445,0.106727588735437,0.0162599123894712,0.0162599123894712,-0.0837081855670711,0.066375521385612,0.000577253393095115,-0.00387703840437797,0.00386903443440886,0.0761409728182548,0.0763026246718427,-0.0119887371697717,-0.0119887371697717,-0.0219930286213425,-0.00666727306650166,-0.0911973251063122,-0.0539778044385993,-0.0137143986975794
