"","ZEB2","miR101","GRHL2","miR141","SNAI1","miR34a","TWIST1","miR200b","TGFbeta","miR200c","NP63","miR205","GSC","CDH1","TCF3","miR200a","ZEB1","CLDN7","FOXC2","OVOL2","KLF8","SNAI2","TWIST2"
"TWIST2",-0.127889349651589,-0.0310967125987003,0.129738061340651,0.129382159663699,-0.040899391338247,0.0874199551328034,-0.182260444849069,-0.0380104179259359,-0.0123577042735138,6.5787436147262e-05,0,0,0.0123721672469374,-0.0650035472091754,0.182137908052409,-0.128768457946699,-0.129341157224,-0.129382159663699,0.0903393472308188,-0.118161474121392,0.0311618886174015,0.116790422689782,0.0823871901130836
"GSC",-0.119419335119909,0.0231617573611955,-0.0753736574641575,-0.0729882877764995,-0.00942168302448099,-0.00994808718498236,-0.119921268504037,0.0830115568219168,-0.0269097030737631,-0.0925496453589931,0,0,0.0269427081895561,0.00468952188257395,0.119729599707718,-0.0249658446456445,0.0730172470525176,0.0729882877764995,-0.0522198583032438,0.0819892052836757,-0.0231900136555287,0.0448615969145553,0.0344122113283476
"ZEB2",-0.0910050976717057,-0.0882661601953781,-0.0251619595241463,-0.0241732731636807,-0.0213788931430601,-0.0179310356690549,-0.0144208410530504,-0.00568400965742636,-0.00442889573019106,-0.00397740353637772,0,0,0.00441226898823194,0.00841314278733732,0.0143802480707652,0.0145824232183538,0.0241504420574031,0.0241732731636807,0.0254497856981824,0.0268404792964957,0.0882174364589636,0.0939655052256647,0.105885341675522
"SNAI2",-0.0765706299695934,-0.274606898508742,0.0490828567011756,0.0495344333622462,-0.0921492734895685,0.0637457784067477,-0.251435052397802,-0.250830701646194,-0.221528278042384,-0.0125154841977799,0,0,0.221463212869487,0.125179898151175,0.251299034987573,-0.062685580841565,-0.0495630562581634,-0.0495344333622462,0.124605379147538,-0.0436952559789099,0.274432780372014,0.279691311839705,0.334391644239857
"CDH1",-0.0765111625125646,-0.274432780372014,0.0490742998193033,0.0495248073334644,-0.0919413362536644,0.0638219222956238,-0.251299034987573,-0.25081037545929,-0.221463212869487,-0.0124949698470592,0,0,0.221358869313213,0.125258943042514,0.250656272703376,-0.0626538768449965,-0.0495344333622462,-0.0495248073334644,0.124705948190095,-0.0436892071040006,0.274228969430925,0.379537739530669,0.33443743625403
"CLDN7",-0.0764488169847429,-0.274228969430925,0.0488762671601467,0.0493017155000884,-0.0922370605728824,0.063376889183041,-0.250656272703376,-0.250530818608668,-0.221358869313213,-0.0125353069805751,0,0,0.220851347109117,0.224996480824756,0.250027037466203,-0.0624352071211998,-0.0495248073334644,-0.0493017155000884,0.123983085414541,-0.0435470789090287,0.273200806712999,0.379425651871835,0.333707509246731
"OVOL2",-0.0352519417405225,-0.195054860307532,-0.0430401840799409,-0.0705328827628214,0.0304491005917817,-0.0943291840226229,-0.112047822560224,-0.0699679517257399,-0.0645347987937961,-0.0955636144127599,-0.00906664885944927,0.00906556846748307,0.0644927738819795,0.111116493455879,0.111824817021054,0.0682245783744506,0.070513181916772,0.0705328827628214,-0.0262578682150423,-0.0215911458339009,0.194926546915781,0.230453322495755,0.216413287291882
"miR101",-0.0163229816920757,-0.120743611762205,-0.0764742048164525,-0.0738097739540419,0.00714509768619122,-0.0478770183286552,-0.0380058705768333,0.0246184156857823,-0.0204775945698089,-0.041347647469634,0,0,0.0204675332797838,0.00815397153418737,0.0378934779227298,0.0279075208293247,0.0737923058415868,0.0738097739540419,-0.0888042535206596,0.0823775721968383,0.020679810821141,0.127343506185812,0.105276070321216
"GRHL2",-0.0127891833726766,-0.00126870646043482,-0.0501013463489526,-0.076318764508269,0.00587991110329838,-0.082296292988833,-0.00173873316753674,0.0909707111055125,0.0695422959552276,-0.086959006816594,-0.00853631481530386,0.00853457921643547,-0.0695140249751115,-0.0579106083610536,0.00165491329355559,0.0803569533620683,0.0763176727265467,0.076318764508269,0.0238479070664861,-0.0165782834773353,0.00122909204078606,0.00132933890779601,0.0287669013233992
"miR205",-0.0092070814816416,-0.045217584620176,-0.155747716416527,-0.148088108840997,0.092741649688954,-0.164951088927989,-0.0229005596117256,0.0660559619868121,-0.0236631895187503,-0.0732428176893812,0,0,0.0236949305122434,-0.0355972734317267,0.022686400392583,0.0657743004598127,0.148073202193874,0.148088108840997,-0.0986641805992503,0.102174531520929,0.045108691698216,0.0404833612395162,0.137473868955886
