"","ZEB2","KLF8","TWIST2","SNAI2","OVOL2","miR205","TCF3","miR200c","miR200a","TGFbeta","CLDN7","FOXC2","GRHL2","miR141","ZEB1","GSC","TWIST1","NP63","miR200b","SNAI1","CDH1","miR34a","miR101"
"TWIST1",-0.148545598741214,0.110849754087074,0.142153681589751,0.121700862120232,-0.117753836703511,-0.0253223611247148,0.0562322178040198,0.100439687670292,0.100439687670292,0.0150678525994,-0.0671854260204085,-0.135901643862403,0.064728911034671,0.0671854260204085,0.0667993046704523,-0.0148895547950638,-0.15533766112017,0.0251338152845074,-0.112261840285158,0.0557942425826236,-0.15040313156111,0.0631890585254568,-0.110869671430101
"GSC",-0.0897145801666542,-0.0405537203900649,-0.00663562544005098,0.0401776446255389,0.0987913625297034,0.0173170610928897,-0.134768568958295,0.0189998401404339,0.0189998401404339,0.0259793286682348,0.057782369314481,0.0534000953473335,-0.0552727426224014,-0.057782369314481,-0.0570040887714946,-0.0263845581454704,0.133206468268287,-0.0173189768384021,-0.0235997636704382,-0.0501664739838427,-0.0415023317081542,-0.0495663006774345,0.0401727475940559
"SNAI1",-0.0845151871338292,0.0918752755973899,0.0530953192957056,0.0427968834698639,-0.0771751609795475,-0.00844052278200465,0.0435530479880494,0.0652398987841756,0.0652398987841756,0.00695513614797963,-0.0519086595396782,-0.03770809712986,0.0503294765670218,0.0519086595396782,0.0524952302590129,-0.00720005481741748,-0.0439950081452135,0.00808644289962288,-0.0569350056296662,-0.0562942775672831,0.0538231619714397,0.0916053076088231,-0.0919011694823774
"TWIST2",-0.0793948139981178,0.0706755211652132,0.0875854506572869,0.091861494277714,0.136285372637866,0.0293239606638523,0.184930203736055,-0.0017963703092575,-0.0017963703092575,0.0366147664528343,0.0787940980195078,0.0663426110455905,-0.0751459952588718,-0.0787940980195078,-0.0790068587105442,-0.0364027338047184,-0.184420108698795,-0.0295088193667604,-0.0297725483118027,0.0286570494034911,-0.0809446360283565,-0.0232423555956957,-0.0704156861039912
"ZEB2",-0.079154155546358,-0.071806196417223,-0.0709794495093614,-0.0648236128261878,-0.039263706633427,-0.011829115495375,-0.0111347098728489,-0.0107857926382789,-0.0107857926382789,-0.00995294400093881,-0.00679381954745229,0.00429438417351837,0.00476585802125663,0.00679381954745229,0.00759389025023302,0.00956190766227055,0.0098503479133445,0.0114107702831035,0.0155897020196161,0.0183969052939555,0.026968708091328,0.0269962320112028,0.0710733516470698
"SNAI2",-0.0691111195158316,0.0582499291194532,0.0894121294086008,-0.0331631133904466,-0.036473988049144,-0.00727072717281909,0.139517108528766,0.0442216497862424,0.0442216497862424,0.01059747537776,-0.0210550159800831,-0.00854107996505283,0.0206560232947543,0.0210550159800831,0.0209520078336984,-0.0108857442563553,-0.140249335587163,0.00795437655834851,-0.0520934458504722,0.0482677845195663,-0.130938874300032,0.0242096752622029,-0.0589887172294736
"TCF3",-0.0681981864181953,0.0577659568906673,0.0900695265942413,0.0664005473353625,-0.0369737674536191,-0.00717391304347826,0.142388804706302,0.0454700172734795,0.0454700172734795,0.0105972650125392,-0.0227288530548068,-0.00776161381627469,0.0221531775125146,0.0227288530548068,0.0201870690515885,-0.0103616297034944,-0.139533044783746,0.00850339281226439,-0.0533700598555293,0.0477825962519862,-0.231256628934331,0.0253216596501844,-0.0597477777817417
"KLF8",-0.0681981864181953,0.0577659568906673,0.0900695265942413,0.0664005473353625,-0.0369737674536191,-0.00717391304347826,0.142388804706302,0.0454700172734795,0.0454700172734795,0.0105972650125392,-0.0227288530548068,-0.00776161381627469,0.0221531775125146,0.0227288530548068,0.0201870690515885,-0.0103616297034944,-0.139533044783746,0.00850339281226439,-0.0533700598555293,0.0477825962519862,-0.231256628934331,0.0253216596501844,-0.0597477777817417
"miR34a",-0.0653204665525474,0.029292352308702,0.0290863455631337,-0.0371417564058917,0.146817406820103,0.0319119189914062,0.066061889799462,-0.0680276272711029,-0.0680276272711029,0.0214335963368763,0.0903687778308629,-0.0437188388564736,-0.0851760493565942,-0.0903687778308629,-0.0907780843181328,-0.0213551550260617,-0.0659099368497639,-0.0315183299513472,0.055992328192957,0.0804806682947426,0.0586742550831034,-0.00195345543274904,-0.0294027933043996
"GRHL2",-0.0527465652409511,-0.0542397145881742,0.00292439184501201,-0.0646695124471448,-0.300327948991741,-0.074372056088424,0.000445318502719558,0.127736469143824,0.127736469143824,-0.172138935755371,-0.117365959552794,-0.0200332696674644,0.0675736929052197,0.117365959552794,0.117685414884729,0.172136164090654,-0.000786378679608395,0.0740822110774029,-0.0803104196951532,0.0956324741060913,-0.144508580762353,0.127429098396984,0.0542617225990901
"ZEB1",-0.0414738712538274,0.0163737196045556,0.0740211966673984,-0.011459809175358,-0.1563032785299,-0.0595094353476745,0.0913733328761558,0.0271552118907957,0.0271552118907957,-0.0351880547771151,-0.0192180407689835,-0.0821075807951644,0.0054533083318681,0.0192180407689835,-0.0806260845742361,0.0352596331371245,-0.0916768056867948,0.0594864441992667,-0.0258034755619062,0.102390640312195,-0.153556871745603,0.0300226406225265,-0.0159989813702339
"FOXC2",-0.0411762860104208,0.0159920206161435,0.0744187793645994,-0.0116978881523972,-0.156422662859304,-0.0596178658166363,0.0922295744264037,0.0274528898052701,0.0274528898052701,-0.0352596331371245,-0.0195321920292019,-0.0818961043109441,0.00572035372203011,0.0195321920292019,0.0192180407689835,0.0352650607812014,-0.0913733328761558,0.0595094353476745,-0.0261825594339991,0.102141825370078,-0.153656196705759,0.030250733327229,-0.0163737196045556
"miR200c",-0.0266095277682612,0.0846410580562889,0.0300187668097488,0.117096596359132,0.157036507172309,0.0575126320624713,-0.0406633355406481,0.00166793426397177,0.00166793426397177,-0.0593021478757617,0.018824922597441,0.0377448633110767,-0.0105971981625022,-0.018824922597441,-0.0181694022321173,0.0587487890901967,0.0390557516490232,-0.0574060033082506,-0.0353265591079262,0.0174249962304052,0.0258744620490459,-0.0279663552719084,-0.0856208498505326
"miR141",-0.0222596608133316,0.0872698680668028,0.0922223281243135,0.084005998001625,-0.15495654206072,-0.0569803740260196,0.0291978882235675,0.0178580019299906,0.0178580019299906,-0.117948172827625,-0.0149657807741125,0.0166326657446792,0.0070456270031423,0.0149657807741125,0.0147490595365472,0.117810685326489,-0.0290248548148094,0.0572433916197641,-0.0462486692842118,0.0924883192675223,-0.0495618913410617,0.117521027404679,-0.0878155976874937
"miR205",0.00405172129653273,0.000734862006706611,-0.0654373760305455,0.0259168278475091,0.159996676438925,0.0599258270394907,-0.092089683408697,-0.0111807795246419,-0.0111807795246419,0.0294288409131007,0.017583135659185,0.0854269393918759,-0.00671869780388607,-0.017583135659185,-0.0169763108992442,-0.0297192710035625,0.0908500310055834,-0.0600348350664455,0.00941711766315704,-0.107173750622187,0.0568044930777091,-0.029627340147979,-0.00103650791696382
"miR200b",0.0139995416424645,0.0712183135651237,0.0146904986519618,0.0933309594684913,0.142806423711982,0.0539911464149542,-0.0443116299623422,-0.0122649331712334,-0.0122649331712334,-0.0736138479264424,0.0102027104136948,0.0399154439112758,-0.00389372674898796,-0.0102027104136948,-0.0100895511269331,0.0734706791236063,0.0435854812127673,-0.0536143914833743,0.0138750137888243,0.0234878864877234,0.105004384187284,-0.0170168898409513,-0.0713624005936889
"miR200a",0.0222596608133316,-0.0872698680668028,-0.0922223281243135,-0.084005998001625,0.15495654206072,0.0569803740260196,-0.0291978882235675,-0.0178580019299906,-0.0178580019299906,0.117948172827625,0.0149657807741125,-0.0166326657446792,-0.0070456270031423,-0.0149657807741125,-0.0147490595365472,-0.117810685326489,0.0290248548148094,-0.0572433916197641,0.0462486692842118,-0.0924883192675223,0.0495618913410617,-0.117521027404679,0.0878155976874937
"NP63",0.0236103374644001,0.0635397759789564,0.0509400513824995,0.0686394507049896,0.155505558456609,-0.0817970922314414,0.140504550596192,-0.00586390915825527,-0.00586390915825527,0.110519546415599,0.00437140428150944,-0.00525349747008468,-0.120621891021296,-0.00437140428150944,-0.00353982108417213,-0.110670172025376,-0.141287676367538,-0.0188639137874752,-0.0917554333546401,0.0482792085489869,-0.0786331179423023,0.0123563467417238,-0.0632930519261026
