"","miR200c","miR200a","CDH1","miR200b","miR141","CLDN7","GRHL2","TGFbeta","miR34a","ZEB2","TWIST1","NP63","miR205","SNAI1","TCF3","FOXC2","OVOL2","GSC","ZEB1","miR101","KLF8","SNAI2","TWIST2"
"ZEB1",-0.226771330785608,-0.226771330785608,0.241772705953304,-0.272707577486307,-0.351330087969596,-0.351330087969596,-0.326026928159381,0.0811528137209985,-0.337377617361136,-0.19879363538529,0.0245604212522212,0,0,-0.130161081439229,-0.0241391649348788,-0.124822432281544,0.22270800222479,-0.080268032012128,0.252291784612974,-0.179790632447454,-0.178094023461084,-0.20463838089379,0.0150637791621013
"TWIST1",0.0613035684732402,0.0613035684732402,0.153896604500796,0.0475019706037873,-0.0527537197888358,-0.0527537197888358,-0.053948680414083,0.0193344267461423,0.00596588672267302,-0.183911202954237,-0.070210383824469,0,0,-0.0210303497943756,-0.0297969686962201,0.0839333966158904,0.0699293759315093,-0.0193723424479432,0.0526965851819232,0.0143181388263481,0.0143928288626973,0.0235165510096926,0.0449562262655397
"NP63",0.065201869048556,0.065201869048556,0.194702469963027,-0.111949834669225,0.00469065378597213,0.00469065378597213,-0.118710354748847,0.124249704204764,0.028595899631085,-0.172318668993035,0.0822750951164888,0.0215802590359401,-0.12148890048048,0.0985080177092937,-0.0821516798803169,0.077151358526872,0.0763398228085562,-0.124143581616058,-0.00472763565806914,-0.244751866448039,-0.244573676854311,-0.303808164024321,-0.282291951376214
"CDH1",0.0320754705499745,0.0320754705499745,0.299373573979647,-0.217769245724434,-0.0422047656343102,-0.0422047656343102,-0.0423617428892239,0.227870778999837,0.0153465975502685,-0.108911428471477,0.0838489149295329,0,0,0.100902686957495,-0.0835248777449379,0.0771995380048659,0.0381217050149642,-0.227529105001842,0.0423587820948194,-0.235724747009237,-0.235158605506212,-0.320942629255387,-0.300229114919981
"SNAI1",0.144935640401255,0.144935640401255,0.0529962778652906,0.0706109109130417,0.208285596983826,0.208285596983826,0.204362010738899,-0.00765254143110508,0.183943557774726,-0.0536475825861498,0.0072118690259789,0,0,-0.0494214226215124,-0.0073053704233905,0.0595215346570845,-0.17685399766661,0.00720153980156653,-0.208782603133669,0.0373974051293346,0.036634003483981,-0.0723451607846836,-0.107423131832478
"TGFbeta",-0.0887797205681258,-0.0887797205681258,0.0784901900770048,-0.178509600917181,-0.204854703104568,-0.204854703104568,-0.200418350464353,0.132633014889508,-0.219498021521199,-0.0506509046174864,0.0204825469083184,0,0,-0.106849728063801,-0.0200741335940444,-0.105605271957532,0.174247224717212,-0.231774207662843,0.205819980894259,-0.13997145306633,-0.13849718864049,-0.162196038247229,-0.0741818482678571
"miR101",0.0872047342139268,0.0872047342139268,-0.0759404376722355,0.126481610453337,0.127958750939951,0.127958750939951,0.125015629056512,-0.0190864813217861,0.0533357724258037,-0.0291997518079485,-0.0233142674039114,0,0,0.0028390833721529,0.0232084218947072,-0.0123616629984171,-0.117350490606305,0.0188274031036406,-0.128200338231075,0.0406377383185271,0.140056883917591,0.159994798042397,0.0645227116826677
"miR34a",0.232289492697558,0.232289492697558,-0.0844864328506342,0.223774792817258,0.313863968521496,0.313863968521496,0.302864322207191,-0.0686853342045614,0.243506171926309,-0.0165369122275454,-0.0321241689452519,0,0,0.11259516734353,0.031739168984618,0.106893349424854,-0.235781297057791,0.067713868739857,-0.314951724308305,0.179541606147185,0.177881149785783,0.220034623103346,0.00253214568895379
"ZEB2",-0.165543665571778,-0.165543665571778,-0.163803078528817,-0.148756641392907,-0.0673219180781947,-0.0673219180781947,-0.0672015217697742,-0.0520483053416588,-0.0511921958603657,-0.015397453652612,-0.0128194714425137,0,0,0.00984023710550931,0.0129964568452772,0.0178245861267529,0.0505580377306691,0.0522398207768176,0.0674596412031594,0.129476274550868,0.129843194116928,0.140935907896796,0.141332926748091
"miR205",-0.206992552234817,-0.206992552234817,0.0880943795194909,-0.234734397693903,-0.327624417484523,-0.327624417484523,-0.309797990139815,0.0367776247170645,-0.314097331953271,0.0350163219700366,0.0135023946707462,0,0,-0.119057004188191,-0.013082313125505,-0.112240556079152,0.211864290959161,-0.0356063820571692,0.328867259188353,-0.112666964132422,-0.110638051184177,-0.121097179229215,0.0635106172312387
