"","ZEB2","miR101","TWIST1","TCF3","SNAI1","miR200b","ZEB1","GRHL2","CDH1","NP63","TGFbeta","GSC","miR200c","miR200a","miR205","FOXC2","miR141","CLDN7","miR34a","OVOL2","KLF8","SNAI2","TWIST2"
"SNAI1",-0.11893112478316,-0.113826591209844,0.270987573644532,0.270837869221354,0.160074882447119,-0.077503159410731,-0.206212434474075,-0.202382671588704,-0.127241603279814,-0.0407752731435733,-0.0363439618847723,-0.0361579798194541,0.171706059349686,0.171706059349686,0.0407617960546246,-0.295618117156363,0.206405693196004,0.206405693196004,-0.0580402703745622,0.247729852077577,0.113864964075548,-0.121922470829281,-0.101338937555414
"TGFbeta",-0.0935884806744281,-0.0546232579359936,0.0953407378491912,0.0947757660977788,0.104175129117478,0.0855151466299301,-0.0351970241983189,-0.0349032855507318,-0.0186194153887478,-0.00774539873160648,0.093366632865084,0.193359248078613,0.0668719829995515,0.0668719829995515,0.00795526518023009,-0.0505786324560229,0.0352644409694844,0.0352644409694844,-0.0797430538083054,0.0401505336717186,0.054403745571977,0.00455270444015298,0.00996332144582449
"ZEB2",-0.0709651121985669,-0.0695021232274291,-0.0429572709198754,-0.0427510585698665,-0.0391870674133124,-0.0285096846394135,-0.0240994632550858,-0.0238496466191417,-0.0221516525051291,-0.0118597874190047,-0.0113734592196019,-0.0109996654281505,-0.00740428403530924,-0.00740428403530924,0.0119217644874894,0.0181788953579838,0.0241581367432615,0.0241581367432615,0.040005899239057,0.045601163349035,0.0698431893823308,0.0733801705325853,0.101633791368579
"miR200a",-0.0450747242624322,-0.0705871389413006,0.157197072447116,0.15700037634998,0.159693985432199,0.107884368676635,0.134720489230753,0.136761816622223,0.013950071406614,0.0550000689690819,0.145637251914928,0.145527034661951,-0.0423761477576258,-0.0423761477576258,-0.0543176449420692,-0.0811765882848227,-0.135102373924341,-0.135102373924341,-0.168157691536197,-0.16729175432243,0.0708663075591458,0.0251912902502702,-0.0716472644795497
"KLF8",-0.0329029438765251,-0.0363824069182662,-0.0544866396179831,-0.0551158748551564,0.0293568710751851,0.0199652355135202,-0.0189232973023243,-0.0187001318646539,-0.0845317864225647,-0.00723171651168635,0.00487238196587726,0.0048905077588807,0.0249119149739584,0.0249119149739584,0.00717391304347826,0.0102732949285102,0.0190805587586385,0.0190805587586385,-0.00134823735721513,0.0352033237207158,0.0365463169167761,0.0425206795355767,0.0391770570093284
"CLDN7",-0.0329029438765251,-0.0363824069182662,-0.0544866396179831,-0.0551158748551564,0.0293568710751851,0.0199652355135202,-0.0189232973023243,-0.0187001318646539,-0.0845317864225647,-0.00723171651168635,0.00487238196587726,0.0048905077588807,0.0249119149739584,0.0249119149739584,0.00717391304347826,0.0102732949285102,0.0190805587586385,0.0190805587586385,-0.00134823735721513,0.0352033237207158,0.0365463169167761,0.0425206795355767,0.0391770570093284
"SNAI2",-0.0326923535562571,-0.0365272924641452,-0.0545087011722738,-0.0543432133231624,0.0291273805335683,0.0202969143342164,-0.0186763210691143,-0.0183657907968736,0.0153672466341014,-0.00753374442323128,0.00463323862062712,0.00458799462622875,0.0248710413576239,0.0248710413576239,0.0073601191824619,0.0101471487819189,0.0187275680504271,0.0187275680504271,-0.00158866458204008,0.0352928722454183,0.0365279861619011,-0.057431811686402,0.0394605385909057
"miR200b",-0.0305088692220032,-0.0736490220933217,0.0380836859947604,0.0387802563838637,0.0561316462642586,0.00204167847328128,-0.14676949495332,-0.147879958025924,0.0531126960663264,-0.0552379052626581,0.0816184212088065,0.0818456732768003,0.0838220070722777,0.0838220070722777,0.0548113902457752,-0.00539465241871867,0.146863905955884,0.146863905955884,0.0691631983878358,0.17110289840714,0.0739047765690251,0.0840241413783534,0.0768840771501899
"ZEB1",-0.0198661114194049,0.00304369641777164,0.140657031263448,0.140158855104993,0.145236136901911,0.138913158590271,-0.00708125713724254,0.103596393841321,-0.0403878628587238,0.0550517286563426,0.0473472927248621,0.047474670189799,-0.121606651451272,-0.121606651451272,-0.0547873304496522,-0.138241115769718,-0.0927835909008727,-0.0927835909008727,-0.139323665018964,-0.146320143736608,-0.0030547181305458,-0.0558751716999332,-0.148286568170074
"FOXC2",-0.0198539959896479,0.0030547181305458,0.140158855104993,0.139308246722839,0.145267297786503,0.13912022695703,0.0927835909008727,0.104117264552825,-0.0402991992853098,0.0547873304496522,0.047474670189799,0.0471522681316364,-0.121939932039903,-0.121939932039903,-0.0537301333772749,-0.137878295092318,-0.0932371760086576,-0.0932371760086576,-0.139510786648023,-0.14690745053831,-0.00303246662001057,-0.0559177071991022,-0.148317579620455
