"","ZEB2","SNAI2","SNAI1","miR34a","CDH1","TWIST1","miR200c","miR200a","GRHL2","TGFbeta","miR200b","GSC","miR141","CLDN7","ZEB1","miR205","NP63","OVOL2","TCF3","FOXC2","TWIST2","KLF8","miR101"
"TWIST2",-0.159566612450026,-0.0935011073949385,-0.150498161487346,-0.0610192311481115,-0.107342880050987,-0.269466265406923,0.068852764576229,0.068852764576229,0.01240508188779,-0.0261701603647996,-0.0726864901542596,0.0262441125496637,-0.015567192923171,-0.015567192923171,-0.0154631263636201,-0.0213087254925201,-0.0209646829065523,-0.0296111844931215,0.269014589075047,-0.0181847386465915,0.109933289053735,0.112353311869777,0.112624444107574
"GSC",-0.146787770349677,0.127280709251011,-0.124765405846394,-0.0657650336328508,-0.0460776433637221,-0.19819362622107,0.0723130911940394,0.0723130911940394,0.0065663126614545,-0.00807618597527878,-0.0263569194399866,0.00815503152967305,-0.0073979181923799,-0.0073979181923799,-0.00729607807171625,-0.0197284266864346,-0.0193510248204985,-0.0299453229856234,0.197749593509595,-0.114784389222841,-0.0466468740154498,0.0398855069802017,0.0401709929884642
"miR101",-0.11116116165462,0.128579856433242,-0.0319545972405376,-0.0325176449172456,0.0192375412807228,-0.00964684816460562,0.0506759028507221,0.0506759028507221,0.00354617572997131,-0.00113065234969239,-0.0123396464596971,0.00125558003417034,-0.00674974139993868,-0.00674974139993868,-0.0066109852613803,-0.0148786901069343,-0.0143590596219458,-0.0257802430158036,0.00896921866753547,0.0475586990847411,-0.0470558919822487,0.0914420785931641,-0.00810599807430003
"ZEB2",-0.08918055820709,-0.0786260713046242,-0.0356309271849652,-0.0260439204876824,-0.0216583466419583,-0.0182793585461075,-0.00636650279736311,-0.00636650279736311,-0.0021012906348601,-0.000482040422766928,0.000503269200945311,0.000538078701221749,0.00372143585417334,0.00372143585417334,0.00379385710526886,0.00575961420321907,0.00593779827511247,0.00937138138508793,0.0180211871787735,0.0264800525460017,0.0973614891205442,0.0999170237313644,0.100063194940608
"TCF3",-0.0818376231342486,-0.231060922610346,-0.125554944772392,-0.00424073467565693,0.00684510134866277,-0.238107932047582,0.00511419870517046,0.00511419870517046,0.0642332665655563,-0.214957472929272,-0.213172822153757,0.214903095550262,-0.0692755403089576,-0.0692755403089576,-0.0695717770057356,-0.0566304347826087,-0.056168007036944,-0.0531739826081666,0.239898832337998,-0.00601658910481944,0.23169294789447,0.268173327538024,0.266787543005168
"CLDN7",-0.0818376231342486,-0.231060922610346,-0.125554944772392,-0.00424073467565693,0.00684510134866277,-0.238107932047582,0.00511419870517046,0.00511419870517046,0.0642332665655563,-0.214957472929272,-0.213172822153757,0.214903095550262,-0.0692755403089576,-0.0692755403089576,-0.0695717770057356,-0.0566304347826087,-0.056168007036944,-0.0531739826081666,0.239898832337998,-0.00601658910481944,0.23169294789447,0.268173327538024,0.266787543005168
"miR200a",-0.0260124255991013,-0.101499166545414,0.00834808966593478,-0.00720679008930293,0.0278244906252406,-0.0931396160672806,0.00786379268530927,0.00786379268530927,0.00878996764394159,-0.126599724556031,-0.0714695802005039,0.126597452035351,-0.00652097777519158,-0.00652097777519158,-0.00643638730244467,0.00311487321703287,0.00292649575124293,0.0153206042619464,0.0927092509224206,-0.059984405856723,0.0779652350870176,0.0310260309992205,0.0312655756842102
"ZEB1",-0.0168398305092735,0.037550173367402,-0.0955038422788566,-0.0191452274595427,-0.0878787399643035,-0.0835199857356361,0.0142329496054213,0.0142329496054213,-0.00569831021087787,-0.0149478588675969,0.000235530541244531,0.0150189798578938,0.0128754000255907,0.0128754000255907,-0.087134688654819,0.0169599113128707,0.0172358050937651,0.0314009611629472,0.0835241922894469,0.0915583368419853,0.0525972572361245,-0.00428142641995742,-0.00424542215822848
"miR200b",-0.00582266049559431,0.166441591924853,-0.0589963356630956,-0.102013817015814,-0.0411752540205679,0.0360813804907496,0.0100898626367416,0.0100898626367416,-0.00559635359001911,0.0979344534290789,0.00537732431095264,-0.0980230817355965,0.0127043814901856,0.0127043814901856,0.0126376465261979,0.0150600860193631,0.0146086909598287,0.025816559803207,-0.0357279190831154,0.0822486379807269,-0.0493863261845407,-0.0576371474189624,-0.0578568801375244
"GRHL2",-0.00373400638762191,0.00972256285156041,0.0190713681142907,0.0862982476447504,0.0867754719625895,0.038915413355151,-0.0848504652084957,-0.0848504652084957,0.0102305969995501,0.0802649216024087,0.092970697109185,-0.0801169147065069,-0.07971965218543,-0.07971965218543,-0.0797613582472204,-0.0289239114219848,-0.0284014961625996,0.0344465467235419,-0.0388720582479193,0.0261657694797724,-0.0376013714769995,-0.0135593581161007,-0.0134915734424795
