"","TWIST2","ZEB2","TCF3","miR200a","miR200b","GSC","SNAI1","miR205","miR141","CLDN7","ZEB1","GRHL2","NP63","miR34a","OVOL2","miR200c","TGFbeta","FOXC2","CDH1","TWIST1","KLF8","miR101","SNAI2"
"ZEB2",-0.0991878388590225,-0.082313648181527,-0.0262447597723593,-0.0106253317138663,-0.0104323817352456,-0.00923210221035225,-0.00758297713102309,-0.00381653637541998,-0.00026727282254916,-0.00026727282254916,7.94685612336465e-05,0.000735315147998998,0.00461449113215999,0.00544191328010822,0.006880435682681,0.00812099744331662,0.00917483232138194,0.00936648334923126,0.0150961779027173,0.0263373117719696,0.102406693932609,0.102560820037593,0.11006565298707
"TWIST1",-0.109214026554809,-0.0807791007440966,-0.240165126730796,0.03765050115564,-0.0652704558741819,0.00328936773171401,0.0613285612672105,0.0323117223342202,-0.0244035484674781,-0.0244035484674781,0.0231094434508622,-0.0251601322157584,-0.0274252426421784,0.0452902532989555,-0.0348286833191111,-0.0463095730275266,-0.00354475035128165,-0.260456267195427,0.118464526518957,0.141151181449888,0.118116451696892,0.119043604014773,0.130469417004901
"TCF3",0.170691341483147,-0.0640997558441216,0.209667082627685,0.0453339380576534,0.162576618072105,0.200072325940699,-0.109661011804206,-0.0203985507246377,0.0259986892713169,0.0259986892713169,-0.0268654559026302,0.0274391136248528,0.0236355449442909,-0.0260859948827901,0.0179617480343192,-0.01889558627335,-0.200090451733702,0.125349150367798,-0.0942816858764807,-0.208795833837753,-0.23398626153274,-0.233464729719299,-0.183062433551459
"KLF8",0.170691341483147,-0.0640997558441216,0.209667082627685,0.0453339380576534,0.162576618072105,0.200072325940699,-0.109661011804206,-0.0203985507246377,0.0259986892713169,0.0259986892713169,-0.0268654559026302,0.0274391136248528,0.0236355449442909,-0.0260859948827901,0.0179617480343192,-0.01889558627335,-0.200090451733702,0.125349150367798,-0.0942816858764807,-0.208795833837753,-0.23398626153274,-0.233464729719299,-0.183062433551459
"CLDN7",0.170691341483147,-0.0640997558441216,0.209667082627685,0.0453339380576534,0.162576618072105,0.200072325940699,-0.109661011804206,-0.0203985507246377,0.0259986892713169,0.0259986892713169,-0.0268654559026302,0.0274391136248528,0.0236355449442909,-0.0260859948827901,0.0179617480343192,-0.01889558627335,-0.200090451733702,0.125349150367798,-0.0942816858764807,-0.208795833837753,-0.23398626153274,-0.233464729719299,-0.183062433551459
"CDH1",0.170761526772311,-0.0640708097062044,0.208795833837753,0.0458880428917404,0.162317769136344,0.200090451733702,-0.109221532607591,-0.0236355449442909,0.0268654559026302,0.0268654559026302,-0.0263584850534541,0.0285721201501913,0.0215040606094167,-0.0256727498496775,0.019287501197254,-0.0184433857765663,-0.19994928103992,0.125617983631434,-0.194741231636816,-0.209257985232175,-0.233464729719299,-0.2340049904679,-0.182902158674808
"SNAI1",-0.0153727669276991,-0.0519802247980766,-0.0322482298553523,0.0498776929748707,-0.0722914691470199,-0.0115158157490716,-0.0630075564984431,-0.0523823589480108,0.0488347393150873,0.0488347393150873,-0.0479570837449046,0.0502042369403602,0.0491503079801108,0.0877454276857918,0.0516871930277427,-0.0119341933654293,0.0116854048516544,-0.121860439984298,-0.0381023096881691,0.0315845232147094,0.125371524496948,0.124764110110555,0.114524384490532
"OVOL2",0.121451099149306,-0.0228294321453984,0.0792861961255764,0.0278049983328737,0.0214712002303987,0.00879833586655864,0.00894337997708656,-0.0402279354094316,0.0304332162675844,0.0304332162675844,-0.028799404724519,0.03517802903027,0.0340923894333515,0.0683797077262996,-0.0596784085430963,0.0119241918938519,-0.00847522629865741,-0.0146794821078486,0.00769780174757062,-0.0805091297274755,-0.119087950515741,-0.120235094171905,-0.111578573313493
"GSC",0.0664566576888996,-0.020848405453691,0.251888447169388,0.0689798265013813,-0.0462395050147996,-0.00565320516881417,-0.146965492254872,-0.0898184308794714,0.10576989049742,0.10576989049742,-0.105458819607525,0.112943241739553,0.0887130457188362,-0.00660274385409485,0.0734957982108602,0.0378959078689256,0.00573755157584059,0.0789458461881441,-0.0261173150651795,-0.252088102165554,-0.184074695887597,-0.184293925757424,-0.127895196597827
"miR200b",0.120519040390926,-0.0154921318721871,0.108282215207047,0.0120493162755382,-0.0056119816825564,0.0939194195115655,-0.00821352276443034,-0.0211410240664379,0.00962946318019178,0.00962946318019178,-0.00849050491521157,0.0142781625011365,0.0169220796911047,0.0904831655084176,0.023994640960369,-0.00178562092563882,-0.0936773960591521,-0.0162975646598356,-0.0120782644341594,-0.109132593070602,-0.0558283572781609,-0.0566388468138405,-0.130286792235847
"miR200a",0.120519040390926,-0.0154921318721871,0.108282215207047,0.0120493162755382,-0.0056119816825564,0.0939194195115655,-0.00821352276443034,-0.0211410240664379,0.00962946318019178,0.00962946318019178,-0.00849050491521157,0.0142781625011365,0.0169220796911047,0.0904831655084176,0.023994640960369,-0.00178562092563882,-0.0936773960591521,-0.0162975646598356,-0.0120782644341594,-0.109132593070602,-0.0558283572781609,-0.0566388468138405,-0.130286792235847
"miR205",-0.0719850985992455,-0.00980690361407742,-0.0869713639606854,0.00566819239585456,0.00511913032715634,0.026763805885119,0.106122457647402,0.0152581963781446,0.00198685535249854,0.00198685535249854,-0.00328497587274053,-0.0022985048303602,-0.0102735566001245,0.004559069863775,-0.0213819688657028,-0.00221216590440637,-0.0270177338330638,-0.119366979389515,0.0102240666029031,0.0878733037489973,0.0120954197350874,0.0129653114679868,-0.0136924189037835
"miR34a",0.177436329380231,-0.00884239000992103,0.145533192779328,-0.106065252920286,0.115829142318196,0.0468910543792905,-0.123178605550995,0.0910065218724724,-0.11584544246722,-0.11584544246722,0.11611101574617,-0.125575868494275,-0.0919961712376209,-0.115257239159328,-0.0704604027635539,-0.113351850904804,-0.0468433861981031,0.175214785410221,-0.0323457992322788,-0.145784348172871,-0.130449397954633,-0.130664517807123,-0.135155762346832
"FOXC2",-0.0894807793590009,-0.0036697694209152,-0.0917864148826356,0.00303990152383643,0.00144043214429975,0.0324397383347243,0.105062436154816,0.0187837664371066,0.00223527267458762,0.00223527267458762,-0.00390210229747857,-0.00387659794972594,-0.0125083530459437,0.0078608777116095,-0.0253448991823961,0.000326440233140069,-0.0327795088539328,-0.122934771778621,0.0197532674705742,0.0929524806780389,0.0405584023559772,0.0416795361560217,0.0185615659171601
"ZEB1",-0.0896040299951332,-0.00348929999849307,-0.0929524806780389,0.00412479412243606,0.000796998400192477,0.0327795088539328,0.105909445654164,0.0125083530459437,0.00390210229747857,0.00390210229747857,-0.102882963798074,-0.00169604202694625,-0.0162587841299763,0.00867051508701463,-0.0229035297079275,0.00118040993130851,-0.0325839833018303,-0.122282775589251,0.0189746598694406,0.0921862869482078,0.0416795361560217,0.0409822291278428,0.01877160741024
"TWIST2",-0.117440963031308,-0.00321791594285493,0.143922897995981,-0.0343619499671172,-0.00819941031070385,0.00526173397209317,-0.0745421882484716,0.061752505311503,-0.0707723551915845,-0.0707723551915845,0.0703094903801795,-0.0755191492472409,-0.0599398630302097,-0.0768333991140683,-0.0527489568392491,-0.0370978550835869,-0.00534660160859771,0.0993431699637258,-0.0649988840747694,-0.143583784535457,-0.000836378611532735,-0.000510498518026873,0.0861356218365606
"miR200c",-0.00730639860417633,0.00942988646397438,-0.0263572683937757,-0.00985895928200952,-0.0550791234067786,-0.123214092869976,-0.0623433695775341,-0.00662687770826452,-0.00979826838971848,-0.00979826838971848,0.010293981951647,-0.00395702857596096,0.00483196034554904,0.000673171666619466,0.0135747258398751,-0.00134566148700443,0.123319765081593,0.0747322677408526,0.0520973755212511,0.0260540901989431,-0.00238617088079601,-0.00268335037721185,0.0773506047979385
"miR141",-0.120519040390926,0.0154921318721871,-0.108282215207047,-0.0120493162755382,0.0056119816825564,-0.0939194195115655,0.00821352276443034,0.0211410240664379,-0.00962946318019178,-0.00962946318019178,0.00849050491521157,-0.0142781625011365,-0.0169220796911047,-0.0904831655084176,-0.023994640960369,0.00178562092563882,0.0936773960591521,0.0162975646598356,0.0120782644341594,0.109132593070602,0.0558283572781609,0.0566388468138405,0.130286792235847
"miR101",-0.0359600588135343,0.0161629525887398,-0.0463240322851343,-0.0154703728902508,0.0104669917953305,0.00351578103644142,0.0516577757268394,0.0251730473344905,-0.0149166056199878,-0.0149166056199878,0.0136727441783741,-0.0168701244926377,-0.0205698560684817,0.031354720186791,-0.0288170938501755,-0.00190009522738644,-0.00377737457709322,-0.139566780136233,0.0186828189930395,0.0472286294720444,0.223874414600839,0.124739714864018,0.110517012574486
"GRHL2",-0.0623728431116159,0.0412303183945128,-0.0333708493899193,0.000689121362398938,-0.108915374831843,-0.126655145146345,-0.0573824205425811,-0.0354747587922324,0.0173870368126289,0.0173870368126289,-0.0151622040189997,0.0240904612563828,0.0271838029979356,0.0170526603050609,-0.061597686684004,0.0273047767391386,0.127071449186878,0.0719422514850556,-0.0142667416214385,0.0317464780389742,0.110075446494668,0.108600909763298,0.120134006226542
"SNAI2",-0.170763778838581,0.0641402676960141,-0.209257985232175,-0.0455812601014157,-0.162480701269465,-0.19994928103992,0.10953989475678,0.0215040606094167,-0.0263584850534541,-0.0263584850534541,0.0266966465722843,-0.0278847173064542,-0.0227492791330596,0.0259138721644518,-0.0185061881881404,0.018725924334221,0.200037614552793,-0.125453763296119,0.194486029559064,0.20904035737581,0.2340049904679,0.233750403391489,0.0829480720455504
"TGFbeta",-0.138134618403073,0.0798912549348635,-0.126015995446814,-0.0830455275200385,-0.0491463807454459,-0.198481750743224,0.0210673315054643,0.0778858068257486,-0.0854915931031546,-0.0854915931031546,0.0862091614333973,-0.0893384151872564,-0.0805404811239225,-0.0860918182211273,-0.0709597482523002,-0.000637829401589501,0.0986316184686662,0.00528583082242712,0.0954091829033242,0.125494133989686,0.0667774225418178,0.0662698434792811,0.114140138702129
