"","KLF8","ZEB2","SNAI2","OVOL2","TGFbeta","miR141","CLDN7","GSC","GRHL2","FOXC2","TCF3","miR200a","miR200b","TWIST1","NP63","miR205","ZEB1","miR200c","CDH1","miR34a","SNAI1","TWIST2","miR101"
"GSC",0.107714887633567,-0.156426043876691,-0.098558111034481,-0.0844626759243063,-0.00905367091818924,-0.04141989479629,-0.04141989479629,-0.00917285605855267,-0.0437547761159521,0.0178654677329351,0.141817914494017,0.0899047539432828,0.11507203987719,-0.142103820448528,0.0133298189235186,0.0131938009921406,0.0411915991703473,-0.0571873233164833,-0.0776732955693801,-0.0765047556157093,-0.21942314777278,0.074587087623449,-0.107702221018866
"TGFbeta",-0.0550500529773756,-0.127358084497458,-0.303108488609194,0.0270117453449183,-0.0965896611044307,0.0236033355087275,0.0236033355087275,0.00373831029472568,0.0242192391061253,0.0133026778549624,0.172674832452377,0.0484891708528583,0.196611435966827,-0.17276559096666,-0.00511557671564389,-0.00521097055592735,-0.0233877047673661,-0.075158401927815,0.0260535399910131,-0.17028881015242,-0.210699661562399,0.294095058665294,0.0553554313765281
"TWIST1",-0.0730325644802186,-0.10591604514573,-0.241074274409018,0.215840781546944,0.0574318802828792,0.16481868236167,0.16481868236167,0.0579116235841774,0.166363056919476,0.151653789344872,0.143521410952645,-0.0360189975172104,0.0538043927042319,-0.243788552537685,-0.0422449936148512,-0.0420643038513192,-0.164329397876986,-0.140726834038842,-0.020593171530345,-0.172417380335983,-0.192864695027822,0.257402430982474,0.073881043293145
"TWIST2",-0.0361656047249974,-0.0864730827817195,-0.142250371909683,-0.149677048339753,-0.048882151779282,-0.0924022977368644,-0.0924022977368644,-0.0489244491543888,-0.0927846713764422,-0.0500349952952597,0.239900932837205,0.0899599748905098,0.11465532202511,-0.239601715077918,0.0303310353281018,0.0300708638203052,0.0922543230529114,0.00635486476446345,0.104546316970895,0.00532572078778632,-0.0786502213982088,0.125154949513987,0.0355981388555059
"ZEB2",-0.0957041740434162,-0.0822852122462877,-0.0664132307955211,-0.0494561543968039,-0.0151333896825043,-0.0149940034295498,-0.0149940034295498,-0.0146228871238335,-0.0143737878556918,-0.00739011489281874,-0.00391835717630809,-0.00346589170360394,-0.00108766770214233,0.004267456823961,0.0128784202430725,0.0131573170512535,0.015673781206782,0.0174296844389805,0.0215974443426629,0.0384597306989008,0.0449927731057733,0.0633500098885733,0.0957906835346012
"miR200a",0.0587062254994583,-0.0455625848628606,-0.0563602554451261,-0.162308631236411,0.0648721977961104,-0.0128389696339508,-0.0128389696339508,0.0645358647354795,-0.0152574825279319,0.0525171294416762,0.0587744687471228,0.0270071231524879,0.0820382866824185,-0.058947502155881,0.0559990616310486,0.0556507410339276,0.0122709412615474,-0.0135683811446085,-0.0936484007771882,-0.000697096423056352,-0.190160792993821,-0.00842686236082038,-0.0593528160401449
"miR141",-0.0706452402887466,-0.035877600562241,-0.24684633281643,0.194102776833699,0.135593401618724,0.0411498279374892,0.0411498279374892,0.136551269085318,0.0407805418694146,0.00906528005409536,0.105347066224055,-0.00794045291929258,0.0635251077970269,-0.105756726516585,-0.0630006696304143,-0.0623822228559341,-0.040033635446177,-0.0379296474583555,0.0352452808611667,-0.155920215566549,-0.171548607678853,0.224119753513735,0.0721941758458231
"OVOL2",-0.159244535738469,-0.0339693707805366,-0.23452093876064,0.32827171659546,0.269644925594123,0.134444369020741,0.134444369020741,0.270087909500648,0.167756305995259,-0.00941592572485195,0.0965566890574816,-0.108389389331909,0.0476145547892179,-0.0969901111134488,-0.25327337977192,-0.253051899418847,-0.13401081453975,-0.134484142343195,-0.0387858709191113,-0.17531881671547,-0.158178484459363,0.238313708621852,0.160210724611395
"CLDN7",-0.313574813258114,-0.0239155740813185,-0.34202036433131,-0.0841742660656404,-0.240619446440431,-0.068781253593619,-0.068781253593619,-0.239096879828141,-0.0678904697247063,-0.0724857107849051,0.148104109100633,0.0478922555628396,0.281393979681475,-0.145974389836354,0.0150613638267571,0.013731884057971,0.0696553347112725,0.0241187041032599,0.351758655512104,0.0673388200297541,0.0691132421990555,0.311094924202162,0.312427443268544
"CDH1",-0.312427443268544,-0.0235771269302865,-0.340600936502144,-0.0854627397020252,-0.241165715646806,-0.0696553347112725,-0.0696553347112725,-0.240619446440431,-0.0688157042797821,-0.0721929812311683,0.145974389836354,0.0484166382985464,0.280972425700379,-0.144641056503021,0.0159858630563411,0.0150613638267571,0.0697788687473059,0.0246091187265323,0.251001589403841,0.0682606743343899,0.0696677252975892,0.308792846717603,0.311058998378376
