"","miR200a","SNAI2","miR200b","KLF8","TWIST2","TGFbeta","TWIST1","miR141","GRHL2","OVOL2","SNAI1","FOXC2","NP63","miR205","CLDN7","ZEB1","TCF3","miR34a","GSC","miR101","ZEB2","miR200c","CDH1"
"miR205",0.127327074821924,0.134730565834647,0.0936604462833559,0.0915481699378156,0.0233855169275239,0.0255178526797609,0.0253309095545029,0.0125996996610679,0.0110273268649781,0.0705513678157065,-0.0729590772284282,0.101782519212311,0,0,-0.0125996996610679,-0.012689760654099,-0.0250179076188331,-0.00640557812330711,-0.0255130915307369,-0.0918598289903221,-0.283963397032415,-0.142579016263526,-0.140932346207425
"miR200a",0.115942666840264,-0.0160823622062914,0.0932427875120332,-0.0466475296040361,-0.0155519797119968,-0.0657671860434309,-0.00694372620252237,0.00848447197503744,0.00738029627881657,0.0729980932418305,-0.107736859737789,0.0122854278508907,0,0,-0.00848447197503744,-0.00854317196008345,0.00709901259499764,-0.00898181746746354,0.0657410520556116,0.0463791675133333,-0.248142164213889,-0.125564229013414,-0.0952317344824796
"miR141",0.110932307294497,0.0850433660510204,0.074572551538727,0.0950857089884315,0.0603069272860774,0.113326640237583,0.0216796483470429,0.00802799460629729,0.0069777622588254,-0.0606340593954093,0.117430067175327,-0.00573789718904235,0,0,-0.00802799460629729,-0.00803759194225538,-0.0215805608394634,-0.00750821680866549,-0.113242556972425,-0.0951955753477125,-0.237358585027234,-0.1200233018803,-0.0731978581465436
"SNAI2",0.0678417368914276,0.171522195570667,-0.177060375607454,0.230485787138109,0.254506445734848,-0.180827809904874,0.162258501241514,0.052806417614506,0.0520739346001043,0.0460427777896371,-0.0377449102518466,0.0642753138314702,0,0,-0.052806417614506,-0.0528340121429052,-0.162038606428311,-0.0183471866609445,0.180934241015506,-0.230766734729243,-0.195139215197254,-0.121691513140517,-0.167916222453524
"TCF3",0.0672207249094591,0.270736142834272,-0.177117680213753,0.229278711798383,0.253789788658185,-0.181136790271802,0.161650824223796,0.052347520464325,0.0516665172388827,0.0457508822621955,-0.0376271348529585,0.06364521569479,0,0,-0.052347520464325,-0.0527534744562059,-0.16015034019669,-0.018109459297019,0.181245545029823,-0.230068459973022,-0.19415567945759,-0.120537650546358,-0.267176843024429
"KLF8",0.0672207249094591,0.270736142834272,-0.177117680213753,0.229278711798383,0.253789788658185,-0.181136790271802,0.161650824223796,0.052347520464325,0.0516665172388827,0.0457508822621955,-0.0376271348529585,0.06364521569479,0,0,-0.052347520464325,-0.0527534744562059,-0.16015034019669,-0.018109459297019,0.181245545029823,-0.230068459973022,-0.19415567945759,-0.120537650546358,-0.267176843024429
"CLDN7",0.0672207249094591,0.270736142834272,-0.177117680213753,0.229278711798383,0.253789788658185,-0.181136790271802,0.161650824223796,0.052347520464325,0.0516665172388827,0.0457508822621955,-0.0376271348529585,0.06364521569479,0,0,-0.052347520464325,-0.0527534744562059,-0.16015034019669,-0.018109459297019,0.181245545029823,-0.230068459973022,-0.19415567945759,-0.120537650546358,-0.267176843024429
"GSC",0.0586191152208534,0.00401671470597202,0.0440350655669152,-0.0541114678580871,0.00466919277354981,0.0244815880836245,-0.0818280220719345,0.0489256895524591,0.0487762177789057,0.0649359355686771,-0.0203137485859874,-0.133735069866061,0,0,-0.0489256895524591,-0.0489601993563806,0.0819334399099104,0.00535731275189673,-0.0244491941736796,0.0541855188363395,-0.170787418190188,-0.100037613554883,-0.0213834069077277
"SNAI1",0.0968062229742506,-0.0830162190912855,0.0917058634157154,0.0133690539676154,-0.0653993779277917,0.0155629690937023,-0.02491981782239,-0.0717401809671094,-0.0713624705085306,-0.0783658827965586,-0.0881377077141984,-0.0958189740315275,0,0,0.0717401809671094,0.0717282132875653,0.0249898161362992,-0.0196130262535016,-0.0155651157912034,-0.0134080507823556,-0.135450358691331,-0.0309168896936254,-0.0691795020424386
"TWIST2",0.0309330694186921,-0.104852175461922,0.0586448126681152,-0.0319900580105828,-0.120024655018029,0.0360590190886593,0.0163057457091241,0.0680849953466523,0.0679699497342128,0.0814517623259668,0.014041937303516,0.0351903553035102,0,0,-0.0680849953466523,-0.0681064113190935,-0.0163014711697057,-0.0453037478061574,-0.0361089572799144,0.0318353735928654,-0.129809358038866,-0.0992556064880366,0.0563255621813505
"miR34a",0.105105511859006,-0.232372530551653,0.149573949109852,-0.0815941911045626,-0.088958019049609,0.0229858762209743,-0.0598053111002011,-0.0670521350385402,-0.0669639231220075,-0.0793587297911255,0.0971301034956003,-0.109380647546469,0,0,0.0670521350385402,0.0670890202161721,0.0596785524219556,-0.0183296390432542,-0.0229774286951943,0.0815970721740156,-0.0635477419925638,0.055244590591778,0.0540420493707101
"GRHL2",0.0065824428629755,0.0350242838479288,-0.0572309371976355,0.0168766052270106,0.0127172291308466,-0.0786349912868007,0.00915158502396906,0.0148788780763744,-0.0227999805422677,0.0777265968012468,-0.0767774740973731,0.0280750807394001,0.00853631481530386,0.00853457921643547,-0.0148788780763744,-0.0149533375898328,-0.00907932651191634,-0.00277300162144111,0.0786355456197442,-0.0168757249065739,-0.0547422751127328,-0.0258359285050816,-0.0737165978014549
"FOXC2",0.0153000667894953,0.112470123912799,-0.00907279845553175,0.066028429468108,0.0122135918402658,0.00239701209162559,0.0209327356173244,0.00251380619096122,0.00271433489536791,0.0631132594854856,-0.0746318805922048,0.0961305845187131,0,0,-0.00251380619096122,-0.00257204532851186,-0.0207468410702311,0.00668865805077552,-0.0024458608883169,-0.0660951839997137,-0.0470936454373647,-0.0178960225952506,-0.0889319024372977
"TGFbeta",0.0450681406266476,0.125660490708846,-0.0779470863206354,0.104047162865384,0.0940849644894128,-0.104787844240304,0.0487853112183562,-0.0592061721289485,-0.0592748236850294,-0.06901378145523,0.0760124850221491,0.0277632074989683,0,0,0.0592061721289485,0.0591706625319224,-0.048780773292642,-0.0662381128214707,0.00486299530262686,-0.104111562391736,-0.0419447449949694,0.00881796466678789,-0.0969777016185243
"OVOL2",0.00469121148621609,0.11743028199285,-0.0385371088211773,0.102623766695394,0.122652972230696,-0.0341595389924932,0.0408377410389624,0.00561613498628821,0.0381039384628418,-0.0649498744816851,-0.080704047996335,0.00572985973455411,-0.00906664885944927,-0.00906556846748307,-0.00561613498628821,-0.00559018421666447,-0.0408035708353799,0.0572755387221519,0.0341795180489306,-0.102750983391489,-0.0211691275157662,-0.0125596639625402,-0.0897875789998198
"NP63",0.00778823655546591,-0.224276179541166,0.140827604411872,-0.207316862970435,-0.217060399143906,0.10186543399602,-0.145235153674458,-0.0107480813265355,-0.0896115037116351,-0.0747426256757303,0.0339891808013609,-0.0499508472063368,-0.00418403674447556,0.0958159632555245,0.0107480813265355,0.0107457063439238,0.145161104532755,0.000634315329292464,-0.101927053563656,0.20733605261899,-0.0207332796358902,0.00493885857349072,0.118661112660196
"ZEB1",-0.0153697886930516,-0.112522484513185,0.00905142475954094,-0.0660951839997137,-0.0123113971837772,-0.00242102400153291,-0.0210066507771434,-0.00257204532851186,-0.00276608202189153,-0.0631498493135134,0.0746172444191391,-0.0962799017807345,0,0,0.00257204532851186,-0.0973718761506523,0.0209327356173244,-0.00670088822260943,0.00239701209162559,0.0660878361911976,0.0471340302032214,0.0180334884760212,0.0890096870446486
"miR101",-0.0214705847533764,-0.162761691285109,0.0219350399398983,-0.137278131745848,-0.0746261440775489,-0.0178185153979827,-0.038707614982925,-0.0956105059505502,-0.09610559632132,-0.0945930070594692,0.0131271654560601,-0.108870831836014,0,0,0.0956105059505502,0.0956619215268331,0.038462097049204,0.0265986255779536,0.0178235460429952,0.0374270006083303,0.145819631202131,0.116322071189608,0.0939101637496018
"TWIST1",-0.140878596244955,0.221509981295403,-0.167771316073697,0.105790340528011,0.170175524471802,-0.0275149293522123,0.139438084937127,0.121230818506656,0.122092692699985,0.109904260819934,-0.0254694598172757,0.223030901037761,0,0,-0.121230818506656,-0.12123365672687,-0.239290217576601,-0.0336903300118185,0.0275133625876751,-0.105787352926557,0.171268793700468,0.0151152102230991,-0.102865671838194
"CDH1",-0.0675964971532653,-0.271221157657079,0.177080701794358,-0.230068459973022,-0.254224937450998,0.180934241015506,-0.162038606428311,-0.0527534744562059,-0.0520268717498069,-0.0460095089776362,0.0377462460370879,-0.064093271134183,0,0,0.0527534744562059,0.052806417614506,0.161650824223796,0.0183425718798005,-0.181136790271802,0.230485787138109,0.194814760751705,0.121384730350192,0.167710295113231
"miR200b",-0.0964876598270017,0.12982270726331,-0.134564815489839,0.107228002127506,0.0296313096835072,0.0687267165752724,0.0276204557798523,-0.0115778487787646,-0.00906768266440898,0.0521214836058046,0.0622968925705917,0.0245219433620718,0,0,0.0115778487787646,0.0115753936463102,-0.0275805249932158,-0.0789265537944556,-0.0687517143027517,-0.107029882463229,0.205953503683307,0.10855255536379,0.00544806535395805
"miR200c",-0.110932307294497,-0.0850433660510204,-0.074572551538727,-0.0950857089884315,-0.0603069272860774,-0.113326640237583,-0.0216796483470429,-0.00802799460629729,-0.0069777622588254,0.0606340593954093,-0.117430067175327,0.00573789718904235,0,0,0.00802799460629729,0.00803759194225538,0.0215805608394634,0.00750821680866549,0.113242556972425,0.0951955753477125,0.237358585027234,0.1200233018803,0.0731978581465436
"ZEB2",-0.258709545815192,-0.211230461068783,-0.20264529584107,-0.181906217869307,-0.158854489298527,-0.0753195575174316,-0.0384818750298795,-0.0369311156873553,-0.0366077955343925,-0.0350267543697849,-0.0312048512752243,-0.0166014056146344,0,0,0.0369311156873553,0.0369868432263339,0.0381035484349813,0.0460436070133483,0.0752869198387711,0.182384505975744,0.246793474949926,0.291606557376734,0.292008994128245
