"","miR200b","CDH1","miR200c","TGFbeta","GSC","SNAI1","miR200a","FOXC2","miR101","KLF8","CLDN7","OVOL2","TWIST1","TCF3","miR34a","miR205","NP63","miR141","ZEB1","GRHL2","ZEB2","TWIST2","SNAI2"
"miR200b",0.191766159289892,0.0968834584375727,0.143253641417486,0.208556360143753,0.207620081623618,0.293867778264989,0.126805625534796,0.247057446072761,0.0223437013366305,0.0211675909659666,0.01435672993807,-0.0583105237512761,-0.0680185525674633,-0.0681501762715614,-0.134724030546121,0.0450179045829651,0.0444527721855952,-0.01435672993807,-0.0145747903387923,-0.0045516615817521,-0.283030491811009,-0.0850770048269236,-0.234941494255703
"miR205",0.136741841719031,0.110995271391837,0.119857191971425,0.0875327330535942,0.0869328282765746,0.174165448887893,0.112179033755504,0.174769559129983,0.007999460872752,0.00729728927252671,0.00626149851432789,-0.0683120693390951,-0.0976056533109184,-0.0975891795248305,-0.0260859409437863,0.0551271779365004,0.0544731297747721,-0.00626149851432789,-0.00651056374333126,0.00385357107708946,-0.238500543688914,0.0351120373142097,-0.0775435881937772
"GSC",0.0643365158885372,0.00705887193765612,0.12945395943698,0.0626315728718626,0.0622727950390763,0.179730285367257,0.0666777642791093,0.203012373881126,-0.0970823219115974,-0.0975480635906059,0.0666785576837654,0.0788062286509114,-0.0312223052626836,-0.0312877921014262,-0.0402488747029398,-0.076007152569866,-0.0760339730070391,-0.0666785576837654,-0.066706551650583,-0.0714439940854437,-0.212896331361441,-0.0176032374311635,-0.0444660133159382
"NP63",0.257692723071986,0.208397976919932,0.0455121315671143,0.170537042704315,0.169528878111603,0.0630905173097193,0.10969163764476,0.0191627492004,0.291229923094706,0.289653630534806,-0.0423816936430779,-0.12256693463362,0.151807108584063,0.151046421946567,-0.0732160432986401,0.351087384502453,0.25129159774407,0.0423816936430779,0.0424274968791614,0.172820030718751,-0.209859394618919,-0.291696540129846,-0.358570991926721
"TGFbeta",0.214029093566684,0.0830383360198689,0.138535987691145,0.174175822124434,0.273192776725374,0.334447593877779,0.0455324179160824,0.270416521345097,0.0503173817765293,0.0492087404680418,0.0935244673026896,0.0939152324142547,-0.063834464758983,-0.0639728714932648,-0.144530304713051,-0.094676763896901,-0.0954480912340501,-0.0935244673026896,-0.0938306732480597,-0.0982655281550141,-0.19845238547054,-0.233852656340767,-0.365431808970792
"SNAI1",0.125476257099518,-0.00635793247391789,0.13086060709779,0.0764900398778228,0.0757123499194882,0.325902125520321,0.0484224500656439,0.419477747042618,-0.0666912056203523,-0.0677871721018101,0.0860118668251184,0.0885838697553365,-0.292629535773894,-0.292966242991895,-0.18069694992215,-0.0887475954838329,-0.0888051794093414,-0.0860118668251184,-0.0860687712110799,-0.0902124232921578,-0.197467432977893,-0.109770034103325,-0.295175207953394
"miR141",-0.00481137199193744,0.0567790347555115,0.0736296443662307,-0.0717346902486969,-0.071290412455769,-0.22570120651892,0.0642544827196161,-0.183250266089151,0.0188271335439997,0.0192035609061265,0.00829003241285573,0.0752768381738777,0.0741629970358425,0.0740284154956973,0.132709546148982,-0.0638202316153225,-0.0633404022213292,-0.00829003241285573,-0.00812241382437833,-0.0174060459236839,-0.12686104182662,0.0146517707056895,0.136192414323364
"CDH1",0.289322496122776,0.282122122976078,0.0627113762877684,0.246467568994502,0.245610315071389,0.00924118589736387,0.0248205740732811,-0.0386468787298014,0.336144235323494,0.334749909678901,0.0361034348022962,0.0370176245268037,0.20845370100768,0.207460341113921,0.0210321625192313,-0.037080087124068,-0.0373368924656191,-0.0361034348022962,-0.0361627953131175,-0.0382648752951487,-0.0914490086790522,-0.393620274452558,-0.424524480024506
"KLF8",0.288534116221287,0.381243774687768,0.0619364787228574,0.245610315071389,0.244359635354151,0.00852241151037574,0.0247802369397652,-0.0392383119098002,0.334749909678901,0.332976701513203,0.0354707317338692,0.036665798994988,0.207460341113921,0.206008259797368,0.0207937519232048,-0.0347101449275362,-0.037080087124068,-0.0354707317338692,-0.0361034348022962,-0.0374370338511335,-0.0908478196607716,-0.391949864570469,-0.423406746080802
"GRHL2",0.109948477622925,0.0555491833410413,0.00567733853311476,0.12688594893748,0.126376516962447,0.128563465445621,0.0508251407202811,0.125840390317886,0.0293780936735745,0.0290268458193555,-0.0302038283632135,-0.117169275168893,-0.0247744513366896,-0.0246154826101736,-0.0505448357738903,0.265256131467222,0.264462962784368,0.0302038283632135,0.0298922338596794,0.102407831867763,-0.0872800391299732,-0.0298879350491138,-0.0772058850198042
