"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","OVOL2","NP63","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","GRHL2","FOXC2","CLDN7","CDH1"
"ZEB2",-0.0844772240277073,0.00467342971892526,-0.0305656600103149,0.0966723697203719,-0.00305780097191915,-0.00251083968785038,0.00260478328961606,-0.0832521936386171,-0.0198696333610548,-0.00883706827491822,0.00891182176127384,0,0.0070040217591349,0,-0.00576648553567731,0.00867622834740004,-0.00678315232324274,0.0101802986754578,0.00374521022607041,0.0975770432265131,-0.0970848340525296,0.00272329250177251,-0.00440284691547893,-0.00152108953865916,0.00374521022607041,-0.0254075339788676
"ZEB1",-0.000578990314830465,-0.0829568529302135,-0.0123104184275906,0.0166117701832219,-0.00162334335650581,-0.03426786307084,0.00081748783360112,0.0861032912214684,-0.0825316565645143,-0.0297870791162277,0.0284701091838282,0,0.0164248904034096,0,-0.0227309437625154,-0.0102636959376471,-0.0262510329479198,0.00977215973237086,0.0153781512461366,-0.0446949689163855,0.0455215973744479,0.0346170648463492,-0.0188174878448341,0.0997126909193432,0.0153781512461366,0.0923382124171166
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.0657937989932814,-0.079675031221244,0.0237679555061113,-0.0796521390320186,-0.00569930384355613,0.0105348323540993,0.00548842656558283,0.0306343583648356,-0.0601074400600047,0.0564308469465369,-0.0659093518183212,0,-0.0801521925393009,0,0.0675645218712114,0.00812033834494531,0.043956551793848,-0.0740769294304454,-0.0801493035355573,0.033254627778184,-0.0329878406083005,-0.0104264964965678,0.0847233030854542,0.00418736413275307,-0.0801493035355573,-0.0947670700565985
"TWIST1",-0.0213336229450404,-0.102271219893441,0.0756725057788588,0.101782016435093,0.0160081234142777,-0.00178290048208413,-0.116557928572479,-0.155276724079198,0.0286682936189505,0.0678151557910134,-0.0807169889877622,0,-0.0717310983436867,0,0.084762868475546,0.0325770939921152,0.103617869645457,-0.0703934182925268,-0.103437975203073,0.105492037919348,-0.1048526912082,0.00204204333654111,0.108059780705775,-0.0503169281264245,-0.103437975203073,0.0462128549019022
"TGFbeta",0.0999892260707771,0.113858423090495,-0.0287564448263201,-0.134116918038061,-0.0817253823738076,0.0989440241910674,0.0813986517223883,0.147583919019103,-0.0105248013985714,-0.0840811196809533,0.0999203623875018,0,0.00982000492308198,0,-0.0975109865357711,-0.00766199913321046,-0.186044044793734,0.10757471853808,0.113168987967558,-0.0772416659837619,0.0774473289872727,-0.198834989990818,-0.118017810682914,-0.00390924866350552,0.113168987967558,0.0243597486248655
"TCF3",-0.0539019321168756,-0.141106857826213,-0.172312095212746,0.264809895048225,0.170881134119932,-0.194338967853222,-0.169090233829515,-0.318672008716324,0.00889740346956591,0.0807223086663297,-0.109410655943704,0,-0.084609167232028,0,0.101086956521739,0.0448231040190006,0.303384150653542,-0.0972920010107499,-0.138645533172737,0.270517696249407,-0.270502795340452,0.19412145833718,0.145135108341806,-0.0464173059191587,-0.138645533172737,-0.353325228715657
"SNAI2",0.0539555971941231,0.140946933453625,0.171910706783993,-0.265762981411898,-0.17099066119119,0.194134532371481,0.17051460025539,0.218837578457484,-0.00890339320659372,-0.0818430047490391,0.108791426304552,0,0.0855927464043288,0,-0.105815381161989,-0.0455471911377875,-0.304470484995201,0.0982300541857811,0.140078477084688,-0.271388954418807,0.271594982652306,-0.194001385759394,-0.146941452965391,0.0470335424553541,0.140078477084688,0.25406285966637
"SNAI1",-0.0864489268667874,-0.0687055732791395,0.140770947269653,-0.0417588865020561,-0.0254414714302929,0.0130379618576507,0.0251507485061005,0.122210759165556,-0.108346466090323,0.0628321032196908,-0.0660678814830459,0,0.00953035100317324,0,0.0679473227964495,-0.0128303768865292,0.00965430505961729,-0.0757986425634653,-0.0692490603521153,-0.105120611572314,0.105363015772739,-0.0129335542973724,0.0728177091403952,-0.0587182850642884,-0.0692490603521153,0.128034519538075
"OVOL2",-0.0153536119218373,-0.038404802684141,-0.0696974440488628,0.0898473580007825,0.0689285003714947,0.00145229678153944,-0.070003962568459,-0.0992144597869654,0.0686414065269701,-0.0550940491681494,-0.0393978108841613,0,-0.0409606792964387,0,0.047115050698766,0.0207756584594797,0.0848263600386674,-0.0318259251588838,-0.0406372482113016,0.0901876579661589,-0.0890635449187707,-0.000968665829158488,0.0441564481171701,-0.0139590783642768,-0.0406372482113016,0.0163749215927269
