"","SNAI2","KLF8","ZEB2","TWIST1","NP63","OVOL2","CLDN7","SNAI1","GSC","miR200c","TGFbeta","miR200b","miR200a","CDH1","FOXC2","ZEB1","miR141","miR205","GRHL2","miR34a","TCF3","miR101","TWIST2"
"SNAI2",0.333296131672169,0.327158545001913,-0.12783611621291,0.238778094266553,-0.177744213188675,-0.157649830347836,-0.196024785270474,0.0540483636589005,-0.301546127958572,-0.163461583246305,-0.302337682412951,-0.300133407362492,0.163461583246305,-0.226652373749098,0.00883493439807924,0.19623748595211,0.196024785270474,0.176743155159864,0.208221886976057,0.10756704994803,-0.236955460969491,-0.327418681660371,-0.361907210335068
"TCF3",0.431649900162264,0.325011530872717,-0.127502992619456,0.234039126308137,-0.174868476166541,-0.157034853882088,-0.19445345163136,0.0520476851459816,-0.296258729894927,-0.162114902035942,-0.300083272218654,-0.298617297039793,0.162114902035942,-0.324801633008616,0.0101442626704456,0.195649370147982,0.19445345163136,0.169492753623188,0.206014528925011,0.107514932749092,-0.22711753869923,-0.326158900862286,-0.359283777103326
"KLF8",0.431649900162264,0.325011530872717,-0.127502992619456,0.234039126308137,-0.174868476166541,-0.157034853882088,-0.19445345163136,0.0520476851459816,-0.296258729894927,-0.162114902035942,-0.300083272218654,-0.298617297039793,0.162114902035942,-0.324801633008616,0.0101442626704456,0.195649370147982,0.19445345163136,0.169492753623188,0.206014528925011,0.107514932749092,-0.22711753869923,-0.326158900862286,-0.359283777103326
"TWIST1",-0.0865788311271833,0.0481356629962511,-0.0896400909440621,-0.222502254926385,0.138616818498825,0.12608127215093,0.145024480533637,-0.234209194564324,0.0486851443452601,0.0311154369220254,0.0485262744211855,0.107425961377144,-0.0311154369220254,-0.0180668937619712,0.203349217582926,-0.144956239847627,-0.145024480533637,-0.138903565297474,-0.156780344472477,0.000317290273727519,0.122573329293047,-0.0481267001918892,0.0950469940775782
"ZEB2",-0.1130291663658,-0.0978744774917932,-0.0819536666436157,-0.0410741249454157,-0.0316166312694929,-0.0298570167829319,-0.029799995503857,-0.0265016867714965,-0.00305987330640676,-0.00304551732314566,-0.00296934993351821,-0.00119657472805901,0.00304551732314566,0.00789576792702746,0.0123039539170647,0.0297835472875065,0.029799995503857,0.0317560796735834,0.033723281815389,0.0395707926332296,0.0410984807347868,0.0979053027127902,0.121222388420258
"GSC",0.193558308036956,0.186435987761211,-0.076125949735552,-0.127806722152554,-0.183709069925126,-0.162682773409463,-0.201189693949501,-0.0221838476587113,-0.0981612793896289,-0.148563836784848,-0.0984852184890782,-0.100679619527586,0.148563836784848,-0.0633905580280235,0.0156296242599165,0.201241337991733,0.201189693949501,0.1833642357329,0.214133551029406,0.152567733630615,0.128680412415779,-0.186540243743751,-0.0471467145531976
"TGFbeta",-0.0605895660426099,0.0698243512100413,-0.0638668711151287,-0.200378048864602,-0.0201520840669777,-0.0166156236244434,-0.0247465659761925,-0.188753981176829,0.18028025197887,-0.0483828301549597,0.0799965892985398,0.100612708276768,0.0483828301549597,0.0991751891087317,0.0652548826459264,0.024826676999435,0.0247465659761925,0.0197786853207253,0.0254202169163388,0.163997605182591,0.200979324021728,-0.069895675416646,0.124266974921552
"NP63",0.365486945157647,0.310834227277911,-0.0175855164496526,0.181163185544724,-0.103111269991659,-0.218581605499018,-0.123206285599089,0.0117945527730269,-0.0549954394464138,-0.0871818683336178,-0.0559300028888936,-0.221786233052077,0.0871818683336178,-0.147076557232859,0.0376133157692823,0.123448194542256,0.123206285599089,0.00189673860730825,-0.000749978260453207,0.0886155841672234,-0.179253615254137,-0.311451037410046,-0.295102944694087
"miR200c",-0.184445577225324,-0.00757776371435499,-0.00547422518689052,-0.216837312002874,0.167920063716265,0.139038284070359,0.215532678254262,-0.243747651912184,0.188689805084993,0.106269010993285,0.188588677914736,0.128978286073016,-0.106269010993285,0.16500834706434,0.138622861013278,-0.215460586637647,-0.215532678254262,-0.168186635601817,-0.233934055948946,-0.0797065350292536,0.216705688298776,0.00751292455150063,0.0685787922525555
"miR200b",-0.184445577225324,-0.00757776371435499,-0.00547422518689052,-0.216837312002874,0.167920063716265,0.139038284070359,0.215532678254262,-0.243747651912184,0.188689805084993,0.106269010993285,0.188588677914736,0.128978286073016,-0.106269010993285,0.16500834706434,0.138622861013278,-0.215460586637647,-0.215532678254262,-0.168186635601817,-0.233934055948946,-0.0797065350292536,0.216705688298776,0.00751292455150063,0.0685787922525555
