"","CDH1","miR200c","miR200a","miR200b","TWIST2","miR101","SNAI2","TGFbeta","GSC","miR34a","ZEB1","miR205","NP63","TWIST1","FOXC2","TCF3","OVOL2","SNAI1","GRHL2","miR141","CLDN7","ZEB2","KLF8"
"miR200c",0.0610999877340019,0.00540451186760998,0.00540451186760998,0.0219644480163027,0.0783288415103175,0.0353234039017147,-0.0276472335748588,0.114638964580777,0.114635555799757,0.198291089017234,0.207926937328955,0.100130699502179,0.100056059374225,-0.00559704781614479,0.0233944207945615,0.00551866516089537,-0.0723616879850769,-0.0621788953800902,-0.193671033406246,-0.207941891317541,-0.207941891317541,-0.22288139908706,-0.0352711723538598
"GSC",0.0792210204379346,0.195544628275612,0.195544628275612,0.171463501321117,-0.0107017158311673,0.112447506677202,0.00873711340288288,0.0375033657780896,0.0375406493348186,-0.0503179043690242,-0.179015889227493,-0.130906529139657,-0.130877792956971,0.00205350219167107,0.0596265365972695,-0.00210940559059772,0.108622927900098,-0.120081566600296,0.16419601718708,0.179025300992199,0.179025300992199,-0.216772633150255,-0.112372481343973
"miR101",0.121549109161878,0.221000056659438,0.221000056659438,0.174274420418502,0.0140704248718301,0.119451389059788,0.10711285055209,0.0431410983198769,0.0431704437491167,-0.109443369362361,-0.227647602084412,-0.141537025455981,-0.141558020627092,0.0247639768550533,-0.112371390588627,-0.0248021685336321,0.107122586324716,-0.0445249507243484,0.209848764698069,0.22766078556551,0.22766078556551,-0.211540113509613,-0.219337079040382
"miR141",0.066866689437365,0.181435882563262,0.181435882563262,0.129033820007399,-0.048330922300319,-0.0107311440053198,0.0591893216639519,-0.071361041365956,-0.0713587688452761,-0.178150475027353,-0.185526831683072,-0.087148178963304,-0.0871588418387261,0.0107512692796311,-0.0226357230849494,-0.0107261276732304,0.0627921151631895,0.0526663418424395,0.175469929581624,0.185536875406749,0.185536875406749,-0.176222392771048,0.0107509559717475
"TGFbeta",0.115645213708815,0.119696761372765,0.119696761372765,0.147912911079535,-0.0198715546586572,0.0521045618254548,-0.00227493741004767,-0.06658528572943,0.0332943856910119,0.0370771380898239,-0.123100075687886,-0.101754444374293,-0.102016096050499,-0.0076332599859836,-0.0050326402374738,0.00769905990883886,0.0916434305241467,-0.110522342623768,0.115338432872218,0.123064223002966,0.123064223002966,-0.11533187750168,-0.0521523421191997
"SNAI2",0.035376234973323,0.106197806243262,0.106197806243262,0.0608427315258455,0.0105825698467052,0.0262230701890274,-0.0688354795616164,0.0206358521674636,0.020502705555377,-0.065631778398918,-0.118149273394165,-0.0869198193572238,-0.0872155248454091,0.0706113949302037,-0.0284073889540343,-0.0706023271028551,0.0745923739674857,-0.0221386666015136,0.110063837117317,0.118107624509686,0.118107624509686,-0.0941416170173248,-0.0262972958489074
"CDH1",0.0354154494518834,0.106249092120065,0.106249092120065,0.0608372466817602,0.0107289541543075,0.0262972958489074,0.0310760863105001,0.020502705555377,0.0207870928950255,-0.065667542952784,-0.118107624509686,-0.0875104716427913,-0.0869198193572238,0.0706023271028551,-0.028535964565405,-0.0707988742476095,0.0747234329238531,-0.0221293161048241,0.11002818344285,0.118141315610423,0.118141315610423,-0.0940907128741082,-0.0260934849078185
"TWIST2",0.120062117666919,0.108569091722349,0.108569091722349,0.0436670720889837,0.0518127563481756,0.00154255687825617,0.0853560710789858,0.0270067149676839,0.0270206321685255,-0.117249834972278,-0.141949380714634,-0.102554810666269,-0.102522289227795,0.0294903410655288,0.0060587673314219,-0.0294675435219642,0.0849857326176169,0.0664456065109529,0.132943382306323,0.141948842624874,0.141948842624874,-0.0751898181382286,-0.00152691463376788
"GRHL2",0.0650597963442459,0.113293515153365,0.113293515153365,0.110207042295369,-0.0359946774987298,0.00347818643232034,-0.00201863821744908,-0.0767446296612956,-0.0766232307466795,-0.108322632717977,-0.11318923767167,-0.0438116073229158,-0.0436224270462613,-0.000285251713264165,-0.0346771317034213,0.000227444903621989,-0.0233084665871997,-0.0128158050572266,0.0317063642964596,0.113240988125305,0.113240988125305,-0.0138536529788932,-0.0033346942011482
"miR34a",0.0117209948240487,0.135722855679101,0.135722855679101,0.0394032841114749,0.124747938075371,-0.0189111711168947,0.0556306682114865,0.0271422236003965,0.0272007528861582,-0.127030186616675,-0.153418335743389,-0.109494179827801,-0.109371183252783,0.0175228999510439,0.0832506779264245,-0.0175567547533083,0.0906540966119732,0.0770998406274847,0.14147108756698,0.153433089814442,0.153433089814442,-0.00949731701527067,0.0189467043068148
