"","KLF8","ZEB2","TWIST2","SNAI1","miR205","TWIST1","TCF3","ZEB1","GRHL2","TGFbeta","GSC","CDH1","miR200c","miR200a","miR141","CLDN7","miR200b","miR34a","NP63","FOXC2","OVOL2","SNAI2","miR101"
"SNAI1",0.311907717620696,-0.117100226684348,0.212443134427517,0.246178468606759,-0.105708032227282,0.210287932850631,0.210230197015071,-0.110642519289003,-0.102578355151939,0.0454571632686362,0.0453742226833684,-0.135154031699246,-0.000998412236667628,-0.000998412236667628,0.110615881550663,0.110615881550663,-0.0646177549522007,0.254312004591676,0.105807272609541,-0.329829017592831,0.10824843210868,-0.195854363578321,-0.312215636469885
"TWIST1",0.0819774511710241,-0.113399866563154,-0.0103820479889878,0.221498987309148,-0.07180141019513,0.174442718180533,0.27443699955333,-0.0653790552292889,-0.0595912657954387,0.0155228115519795,0.0154660946757319,-0.143223036867208,-0.0263076051237348,-0.0263076051237348,0.0653769574143482,0.0653769574143482,-0.0071810483544502,0.105520241159086,0.0717660578500911,-0.329505568856244,0.0800535002996278,0.029186505880546,-0.0821557113911107
"ZEB2",-0.113060431777534,-0.0902096982040628,-0.0748855445891643,-0.0573215047993869,-0.0393058616329208,-0.013771228545709,-0.0133993968279764,-0.00907545789379372,-0.00261973369658807,-0.00105565190954157,-0.00101069812572616,0.00228320007701053,0.00698615751657584,0.00698615751657584,0.00910368990693265,0.00910368990693265,0.02018080205526,0.0248251170555725,0.0390657004925428,0.0431161239651266,0.0586611610440356,0.0877242069637068,0.113218535330389
"TGFbeta",0.00900503074637212,-0.0819490467407414,-0.0361522525377939,0.0734483919098056,-0.0675515800458837,-0.00618743126540884,-0.00599003149684305,-0.0637032399062374,-0.060319663663118,-0.080181593473848,0.0198431672807903,-0.0923269530026433,-0.012698126126778,-0.012698126126778,0.0637085577685939,0.0637085577685939,0.0796524035501621,0.117701524461444,0.0673253603674972,-0.07779627929534,0.0725676516127115,0.0621590477744323,-0.0089752546212847
"TWIST2",0.0508800001337647,-0.0773075159272994,-0.0183640359617732,0.101089816836453,-0.0736295193291752,-0.00168014138369046,-0.00168156623016326,-0.067833501025578,-0.0620094912924578,0.0145881449808432,0.0145545799670488,-0.124607921205715,-0.00382862764931788,-0.00382862764931788,0.067842863787399,0.067842863787399,0.00307572470637885,0.0817374108552738,0.0735353783230646,-0.0344414341308652,0.0814158963413302,0.024315667304785,-0.0509738536006944
"GRHL2",-0.125959347658684,-0.0569307831872124,-0.0497970863961228,-0.0294431532758004,-0.0914279653591096,-0.0152510141791602,-0.0151325102193938,-0.108634548377745,-0.0490788326757763,0.126092591048057,0.126056559406733,-0.07740173559983,0.0904136649667845,0.0904136649667845,0.108676254439536,0.108676254439536,0.150092225202225,0.100567037643394,0.0915789624606595,-0.0184418455618261,0.217575766560208,0.119039488753157,0.12609403668549
"OVOL2",-0.107249036765918,-0.0311022232962618,-0.0885456360968147,0.0567672064030543,-0.2749509640951,-0.00215763747955582,-0.0021936061149058,-0.112758047047844,0.0358033998336471,0.227541566546585,0.227532610417838,-0.17051282609523,0.0970341140248726,0.0970341140248726,0.112770411027089,0.112770411027089,0.109473793125773,0.131364337222774,0.274969330758526,-0.088361015366782,0.259606143828554,0.112150390867507,0.107299484766094
"miR200a",-0.0285681653815147,-0.0177234163314361,-0.00879794768883936,0.0482115303066441,-0.0671108145110985,-0.0308840050151379,-0.0311901410460177,-0.0197319020726738,-0.00476027775939488,0.0963438695547962,0.096317735566977,0.00580016192622694,0.00232352984261433,0.00232352984261433,0.0197115914314602,0.0197115914314602,0.0709622658172879,0.110278305566873,0.0675124494853299,-0.063771932827468,0.0930952922742785,0.116339354468389,0.0285303425365163
"FOXC2",-0.0421778284633419,-0.0138536404625168,0.0570207134238844,-0.0907466057514374,-0.0557590377057506,-0.0923482203434388,-0.0924890495457822,-0.00962732642645861,0.00491098035184647,0.00896372613332721,0.00891921945189736,0.00519054031839975,0.00219768451788652,0.00219768451788652,0.00964390545101682,0.00964390545101682,0.00514687788294619,0.0040360738674589,0.0559758986436742,0.10137700271438,0.0813045910750813,0.0259358514043717,0.0421692701900591
"TCF3",-0.263459254346855,-0.00801628378337368,-0.212741380355968,-0.187556895997116,0.0477173913043478,0.0334735585327074,0.0342480019015361,0.0537058245625795,0.0486072915744673,-0.202714570312919,-0.202497060796878,0.0155337336681964,-0.0322839750740483,-0.0322839750740483,-0.0535851355379662,-0.0535851355379662,0.17318549957158,-0.105670869967621,-0.0473127670268912,0.119021581542598,-0.0477230779880164,0.186834003238103,0.264815237061801
"KLF8",-0.263459254346855,-0.00801628378337368,-0.212741380355968,-0.187556895997116,0.0477173913043478,0.0334735585327074,0.0342480019015361,0.0537058245625795,0.0486072915744673,-0.202714570312919,-0.202497060796878,0.0155337336681964,-0.0322839750740483,-0.0322839750740483,-0.0535851355379662,-0.0535851355379662,0.17318549957158,-0.105670869967621,-0.0473127670268912,0.119021581542598,-0.0477230779880164,0.186834003238103,0.264815237061801
"CDH1",-0.264815237061801,-0.00790049923170482,-0.213401122074104,-0.187881371291814,0.0473127670268912,0.0332345147080062,0.0334735585327074,0.0538213369079614,0.0487598741151289,-0.202831189581696,-0.202714570312919,-0.0843402465665983,-0.0322733600389125,-0.0322733600389125,-0.0537058245625795,-0.0537058245625795,0.173320101018176,-0.105994048775568,-0.0479034193124587,0.119804185043405,-0.0478139468339821,0.186954471282645,0.265381378564826
"SNAI2",-0.265381378564826,-0.00787861520751822,-0.213579035309498,-0.188093761145189,0.0479034193124587,0.0332957225426091,0.0332345147080062,0.0538324775560729,0.0487969539365753,-0.20290142549681,-0.202831189581696,-0.0843022639564744,-0.0322920094486587,-0.0322920094486587,-0.0538213369079614,-0.0538213369079614,0.173344298859728,-0.106168256763754,-0.0480200737711006,0.120093161912525,-0.0478825007496205,0.0870202879865173,0.265570758052183
"miR205",-0.0107558483891817,-0.00783010519441254,0.0802707336856811,-0.078086917599015,-0.0463977212148168,-0.0923295267175699,-0.0922306840010425,-0.000634191925188654,0.00688153859374138,0.00697983223116106,0.00693222074092141,-0.047417497908812,-0.0030082683225268,-0.0030082683225268,0.000673321873884943,0.000673321873884943,-0.00596409918503947,-0.00314864920561511,0.0463481721116556,0.088893606731964,0.0674932793328367,-0.00349329313281059,0.0107596033175251
"miR141",0.034831805491462,-0.00777755179626331,-0.0494620858823875,0.12906927096386,0.0596371778829544,0.0468539566143781,0.0469855803184762,0.0141302487146316,0.00207040724204736,0.0914526850287193,0.0914515487683793,-0.0688597421049539,-0.0110310580906681,-0.0110310580906681,-0.0141291327453341,-0.0141291327453341,-0.0177581010627223,-0.00907746599047708,-0.0597615780962119,-0.122084201583242,-0.0827924050986691,0.0613176065176954,-0.0348462141943185
"GSC",-0.215189698044749,0.00339311045336174,-0.0739113403871721,-0.294487467193362,-0.0220555363302154,-0.331719829562115,-0.331740593681716,-0.00256601145607266,-0.00213555462233992,6.24629653239512e-05,0.000102191345445092,0.0575291852208794,-0.0112069891059746,-0.0112069891059746,0.00261210497040147,0.00261210497040147,0.00478834605204467,-0.120149580058255,0.021990400982795,0.197693450970676,0.0354507395031003,0.0511260124198047,0.215455696953472
"miR200c",-0.00811027420647325,0.00354148281945909,0.0666587278262972,-0.109925050413503,-0.0415352043863015,-0.0427948759217601,-0.0426366316932376,0.00437817875598332,0.0102586556259278,-0.0855709468816987,-0.0855913995678182,-0.00035817470717905,-0.000609628486742324,-0.000609628486742324,-0.00434045899372942,-0.00434045899372942,-0.0324023612280538,-0.00490643118011342,0.041361044087741,0.105824053699677,0.0613220260504051,-0.0913752007472506,0.0081390916121863
"miR200b",-0.00811027420647325,0.00354148281945909,0.0666587278262972,-0.109925050413503,-0.0415352043863015,-0.0427948759217601,-0.0426366316932376,0.00437817875598332,0.0102586556259278,-0.0855709468816987,-0.0855913995678182,-0.00035817470717905,-0.000609628486742324,-0.000609628486742324,-0.00434045899372942,-0.00434045899372942,-0.0324023612280538,-0.00490643118011342,0.041361044087741,0.105824053699677,0.0613220260504051,-0.0913752007472506,0.0081390916121863
"CLDN7",0.263459254346855,0.00801628378337368,0.212741380355968,0.187556895997116,-0.0477173913043478,-0.0334735585327074,-0.0342480019015361,-0.0537058245625795,-0.0486072915744673,0.202714570312919,0.202497060796878,-0.0155337336681964,0.0322839750740483,0.0322839750740483,0.0535851355379662,0.0535851355379662,-0.17318549957158,0.105670869967621,0.0473127670268912,-0.119021581542598,0.0477230779880164,-0.186834003238103,-0.264815237061801
"ZEB1",0.0421692701900591,0.013831176436509,-0.0570032197852075,0.0907343302514468,0.0559758986436742,0.0924317504833968,0.0923482203434388,-0.0903669475657413,-0.00494988512580218,-0.00894794687824526,-0.00896372613332721,-0.0051899963700966,-0.00217592732812427,-0.00217592732812427,-0.00962732642645861,-0.00962732642645861,-0.00513063387399317,-0.00398409563716477,-0.0559299163468584,-0.101441188867737,-0.0812899017280629,-0.0259551421518822,-0.0422148266028589
"miR101",-0.331829776089386,0.0156600498432141,-0.130621714125877,-0.259621728561228,0.112806193884075,-0.183276857111475,-0.183088081100214,0.118881834554245,0.104578963402212,-0.0219143120532981,-0.0218463983456289,0.0115862402692698,-0.0545342154058738,-0.0545342154058738,-0.118841295349868,-0.118841295349868,-0.0379492113513622,-0.164531550466684,-0.113076506712124,0.256359483277378,-0.119173533025972,0.118549514810946,0.232110234392813
"miR34a",-0.0289076978746435,0.0210059632472943,0.135080819637033,-0.107533618660519,0.0786431823862422,-0.113014707894972,-0.112938337759631,0.073926404087175,0.0660650057969033,-0.00396706459122878,-0.00393206769871148,0.0203363388581687,-0.0756742012562664,-0.0756742012562664,-0.0739342570604773,-0.0739342570604773,-0.0686387955666133,-0.0868898121321421,-0.078648859151243,0.156641292979896,-0.0870240952922208,-0.0558357442799304,0.0290056542360448
"NP63",0.199036654186373,0.0808458902366023,0.175428191548061,0.150887627231885,-0.157057673606103,-0.0430468298661589,-0.0431388303149415,-0.0463744170707401,0.0496117839464605,0.108755304197953,0.108710801176883,0.0790752262772831,0.053251822684279,0.053251822684279,0.0463577921924579,0.0463577921924579,-0.0668427263315637,0.0710370099935997,0.0573747415338755,-0.0938858410859891,0.162392087432109,-0.139844270715104,-0.199179205861356
