"","SNAI2","ZEB2","miR34a","GRHL2","miR205","OVOL2","CDH1","TWIST1","TCF3","miR200c","FOXC2","miR200b","GSC","TGFbeta","SNAI1","miR200a","miR141","CLDN7","ZEB1","NP63","miR101","KLF8","TWIST2"
"TWIST2",-0.073486500359682,-0.159479954802392,0.0883336875792785,0.0870572388379414,0.0904546982968281,0.0914622080225864,-0.0378987700565369,-0.0154569177224967,-0.0152788119133976,0.119238461540119,-0.0647363742139312,-0.0481404782453273,-0.0160740340298916,0.0159968072095354,-0.0927537337794613,-0.119238461540119,-0.0806249622344244,-0.0806249622344244,-0.0806384144784202,-0.0905248761377469,-0.0152500193584005,-0.0152387221818256,0.0486267137865064
"TGFbeta",0.130266583603345,-0.0730049567518044,0.0619048949359433,-0.170325271966387,-0.154914974187814,-0.145024736926034,-0.15667701544625,0.215595678888131,0.215266679273855,-0.0459458758496243,0.0285889065378485,0.0267857108949401,-0.0242078814524019,-0.0756344316364805,-0.204984206039319,0.0459458758496243,0.160126394811263,0.160126394811263,0.160233266690235,0.155391943389232,-0.167394591090122,-0.167312187395113,-0.143139502583522
"ZEB2",-0.100863506517878,-0.0711231857102868,-0.0441477557752642,-0.0420879718642425,-0.0393489857205764,-0.0375658038613498,-0.0367827884208751,-0.0339730088090341,-0.0334453000393262,-0.0333735119193957,-0.0182715166308881,-0.00348501966876643,-0.0015176323096248,0.00119926099137049,0.0151511274356762,0.0333735119193957,0.0382566750160847,0.0382566750160847,0.0383315512248445,0.0396278825287574,0.107278569408246,0.107444627856843,0.118291441866862
"TCF3",-0.00725418790564561,-0.0484344632485593,0.0376463515380104,-0.00130950679421267,0.00764492753623188,0.0124699173788664,-0.0975723810722035,0.00877102415890206,0.00857741331669489,0.0223851698425795,-0.0581208999728924,-0.0185458859219487,-0.00588651906019365,0.00612215436923842,-0.0969976888809536,-0.0223851698425795,0.0020733074117042,0.0020733074117042,0.00204039222317332,-0.00781833794085616,-0.0352267244534077,-0.0353906344519176,0.00115167298220796
"KLF8",-0.00725418790564561,-0.0484344632485593,0.0376463515380104,-0.00130950679421267,0.00764492753623188,0.0124699173788664,-0.0975723810722035,0.00877102415890206,0.00857741331669489,0.0223851698425795,-0.0581208999728924,-0.0185458859219487,-0.00588651906019365,0.00612215436923842,-0.0969976888809536,-0.0223851698425795,0.0020733074117042,0.0020733074117042,0.00204039222317332,-0.00781833794085616,-0.0352267244534077,-0.0353906344519176,0.00115167298220796
"CLDN7",-0.00725418790564561,-0.0484344632485593,0.0376463515380104,-0.00130950679421267,0.00764492753623188,0.0124699173788664,-0.0975723810722035,0.00877102415890206,0.00857741331669489,0.0223851698425795,-0.0581208999728924,-0.0185458859219487,-0.00588651906019365,0.00612215436923842,-0.0969976888809536,-0.0223851698425795,0.0020733074117042,0.0020733074117042,0.00204039222317332,-0.00781833794085616,-0.0352267244534077,-0.0353906344519176,0.00115167298220796
"miR205",0.0555244500079995,-0.0352132185552327,0.219334425737873,0.274282456884693,0.203166291038905,0.172454087877652,0.140391925680404,-0.015013552741883,-0.0143257721727137,0.146851764480057,0.126130859129662,0.116322464137466,0.0256603293163464,-0.0259983708970478,0.156641698970264,-0.146851764480057,-0.252771930197649,-0.252771930197649,-0.252905468911454,-0.203859978483162,-0.00576673508948771,-0.00580303273014107,-0.170669010605616
"miR200c",-0.0717230595106261,-0.0268265867576358,0.127109911997725,0.292480206209874,0.219875493915397,0.188269558653828,0.179567056031189,-0.175427782235074,-0.174814031255291,0.155348921219958,0.0281318437955734,0.0590345715493859,0.117015274714347,-0.1172641157288,0.237755359332717,-0.155348921219958,-0.275194588861394,-0.275194588861394,-0.275380955734068,-0.220739186824585,0.127029541796631,0.12687644932878,-0.0299763798715244
"OVOL2",-0.0979600000198482,0.0071519370683917,-0.120425706817402,-0.0348215015612438,-0.0129151718308047,-0.102634020038088,-0.082303292625966,-0.0739827431795619,-0.0740438898596569,-0.101684937023942,-0.0392723210723663,-0.0905051383911823,-0.0110528735281775,0.011077675115479,0.0548235162820041,0.101684937023942,0.0994991859517737,0.0994991859517737,0.0995180715904004,0.0130156482836618,0.0994281573667209,0.0994369309319688,0.117232532772047
"miR101",0.101896832977156,0.0146238159263429,0.112374952574516,0.104672239991585,0.100697311754402,0.0972588537244745,-0.0573974246284796,0.200920461281307,0.200823345298635,0.0399285339641219,-0.0490209385918467,0.0828209253919005,0.0209262942831332,-0.0208625727796411,-0.139942730921761,-0.0399285339641219,-0.0934270519461669,-0.0934270519461669,-0.093448145515924,-0.100789165628011,-0.181472633402517,-0.0815032046867765,-0.102579054195041
