"","TWIST2","ZEB2","miR101","GRHL2","ZEB1","miR141","CLDN7","miR200a","miR200b","CDH1","miR205","NP63","TGFbeta","SNAI1","FOXC2","miR200c","GSC","OVOL2","TCF3","TWIST1","miR34a","SNAI2","KLF8"
"ZEB2",-0.0986991778033493,-0.0877231491560535,-0.0854608656678951,-0.0238280157970836,-0.0234723625216645,-0.0234377476185985,-0.0234377476185985,-0.0157299583271267,-0.0101695466721272,-0.00821031911103324,-0.00790405034975164,-0.00787306181550931,-0.00517698700202439,-0.00418888261695657,-0.00351793701084769,0.0019556632284483,0.00519854018604548,0.0148207476776925,0.0204782773044225,0.0206844896544314,0.0302315367870173,0.0803598112980034,0.0855891383617211
"SNAI1",0.177424137650604,-0.0581903085572806,-0.0887700155462129,0.218847920709828,0.22277564076117,0.222688624149259,0.222688624149259,0.156602944694702,0.1032196808116,0.158547969122754,0.0274592596859288,0.0272473018324616,0.0407619804496758,0.104148049131174,-0.258582150965888,-0.0897025573526882,-0.0409179087499793,-0.141440377554582,-0.263809642301882,-0.26385102816631,-0.283629388457502,-0.130076189553001,0.0886792309614978
"GSC",-0.113162228490091,-0.0239161847216938,0.0294006782365268,-0.145372319731913,-0.147147885851968,-0.147035668657398,-0.147035668657398,-0.0602782413743489,-0.120194585299184,-0.0569925768193027,-0.0218111835713817,-0.0217632899335725,-0.0374340380573681,-0.054446865218401,0.113003755546835,0.0937573247497894,0.037536109433987,0.0942976087996818,0.0142007764598109,0.0145409885732788,0.119648989219171,0.10816861299032,-0.0291307819078964
"TWIST2",0.060025224220556,-0.0216120046563131,0.107403038014917,-0.154717846936334,-0.159141218716646,-0.159187817289847,-0.159187817289847,-0.0723232148082758,-0.0292414362177308,0.0201449777534843,-0.0279737736024311,-0.0279463871279262,-0.0170450196135485,-0.111329395933508,0.0412345028202484,0.0906843127912814,0.0171260668419789,0.0922716144162185,-0.012181342757659,-0.0121115252804922,0.141451659665368,-0.105495714593177,-0.107327433833224
"TWIST1",0.0486246788642201,-0.015365944802172,0.16247425417316,-0.250101490454042,-0.259297800465145,-0.259406269837664,-0.259406269837664,-0.128154582769454,-0.0608785051126591,-0.0266740345476946,-0.038690358490612,-0.0385018126504046,-0.031586075429189,-0.223761110585081,0.332795299643292,0.160954155660198,0.0317744005265634,0.134862152633955,0.229082328281752,0.128985111619306,0.249128620033124,-0.140276961656755,-0.162473258306009
"miR101",-0.13648791439238,-0.0150751837289364,0.0822759638131311,-0.220050137002051,-0.226942786483589,-0.226919715391667,-0.226919715391667,-0.109536169579149,-0.140765598031002,-0.0962832554383222,-0.0403195084326039,-0.0401384250817746,-0.0494413539331939,-0.172716681206553,0.218649050817849,0.122121364238324,0.0496316800028348,0.105345468898242,0.229058960603235,0.229232459943065,0.211993846541697,0.112860365640834,-0.182077915058579
"miR141",-0.0664845078820078,-0.00748714091763174,-0.115027610192844,-0.14887746367046,-0.147300891427972,-0.147085509353564,-0.147085509353564,-0.0656737514340656,-0.113407583809786,0.0120147866792278,-0.0416453851651458,-0.0417164710012929,-0.144235990847835,0.183479461062709,-0.0912076664531786,0.0728306029004379,0.144253034752935,0.0465974294230079,-0.123010458524053,-0.122402623216364,0.0399448614904304,0.0793771907276127,0.115461672366397
"miR34a",0.0562847434538099,-0.00670466556107996,-0.00924647914781198,-0.0356891948580557,-0.0337526834156938,-0.0337229373047003,-0.0337229373047003,-0.0579372703389715,0.0420385903119026,-0.0244870923476876,-0.013257278599429,-0.0134313660594552,0.0085126301174596,0.201614575054644,-0.183794178310928,0.0634041374257582,-0.00862486153139439,0.0374432947315508,-0.120305921119858,-0.120201207429134,-0.0837797459299396,-0.152105381816915,0.00928489340718506
"KLF8",0.172950718291146,-0.00360894463651784,0.283037084926359,-0.201452268414405,-0.205540069655815,-0.206853019953881,-0.206853019953881,-0.103790610727007,0.13880204971205,-0.0816545069777436,-0.0323188405797101,-0.0323766440479182,0.1707942910771,-0.16414285362551,0.091268527677918,0.106670850738204,-0.171138681144166,0.112423190856036,-0.00368586029652079,-0.00610599582411033,0.193844283788631,-0.230453812538842,-0.2849295003637
"CLDN7",0.172950718291146,-0.00360894463651784,0.283037084926359,-0.201452268414405,-0.205540069655815,-0.206853019953881,-0.206853019953881,-0.103790610727007,0.13880204971205,-0.0816545069777436,-0.0323188405797101,-0.0323766440479182,0.1707942910771,-0.16414285362551,0.091268527677918,0.106670850738204,-0.171138681144166,0.112423190856036,-0.00368586029652079,-0.00610599582411033,0.193844283788631,-0.230453812538842,-0.2849295003637
"CDH1",0.173533256191202,-0.00357777187260699,0.282354480028426,-0.200280304644642,-0.204872664993609,-0.205540069655815,-0.205540069655815,-0.102909562810738,0.139182187863425,-0.181115369786753,-0.0323766440479182,-0.0322482413771427,0.170984564620894,-0.163773198226488,0.0899721539399408,0.106027579608977,-0.1707942910771,0.112159904199777,-0.00610599582411033,-0.00718434907776239,0.192456204318432,-0.230310298433605,-0.283037084926359
"FOXC2",-0.0906396099566193,-0.00348376400526743,-0.0243114183953189,-0.157940995232176,-0.159406811670856,-0.159203187241025,-0.159203187241025,-0.172751782263689,-0.181089392092206,-0.128846929509152,-0.0424173581761985,-0.0423902505589581,-0.0560077249930196,0.161097639784438,-0.133910354469308,0.175531039735686,0.0560435474439266,0.0538775977473953,-0.0419074606328446,-0.0415300383705643,0.142236068598323,-0.0247892566128199,0.0246143812695294
"miR200c",-0.000871862788551411,0.0029938823560536,-0.108226640031394,0.195820059268581,0.200067774838495,0.200122457334071,0.200122457334071,0.0993755196784139,0.0594257431938094,0.0721678669324894,0.0475686966438237,0.0474833936404471,-0.0680110812199051,0.0636031398402161,-0.0194430038602874,-0.101044261479848,0.0680258526043247,-0.0665960990041911,-0.0719193180573038,-0.0718202305497243,-0.191766402761666,0.130776199079492,0.10828427484282
"miR205",-0.112538797279431,0.00323441534732057,-0.0355375759139464,-0.172433080336159,-0.175958763248766,-0.175773051270033,-0.175773051270033,-0.0868717288352839,-0.0913134365591214,-0.0984206959114857,-0.0458922174241397,-0.045862487962243,-0.0368576072984022,0.143154830728536,-0.125342160972044,0.0842915796295451,0.0369083928879911,0.0591866194387918,-0.0232503183572682,-0.0230526329242136,0.164131825391876,0.00259017275467891,0.0357190641172131
"ZEB1",0.0907151506690875,0.00347896831432194,0.0241740143760677,0.158124943046899,0.0595170600432607,0.159406811670856,0.159406811670856,0.172882325402263,0.181143595785238,0.128933852447996,0.0423902505589581,0.042404620026713,0.0560289926846518,-0.16104334430371,0.133705634422284,-0.17563735327657,-0.0560077249930196,-0.0538997653074414,0.0415300383705643,0.0413299265964201,-0.142462326777251,0.0248145382757063,-0.0243114183953189
"SNAI2",-0.173823772740135,0.00357539317432584,-0.28213457783981,0.199701288971287,0.204683273975713,0.204872664993609,0.204872664993609,0.10253470967484,-0.139415455055991,0.180795699927494,0.0322482413771427,0.031911842473152,-0.171201304898821,0.163874272643083,-0.0895329600199123,-0.105626617299434,0.170984564620894,-0.111979446098317,0.00718434907776239,0.00761960479049362,-0.191872434503715,0.130312786350246,0.282354480028426
"TCF3",-0.172950718291146,0.00360894463651784,-0.283037084926359,0.201452268414405,0.205540069655815,0.206853019953881,0.206853019953881,0.103790610727007,-0.13880204971205,0.0816545069777436,0.0323188405797101,0.0323766440479182,-0.1707942910771,0.16414285362551,-0.091268527677918,-0.106670850738204,0.171138681144166,-0.112423190856036,0.00368586029652079,0.00610599582411033,-0.193844283788631,0.230453812538842,0.2849295003637
"miR200b",-0.0235120901911245,0.00408008833641444,0.0898532475369469,-0.205271711819539,-0.211372820222317,-0.211374382579333,-0.211374382579333,-0.108639183386551,-0.0341969554701841,-0.141297028422846,-0.04991961414791,-0.049820093977304,0.0718471554373394,-0.0633633804802873,0.0179742136743151,0.10436951629433,-0.0718267027512199,0.0718837756151635,0.0809511305894649,0.0807396453120938,0.20197492483072,-0.103194786549231,-0.0899685171597991
"miR200a",-0.0235120901911245,0.00408008833641444,0.0898532475369469,-0.205271711819539,-0.211372820222317,-0.211374382579333,-0.211374382579333,-0.108639183386551,-0.0341969554701841,-0.141297028422846,-0.04991961414791,-0.049820093977304,0.0718471554373394,-0.0633633804802873,0.0179742136743151,0.10436951629433,-0.0718267027512199,0.0718837756151635,0.0809511305894649,0.0807396453120938,0.20197492483072,-0.103194786549231,-0.0899685171597991
"OVOL2",0.0906479618249058,0.00945571785866567,0.138994499512093,-0.0953434713509341,-0.138702043002429,-0.138781797461953,-0.138781797461953,-0.127228178410905,0.00274834469082441,-0.0202966481274989,-0.0289805921628483,-0.0289730294190848,-0.0039081750238405,-0.105538399328098,0.0230957021524239,0.120886306991939,0.00391437542066589,-0.0350527471335756,0.0324804516698262,0.0322142837682364,0.163631671692918,-0.125169985294496,-0.139133779860404
"GRHL2",0.0149123662518682,0.0248406155679096,0.0148566216904992,-0.0530752223073812,0.0611371229524726,0.0610425746553246,0.0610425746553246,0.0666961730276806,0.0857592468961726,0.0731790556498556,0.155761567414106,0.155881323736024,0.104545777755576,-0.110136513038936,0.0486509799892604,-0.0816616756346111,-0.10447094280821,0.0371134007902804,0.0447722947680799,0.0447173782989198,-0.0525192182499521,0.00695078134520995,-0.0149138425188807
"TGFbeta",0.0547227828469059,0.0578725163568217,0.134380988467918,-0.0801377135549388,-0.0832392007244032,-0.0834730151241452,-0.0834730151241452,-0.0790024036885985,0.092521289559695,-0.126383437940457,-0.0111982106402826,-0.0111682297190507,0.0952240276304992,-0.157857023889948,0.0978609450852241,0.0159091237999069,-0.195100223857308,0.0410467493254855,0.122872635264712,0.122682042384718,0.175977057096785,-0.116986907355471,-0.13449386075604
"NP63",-0.210736111861302,0.0830938192195075,-0.266073999353319,-0.0501170766752992,-0.0145626656559519,-0.0141443294330564,-0.0141443294330564,-0.0421095141847498,-0.125816698358185,0.0820622200173499,-0.0696713211221411,-0.169596084664703,-0.102274430936979,0.189721324196194,-0.0945448796664013,-0.0107649609311399,0.102324068922019,-0.0567627006502036,0.0152904226490569,0.0160600849400924,-0.00986222469374573,0.216485355331059,0.266589378485946
