"Nature","Strength","Type","Node"
"P",0.223373959086046,"TS","GRHL2,GRHL2"
"P",0.23205764101462,"TS","GRHL2,MIR200"
"N",0.175174183083878,"NF","GRHL2,ZEB1"
"N",0.140773041995422,"NF","GRHL2,ESRP1"
"P",0.169478924348363,"TS","GRHL2,MIR340"
"P",0.147883087401269,"TS","GRHL2,HA"
"N",0.147883087401269,"NF","GRHL2,CD44s"
"N",0.067700802209412,"NF","GRHL2,CD24"
"N",0.113421520165206,"NF","GRHL2,MIR190"
"N",0.129959947203334,"NF","GRHL2,SNAIL1"
"N",0.131550060543481,"NF","GRHL2,TGFB"
"N",0.166302200067485,"NF","GRHL2,MIR34"
"P",0.169478924348363,"DA","GRHL2,MIR1199"
"P",0.140773041995422,"DA","GRHL2,HAS2"
"P",0.0241969371696532,"DA","MIR200,MIR200"
"N",0.154650209782856,"NF","MIR200,ZEB1"
"N",0.145841081872218,"NF","MIR200,ESRP1"
"P",0.159778629473131,"TS","MIR200,MIR340"
"P",0.137675096194578,"TS","MIR200,HA"
"N",0.137675096194578,"NF","MIR200,CD44s"
"P",0.137675096194578,"TS","MIR200,CD24"
"N",0.172291972292014,"NF","MIR200,MIR190"
"P",0.145414532143168,"TS","MIR200,SNAIL1"
"P",0.235885757056655,"DA","MIR200,TGFB"
"P",0.113634887107327,"DA","MIR200,MIR34"
"P",0.159778629473131,"DA","MIR200,MIR1199"
"P",0.145841081872218,"DA","MIR200,HAS2"
"P",0.1186729061347,"TS","ZEB1,ZEB1"
"P",0.114278171465701,"TS","ZEB1,ESRP1"
"N",0.112972453320721,"NF","ZEB1,MIR340"
"N",0.114278171465701,"NF","ZEB1,HA"
"P",0.114278171465701,"TS","ZEB1,CD44s"
"N",0.114278171465701,"NF","ZEB1,CD24"
"P",0.0661799509560128,"TS","ZEB1,MIR190"
"P",0.10506198501377,"TS","ZEB1,SNAIL1"
"P",0.0869640167385774,"DA","ZEB1,TGFB"
"P",0.0965258992877208,"DA","ZEB1,MIR34"
"N",0.112972453320721,"NF","ZEB1,MIR1199"
"N",0.114278171465701,"NF","ZEB1,HAS2"
"P",0.0581721249047982,"DA","ESRP1,ESRP1"
"N",0.0868780072577394,"NF","ESRP1,MIR340"
"N",0.0852278422412377,"NF","ESRP1,HA"
"P",0.185227842241237,"DA","ESRP1,CD44s"
"N",0.0852278422412377,"NF","ESRP1,CD24"
"P",0.030820603074582,"DA","ESRP1,MIR190"
"P",0.105363853585076,"DA","ESRP1,SNAIL1"
"P",0.060370388803412,"TS","ESRP1,TGFB"
"P",0.0800856409250828,"TS","ESRP1,MIR34"
"N",0.0868780072577394,"NF","ESRP1,MIR1199"
"N",0.0581721249047982,"NF","ESRP1,HAS2"
"P",0.115583889610681,"TS","MIR340,MIR340"
"P",0.0868780072577394,"TS","MIR340,HA"
"N",0.0868780072577394,"NF","MIR340,CD44s"
"P",0.0868780072577394,"TS","MIR340,CD24"
"N",0.0595264854275232,"NF","MIR340,MIR190"
"N",0.102725963896827,"NF","MIR340,SNAIL1"
"N",0.0629344913675145,"NF","MIR340,TGFB"
"N",0.0940231885259967,"NF","MIR340,MIR34"
"P",0.115583889610681,"DA","MIR340,MIR1199"
"P",0.0868780072577394,"DA","MIR340,HAS2"
"P",0.0581721249047982,"TS","HA,HA"
"N",0.0581721249047982,"NF","HA,CD44s"
"P",0.0581721249047982,"TS","HA,CD24"
"N",0.0663384745283406,"NF","HA,MIR190"
"N",0.0984375388493887,"NF","HA,SNAIL1"
"N",0.0549753076940451,"NF","HA,TGFB"
"N",0.0860640048525273,"NF","HA,MIR34"
"P",0.0868780072577394,"DA","HA,MIR1199"
"N",0.130356047369443,"NF","HA,HAS2"
"P",0.0581721249047982,"DA","CD44s,CD44s"
"N",0.0581721249047982,"NF","CD44s,CD24"
"P",0.0663384745283406,"DA","CD44s,MIR190"
"P",0.0984375388493887,"DA","CD44s,SNAIL1"
"P",0.0549753076940451,"TS","CD44s,TGFB"
"P",0.0860640048525273,"TS","CD44s,MIR34"
"N",0.0868780072577394,"NF","CD44s,MIR1199"
"N",0.0852278422412377,"NF","CD44s,HAS2"
"P",0.0581721249047982,"TS","CD24,CD24"
"N",0.0663384745283406,"NF","CD24,MIR190"
"N",0.0984375388493887,"NF","CD24,SNAIL1"
"N",0.0549753076940451,"NF","CD24,TGFB"
"N",0.0860640048525273,"NF","CD24,MIR34"
"P",0.0868780072577394,"DA","CD24,MIR1199"
"P",0.0852278422412377,"DA","CD24,HAS2"
"P",0.00346908124436574,"DA","MIR190,MIR190"
"P",0.102881265505151,"DA","MIR190,SNAIL1"
"P",0.213226773837976,"TS","MIR190,TGFB"
"P",0.106536531344879,"TS","MIR190,MIR34"
"N",0.0595264854275232,"NF","MIR190,MIR1199"
"N",0.030820603074582,"NF","MIR190,HAS2"
"P",0.025292931759732,"TS","SNAIL1,SNAIL1"
"P",0.1899972577107,"TS","SNAIL1,TGFB"
"P",0.188400369113301,"TS","SNAIL1,MIR34"
"N",0.102725963896827,"NF","SNAIL1,MIR1199"
"N",0.105363853585076,"NF","SNAIL1,HAS2"
"P",0.197299644732207,"DA","TGFB,TGFB"
"P",0.200186240888603,"DA","TGFB,MIR34"
"N",0.0629344913675145,"NF","TGFB,MIR1199"
"N",0.060370388803412,"NF","TGFB,HAS2"
"P",0.203072837045,"DA","MIR34,MIR34"
"N",0.0940231885259967,"NF","MIR34,MIR1199"
"N",0.0800856409250828,"NF","MIR34,HAS2"
"P",0.115583889610681,"TS","MIR1199,MIR1199"
"P",0.0868780072577394,"TS","MIR1199,HAS2"
"P",0.0581721249047982,"TS","HAS2,HAS2"
