"","MIR1199","GRHL2","ESRP1","HA","CD44s","CD24","MIR200","SNAIL1","TGFB","ZEB1","MIR34","MIR340","MIR190","HAS2"
"GRHL2",0.266868406625008,0.266868406625008,0.266868406625008,0.267302057969327,0.267302057969327,0.367302057969327,0.222983615769481,0.102962485962427,0.0115657546876923,-0.26918035712973,-0.222983615769481,-0.266868406625008,-0.266868406625008,-0.266868406625008
"MIR340",0.201693303909284,0.201693303909284,0.201693303909284,0.200516833321049,0.200516833321049,0.200516833321049,0.146809007436583,0.0776277181236211,0.00459046386226261,-0.204439814490104,-0.146809007436583,-0.201693303909284,-0.201693303909284,-0.201693303909284
"HA",0.201693303909284,0.201693303909284,0.201693303909284,0.200516833321049,0.200516833321049,0.200516833321049,0.146809007436583,0.0776277181236211,0.00459046386226261,-0.204439814490104,-0.146809007436583,-0.201693303909284,-0.201693303909284,-0.201693303909284
"CD44s",0.201693303909284,0.201693303909284,0.201693303909284,0.200516833321049,0.200516833321049,0.200516833321049,0.146809007436583,0.0776277181236211,0.00459046386226261,-0.204439814490104,-0.146809007436583,-0.201693303909284,-0.201693303909284,-0.201693303909284
"CD24",0.201693303909284,0.201693303909284,0.201693303909284,0.200516833321049,0.200516833321049,0.200516833321049,0.146809007436583,0.0776277181236211,0.00459046386226261,-0.204439814490104,-0.146809007436583,-0.201693303909284,-0.201693303909284,-0.201693303909284
"ESRP1",0.200516833321049,0.200516833321049,0.200516833321049,0.205467328370554,0.305467328370554,0.205467328370554,0.147189814748083,0.0797859915049161,0.00433405360585236,-0.201693303909284,-0.147189814748083,-0.200516833321049,-0.200516833321049,-0.200516833321049
"MIR200",0.162464968615877,0.162464968615877,0.162464968615877,0.160575075435926,0.160575075435926,0.160575075435926,0.0426935819237722,0.0917252136642992,-0.00329081340106494,-0.163058533126967,-0.0426935819237722,-0.162464968615877,-0.162464968615877,-0.162464968615877
"SNAIL1",0.0250862641307243,0.0250862641307243,0.0250862641307243,0.0233025829163031,0.0233025829163031,0.0233025829163031,-0.0400656356663293,-0.0902185385384906,0.0694209043772408,-0.0255541501366792,0.0400656356663293,-0.0250862641307243,-0.0250862641307243,-0.0250862641307243
"MIR190",0.0275882972020173,0.0275882972020173,0.0275882972020173,0.0240460628695923,0.0240460628695923,0.0240460628695923,-0.0373632619481191,0.010555313397474,-0.0298620917362435,-0.0233025829163031,0.0373632619481191,-0.0275882972020173,-0.0275882972020173,-0.0275882972020173
"TGFB",-0.0233025829163031,-0.0233025829163031,-0.0233025829163031,-0.0275882972020173,-0.0275882972020173,-0.0275882972020173,0.0410138486495532,-0.0110965853866485,-0.0688640229134381,0.0250862641307243,-0.0410138486495532,0.0233025829163031,0.0233025829163031,0.0233025829163031
"MIR34",-0.0233025829163031,-0.0233025829163031,-0.0233025829163031,-0.0275882972020173,-0.0275882972020173,-0.0275882972020173,0.0410138486495532,-0.0110965853866485,-0.0688640229134381,0.0250862641307243,-0.0410138486495532,0.0233025829163031,0.0233025829163031,0.0233025829163031
"ZEB1",-0.204439814490104,-0.204439814490104,-0.204439814490104,-0.201693303909284,-0.201693303909284,-0.201693303909284,-0.149343569648564,-0.078225804248023,-0.00528394513826816,0.102995351597858,0.149343569648564,0.204439814490104,0.204439814490104,0.204439814490104
"HAS2",-0.200516833321049,-0.200516833321049,-0.200516833321049,-0.305467328370554,-0.205467328370554,-0.205467328370554,-0.147189814748083,-0.0797859915049161,-0.00433405360585236,0.201693303909284,0.147189814748083,0.200516833321049,0.200516833321049,0.200516833321049
"MIR1199",-0.201693303909284,-0.201693303909284,-0.201693303909284,-0.200516833321049,-0.200516833321049,-0.200516833321049,-0.146809007436583,-0.0776277181236211,-0.00459046386226261,0.204439814490104,0.146809007436583,0.201693303909284,0.201693303909284,0.201693303909284
