"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.422439770265163,0.396808349806713,-0.422428610945076,-0.124063011322578,-0.502267098838964,0.396808349806713,0.396808349806713,0.502267098838964,0.502267098838964,-0.502267098838964,-0.482681326664268,-0.502267098838964,0,0.502267098838964,-0.363962843113841,-0.356174940107606,-0.482681326664268,0.482681326664268
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",0.623971921193545,0.598651853986657,-0.604160005013504,-0.450766952014803,-0.592207215311193,0.598651853986657,0.598651853986657,0.592207215311193,0.592207215311193,-0.592207215311193,-0.554656194903029,-0.592207215311193,0,0.592207215311193,-0.31685617610025,-0.0830396377184073,-0.554656194903029,0.554656194903029
"SNAIL1",-0.648656452598621,-0.620606631521303,0.634390713048508,0.352739637902512,0.623971921193545,-0.620606631521303,-0.620606631521303,-0.623971921193545,-0.623971921193545,0.623971921193545,0.592207215311193,0.623971921193545,0,-0.623971921193545,0.340845745852532,0.101785079002142,0.592207215311193,-0.592207215311193
"MIR340",-0.502267098838964,-0.385172405106252,0.394643127819788,0.120115642901525,0.482681326664268,-0.385172405106252,-0.385172405106252,-0.482681326664268,-0.482681326664268,0.482681326664268,0.449740150193679,0.482681326664268,0,-0.482681326664268,0.34263763366982,0.342753281121431,0.449740150193679,-0.449740150193679
"MIR34",0.623971921193545,0.598651853986657,-0.604160005013504,-0.450766952014803,-0.592207215311193,0.598651853986657,0.598651853986657,0.592207215311193,0.592207215311193,-0.592207215311193,-0.554656194903029,-0.592207215311193,0,0.592207215311193,-0.31685617610025,-0.0830396377184073,-0.554656194903029,0.554656194903029
"MIR200",0.224334444938078,0.0505081374283706,-0.170843795134064,0.177669462478679,-0.22224134903055,0.0505081374283706,0.0505081374283706,0.22224134903055,0.22224134903055,-0.22224134903055,-0.213942252892505,-0.22224134903055,0,0.22224134903055,-0.17870048519963,-0.317591985513261,-0.213942252892505,0.213942252892505
"MIR190",-0.592207215311193,-0.573097747076617,0.463820302253419,0.446301458104113,0.554656194903029,-0.573097747076617,-0.573097747076617,-0.554656194903029,-0.554656194903029,0.554656194903029,0.505882352941176,0.554656194903029,0,-0.554656194903029,0.285725741317642,0.0606146051238832,0.505882352941176,-0.505882352941176
"MIR1199",0.502267098838964,0.385172405106252,-0.394643127819788,-0.120115642901525,-0.482681326664268,0.385172405106252,0.385172405106252,0.482681326664268,0.482681326664268,-0.482681326664268,-0.449740150193679,-0.482681326664268,0,0.482681326664268,-0.34263763366982,-0.342753281121431,-0.449740150193679,0.449740150193679
"HAS2",-0.482681326664268,-0.360724575707927,0.374386717563377,0.122593660487457,0.449740150193679,-0.360724575707927,-0.360724575707927,-0.449740150193679,-0.449740150193679,0.449740150193679,0.521687344913151,0.449740150193679,0,-0.449740150193679,0.324817927170868,0.324550691631713,0.421687344913151,-0.421687344913151
"HA",-0.502267098838964,-0.385172405106252,0.394643127819788,0.120115642901525,0.482681326664268,-0.385172405106252,-0.385172405106252,-0.482681326664268,-0.482681326664268,0.482681326664268,0.449740150193679,0.482681326664268,0,-0.482681326664268,0.34263763366982,0.342753281121431,0.449740150193679,-0.449740150193679
"GRHL2",-0.189336028668359,-0.151213405207792,0.149270663414584,0.0835658031935598,0.18428881277777,-0.151213405207792,-0.151213405207792,-0.18428881277777,-0.18428881277777,0.18428881277777,0.167376410349322,0.18428881277777,0,-0.18428881277777,0.125495878017565,0.121566060324545,0.167376410349322,-0.267376410349322
"EXTGFB",0.623971921193545,0.598651853986657,-0.604160005013504,-0.450766952014803,-0.592207215311193,0.598651853986657,0.598651853986657,0.592207215311193,0.592207215311193,-0.592207215311193,-0.554656194903029,-0.592207215311193,0,0.592207215311193,-0.31685617610025,-0.0830396377184073,-0.554656194903029,0.554656194903029
"ESRP1",0.482681326664268,0.360724575707927,-0.374386717563377,-0.122593660487457,-0.449740150193679,0.360724575707927,0.360724575707927,0.449740150193679,0.449740150193679,-0.449740150193679,-0.421687344913151,-0.449740150193679,0,0.449740150193679,-0.324817927170868,-0.324550691631713,-0.521687344913151,0.421687344913151
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.502267098838964,-0.385172405106252,0.394643127819788,0.120115642901525,0.482681326664268,-0.385172405106252,-0.385172405106252,-0.482681326664268,-0.482681326664268,0.482681326664268,0.449740150193679,0.482681326664268,0,-0.482681326664268,0.34263763366982,0.342753281121431,0.449740150193679,-0.449740150193679
"CD24",-0.502267098838964,-0.385172405106252,0.394643127819788,0.120115642901525,0.482681326664268,-0.385172405106252,-0.385172405106252,-0.482681326664268,-0.482681326664268,0.482681326664268,0.449740150193679,0.482681326664268,0,-0.482681326664268,0.34263763366982,0.342753281121431,0.449740150193679,-0.449740150193679
