"","MIR340","MIR190","GRHL2","ESRP1","HA","CD44s","CD24","MIR34","TGFB","MIR200","SNAIL1","ZEB1","MIR1199","HAS2"
"GRHL2",0.34738157219968,0.34738157219968,0.34738157219968,0.34738157219968,0.344346012789445,0.344346012789445,0.444346012789445,0.299505813887264,0.3221368202726,0.30983172150817,0.0560068405429399,-0.348977143674769,-0.34738157219968,-0.34738157219968
"MIR340",0.239666091963159,0.239666091963159,0.239666091963159,0.239666091963159,0.237077856669042,0.237077856669042,0.237077856669042,0.208934590608748,0.198886860780184,0.179935153435335,0.0349578614141106,-0.240881760580899,-0.239666091963159,-0.239666091963159
"MIR1199",0.239666091963159,0.239666091963159,0.239666091963159,0.239666091963159,0.237077856669042,0.237077856669042,0.237077856669042,0.208934590608748,0.198886860780184,0.179935153435335,0.0349578614141106,-0.240881760580899,-0.239666091963159,-0.239666091963159
"CD44s",0.239666091963159,0.239666091963159,0.239666091963159,0.239666091963159,0.237077856669042,0.237077856669042,0.237077856669042,0.208934590608748,0.198886860780184,0.179935153435335,0.0349578614141106,-0.240881760580899,-0.239666091963159,-0.239666091963159
"CD24",0.239666091963159,0.239666091963159,0.239666091963159,0.239666091963159,0.237077856669042,0.237077856669042,0.237077856669042,0.208934590608748,0.198886860780184,0.179935153435335,0.0349578614141106,-0.240881760580899,-0.239666091963159,-0.239666091963159
"HAS2",0.237077856669042,0.237077856669042,0.237077856669042,0.237077856669042,0.132787427626137,0.232787427626137,0.232787427626137,0.206725908202046,0.19529711719044,0.178792731500834,0.0345581811583152,-0.239666091963159,-0.237077856669042,-0.237077856669042
"ESRP1",0.237077856669042,0.237077856669042,0.237077856669042,0.237077856669042,0.232787427626137,0.332787427626137,0.232787427626137,0.206725908202046,0.19529711719044,0.178792731500834,0.0345581811583152,-0.239666091963159,-0.237077856669042,-0.237077856669042
"MIR200",0.171889471304796,0.171889471304796,0.171889471304796,0.171889471304796,0.170492593737006,0.170492593737006,0.170492593737006,0.237823362098146,0.155726214109675,0.0507120665548023,-0.0430578853656602,-0.172483035815886,-0.171889471304796,-0.171889471304796
"SNAIL1",0.133885199055353,0.133885199055353,0.133885199055353,0.133885199055353,0.13324003776503,0.13324003776503,0.13324003776503,0.0169398537757311,0.16054337512462,0.123810981645765,-0.0918607118881513,-0.134154587967872,-0.133885199055353,-0.133885199055353
"MIR34",0.13324003776503,0.13324003776503,0.13324003776503,0.13324003776503,0.132423711234418,0.132423711234418,0.132423711234418,0.0163806512471632,0.15974783017633,0.123543536958189,0.00808870642242032,-0.133885199055353,-0.13324003776503,-0.13324003776503
"MIR190",-0.132423711234418,-0.132423711234418,-0.132423711234418,-0.132423711234418,-0.131061313414255,-0.131061313414255,-0.131061313414255,-0.0161198950542036,-0.0588985732761181,-0.12276126837931,-0.00849466041430124,0.13324003776503,0.132423711234418,0.132423711234418
"TGFB",-0.13324003776503,-0.13324003776503,-0.13324003776503,-0.13324003776503,-0.132423711234418,-0.132423711234418,-0.132423711234418,-0.0163806512471632,-0.15974783017633,-0.123543536958189,-0.00808870642242032,0.133885199055353,0.13324003776503,0.13324003776503
"ZEB1",-0.240881760580899,-0.240881760580899,-0.240881760580899,-0.240881760580899,-0.239666091963159,-0.239666091963159,-0.239666091963159,-0.209568231161743,-0.200597447927664,-0.18085681242151,-0.0348382441892302,0.141794926777147,0.240881760580899,0.240881760580899
"HA",-0.239666091963159,-0.239666091963159,-0.239666091963159,-0.239666091963159,-0.237077856669042,-0.237077856669042,-0.237077856669042,-0.208934590608748,-0.198886860780184,-0.179935153435335,-0.0349578614141106,0.240881760580899,0.239666091963159,0.239666091963159
