"","MIR34","MIR200","CD44s","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","ZEB1","TGFB","ESRP1","HA","SNAIL1"
"MIR200",0.193552877884152,0.193552877884152,0.0812150314904461,0.0812150314904461,0.0801468309974304,0.0801468309974304,0.0801468309974304,0.0801468309974304,0.0801468309974304,-0.0808028759833724,-0.205665965772934,-0.0801468309974304,-0.0812150314904461,-0.116928330471359
"HAS2",0.0830977605450413,0.0830977605450413,0.0587593052109181,0.0587593052109181,0.0544688761680138,0.0544688761680138,0.0544688761680138,0.0544688761680138,0.0544688761680138,-0.0570571114621315,-0.00451610391793861,-0.0544688761680138,-0.158759305210918,-0.0841821619787658
"ESRP1",0.0830977605450413,0.0830977605450413,-0.0412406947890819,0.0587593052109181,0.0544688761680138,0.0544688761680138,0.0544688761680138,0.0544688761680138,0.0544688761680138,-0.0570571114621315,-0.00451610391793861,-0.0544688761680138,-0.0587593052109181,-0.0841821619787658
"ZEB1",-0.0841056715098351,-0.0841056715098351,-0.0570571114621315,-0.0570571114621315,-0.0551210466264718,-0.0551210466264718,-0.0551210466264718,-0.0551210466264718,-0.0551210466264718,-0.0436005206987813,0.00404098033601891,0.0551210466264718,0.0570571114621315,0.0831177025415309
"TGFB",-0.0780449034980953,-0.0780449034980953,0.0265551476418603,0.0265551476418603,0.0200245353969623,0.0200245353969623,0.0200245353969623,0.0200245353969623,0.0200245353969623,-0.0243888617726739,0.0909695529886281,-0.0200245353969623,-0.0265551476418603,0.0679846736235336
"SNAIL1",-0.0725258176726638,-0.0725258176726638,0.0200245353969623,0.0200245353969623,0.0243888617726739,0.0243888617726739,0.0243888617726739,0.0243888617726739,0.0243888617726739,-0.0214255837349594,0.0934357423283258,-0.0243888617726739,-0.0200245353969623,-0.0268559940547669
"MIR190",-0.0698310834198685,-0.0698310834198685,0.0170183629007158,0.0170183629007158,0.0265551476418603,0.0265551476418603,0.0265551476418603,0.0265551476418603,0.0265551476418603,-0.0200245353969623,0.19457889481453,-0.0265551476418603,-0.0170183629007158,0.0755624814719774
"GRHL2",0.00126527271835208,0.00126527271835208,-0.0149774761337363,0.0850225238662637,-0.0119419167235021,-0.0119419167235021,-0.0119419167235021,-0.0119419167235021,-0.0119419167235021,0.0140584911292332,-0.00311777359060989,0.0119419167235021,0.0149774761337363,-0.064910077631745
"MIR34",0.0780449034980953,0.0780449034980953,-0.0265551476418603,-0.0265551476418603,-0.0200245353969623,-0.0200245353969623,-0.0200245353969623,-0.0200245353969623,-0.0200245353969623,0.0243888617726739,-0.0909695529886281,0.0200245353969623,0.0265551476418603,-0.0679846736235336
"MIR340",-0.0865250263485448,-0.0865250263485448,-0.0544688761680138,-0.0544688761680138,-0.0570571114621315,-0.0570571114621315,-0.0570571114621315,-0.0570571114621315,-0.0570571114621315,0.0551210466264718,0.00297764237947707,0.0570571114621315,0.0544688761680138,0.0809047838812438
"MIR1199",-0.0865250263485448,-0.0865250263485448,-0.0544688761680138,-0.0544688761680138,-0.0570571114621315,-0.0570571114621315,-0.0570571114621315,-0.0570571114621315,-0.0570571114621315,0.0551210466264718,0.00297764237947707,0.0570571114621315,0.0544688761680138,0.0809047838812438
"HA",-0.0865250263485448,-0.0865250263485448,-0.0544688761680138,-0.0544688761680138,-0.0570571114621315,-0.0570571114621315,-0.0570571114621315,-0.0570571114621315,-0.0570571114621315,0.0551210466264718,0.00297764237947707,0.0570571114621315,0.0544688761680138,0.0809047838812438
"CD44s",-0.0865250263485448,-0.0865250263485448,-0.0544688761680138,-0.0544688761680138,-0.0570571114621315,-0.0570571114621315,-0.0570571114621315,-0.0570571114621315,-0.0570571114621315,0.0551210466264718,0.00297764237947707,0.0570571114621315,0.0544688761680138,0.0809047838812438
"CD24",-0.0865250263485448,-0.0865250263485448,-0.0544688761680138,-0.0544688761680138,-0.0570571114621315,-0.0570571114621315,-0.0570571114621315,-0.0570571114621315,-0.0570571114621315,0.0551210466264718,0.00297764237947707,0.0570571114621315,0.0544688761680138,0.0809047838812438
