"","HA","CD24","MIR190","MIR1199","GRHL2","ESRP1","MIR200","SNAIL1","TGFB","ZEB1","MIR34","MIR340","HAS2","CD44s"
"ESRP1",0.137990074441687,0.137990074441687,0.152841559590202,0.152841559590202,0.152841559590202,0.152841559590202,0.111898788103006,0.0805345424582782,0.00562022723929287,-0.144370971354908,-0.130763381396012,-0.152841559590202,-0.152841559590202,-0.237990074441687
"MIR340",0.152841559590202,0.152841559590202,0.144370971354908,0.144370971354908,0.144370971354908,0.144370971354908,0.104815772109099,0.0815737111233462,0.00433817595724159,-0.141894609355809,-0.126879146818708,-0.144370971354908,-0.144370971354908,-0.152841559590202
"MIR1199",0.152841559590202,0.152841559590202,0.144370971354908,0.144370971354908,0.144370971354908,0.144370971354908,0.104815772109099,0.0815737111233462,0.00433817595724159,-0.141894609355809,-0.126879146818708,-0.144370971354908,-0.144370971354908,-0.152841559590202
"HA",0.152841559590202,0.152841559590202,0.144370971354908,0.144370971354908,0.144370971354908,0.144370971354908,0.104815772109099,0.0815737111233462,0.00433817595724159,-0.141894609355809,-0.126879146818708,-0.144370971354908,-0.144370971354908,-0.152841559590202
"CD24",0.152841559590202,0.152841559590202,0.144370971354908,0.144370971354908,0.144370971354908,0.144370971354908,0.104815772109099,0.0815737111233462,0.00433817595724159,-0.141894609355809,-0.126879146818708,-0.144370971354908,-0.144370971354908,-0.152841559590202
"MIR190",0.105670712729536,0.105670712729536,0.108667987933896,0.108667987933896,0.108667987933896,0.108667987933896,-0.0429630131282576,0.096576671740269,0.199394087915804,-0.112137375688998,-0.153916133660411,-0.108667987933896,-0.108667987933896,-0.105670712729536
"TGFB",0.108667987933896,0.108667987933896,0.112137375688998,0.112137375688998,0.112137375688998,0.112137375688998,-0.0406162073916214,0.0976592157186182,0.0989694594656979,-0.109822385176664,-0.156002183204088,-0.112137375688998,-0.112137375688998,-0.108667987933896
"SNAIL1",0.112137375688998,0.112137375688998,0.109822385176664,0.109822385176664,0.109822385176664,0.109822385176664,-0.0424883202046532,-0.00203729414481127,0.098889904970869,-0.109524639536511,-0.154908091300368,-0.109822385176664,-0.109822385176664,-0.112137375688998
"GRHL2",-0.0155721450037612,0.0844278549962389,-0.00542470354669263,-0.00542470354669263,-0.00542470354669263,-0.00542470354669263,0.011605647046409,-0.0664461318517067,-0.00343710802325974,0.00597826916049921,0.00631935790309621,0.00542470354669263,0.00542470354669263,0.0155721450037612
"ZEB1",-0.144370971354908,-0.144370971354908,-0.141894609355809,-0.141894609355809,-0.141894609355809,-0.141894609355809,-0.102857246763476,-0.0793607924630591,-0.00530904974364936,0.0470913551635456,0.125669469399353,0.141894609355809,0.141894609355809,0.144370971354908
"MIR34",-0.108667987933896,-0.108667987933896,-0.112137375688998,-0.112137375688998,-0.112137375688998,-0.112137375688998,0.0406162073916214,-0.0976592157186182,-0.0989694594656979,0.109822385176664,0.156002183204088,0.112137375688998,0.112137375688998,0.108667987933896
"CD44s",-0.152841559590202,-0.152841559590202,-0.144370971354908,-0.144370971354908,-0.144370971354908,-0.144370971354908,-0.104815772109099,-0.0815737111233462,-0.00433817595724159,0.141894609355809,0.126879146818708,0.144370971354908,0.144370971354908,0.152841559590202
"HAS2",-0.237990074441687,-0.137990074441687,-0.152841559590202,-0.152841559590202,-0.152841559590202,-0.152841559590202,-0.111898788103006,-0.0805345424582782,-0.00562022723929287,0.144370971354908,0.130763381396012,0.152841559590202,0.152841559590202,0.137990074441687
"MIR200",-0.152527803527083,-0.152527803527083,-0.147515478136779,-0.147515478136779,-0.147515478136779,-0.147515478136779,-0.0111545263700605,-0.127705732096035,-0.207446892847041,0.146859433150837,0.235933305044072,0.147515478136779,0.147515478136779,0.152527803527083
