"","HA","CD24","MIR34","MIR340","MIR190","MIR1199","ZEB1","TGFB","SNAIL1","HAS2","GRHL2","ESRP1","MIR200","CD44s"
"MIR200",0.0521416326203637,0.0521416326203637,-0.0045646016846652,0.0855845249786217,0.0855845249786217,0.0855845249786217,-0.0768684987368223,0.19420027040935,-0.0771422608107908,-0.0855845249786217,-0.0855845249786217,-0.0855845249786217,0.0045646016846652,-0.0521416326203637
"ESRP1",0.0213068651778329,0.0213068651778329,0.0380504746209519,0.0255972942207372,0.0255972942207372,0.0255972942207372,-0.068891411867796,0.00439237275344709,-0.0364947848507095,-0.0255972942207372,-0.0255972942207372,-0.0255972942207372,-0.0380504746209519,0.0786931348221671
"HA",0.0255972942207372,0.0255972942207372,0.0710283877968848,0.068891411867796,0.068891411867796,0.068891411867796,-0.0646140593238969,0.00105903942011375,-0.0460071749386391,-0.068891411867796,-0.068891411867796,-0.068891411867796,-0.0710283877968848,-0.0255972942207372
"CD44s",0.0255972942207372,0.0255972942207372,0.0710283877968848,0.068891411867796,0.068891411867796,0.068891411867796,-0.0646140593238969,0.00105903942011375,-0.0460071749386391,-0.068891411867796,-0.068891411867796,-0.068891411867796,-0.0710283877968848,-0.0255972942207372
"CD24",0.0255972942207372,0.0255972942207372,0.0710283877968848,0.068891411867796,0.068891411867796,0.068891411867796,-0.0646140593238969,0.00105903942011375,-0.0460071749386391,-0.068891411867796,-0.068891411867796,-0.068891411867796,-0.0710283877968848,-0.0255972942207372
"ZEB1",-0.068891411867796,-0.068891411867796,-0.0648647933268388,-0.0646140593238969,-0.0646140593238969,-0.0646140593238969,-0.0626647054112849,0.00194604610924362,0.0546196151300267,0.0646140593238969,0.0646140593238969,0.0646140593238969,0.0648647933268388,0.068891411867796
"SNAIL1",0.00812390835837817,0.00812390835837817,0.0681570138836169,0.0145375705974674,0.0145375705974674,0.0145375705974674,-0.00241506953409007,-0.0724410849727535,-0.0846308845917027,-0.0145375705974674,-0.0145375705974674,-0.0145375705974674,-0.0681570138836169,-0.00812390835837817
"MIR190",2.48988484282564e-05,2.48988484282564e-05,-0.049165239464034,0.0106516018457035,0.0106516018457035,0.0106516018457035,0.00812390835837817,0.170293113612372,-0.0224899084525278,-0.0106516018457035,-0.0106516018457035,-0.0106516018457035,0.049165239464034,-2.48988484282564e-05
"TGFB",0.0106516018457035,0.0106516018457035,-0.0646802329451292,-0.00812390835837817,-0.00812390835837817,-0.00812390835837817,0.0145375705974674,0.0702931136123716,-0.0207307744877105,0.00812390835837817,0.00812390835837817,0.00812390835837817,0.0646802329451292,-0.0106516018457035
"MIR34",0.0106516018457035,0.0106516018457035,-0.0646802329451292,-0.00812390835837817,-0.00812390835837817,-0.00812390835837817,0.0145375705974674,0.0702931136123716,-0.0207307744877105,0.00812390835837817,0.00812390835837817,0.00812390835837817,0.0646802329451292,-0.0106516018457035
"GRHL2",-0.0346483978045318,-0.134648397804532,-0.015375030972931,-0.00385915235787095,-0.00385915235787095,-0.00385915235787095,0.0189356746633089,0.0011141886055276,-0.0516351957952361,0.00385915235787095,0.00385915235787095,0.00385915235787095,0.015375030972931,0.0346483978045318
"MIR340",-0.0255972942207372,-0.0255972942207372,-0.0710283877968848,-0.068891411867796,-0.068891411867796,-0.068891411867796,0.0646140593238969,-0.00105903942011375,0.0460071749386391,0.068891411867796,0.068891411867796,0.068891411867796,0.0710283877968848,0.0255972942207372
"MIR1199",-0.0255972942207372,-0.0255972942207372,-0.0710283877968848,-0.068891411867796,-0.068891411867796,-0.068891411867796,0.0646140593238969,-0.00105903942011375,0.0460071749386391,0.068891411867796,0.068891411867796,0.068891411867796,0.0710283877968848,0.0255972942207372
"HAS2",-0.121306865177833,-0.0213068651778329,-0.0380504746209519,-0.0255972942207372,-0.0255972942207372,-0.0255972942207372,0.068891411867796,-0.00439237275344709,0.0364947848507095,0.0255972942207372,0.0255972942207372,0.0255972942207372,0.0380504746209519,0.0213068651778329
