"","MIR190","ESRP1","HA","CD44s","SNAIL1","MIR200","TGFB","ZEB1","MIR34","CD24","MIR340","MIR1199","HAS2","GRHL2"
"HA",0.354478384548424,0.354478384548424,0.34200779631313,0.34200779631313,0.219013680096364,0.203605890134939,-0.254643926938707,-0.362267668654683,-0.32671432965155,-0.34200779631313,-0.354478384548424,-0.354478384548424,-0.354478384548424,-0.354478384548424
"CD44s",0.354478384548424,0.354478384548424,0.34200779631313,0.34200779631313,0.219013680096364,0.203605890134939,-0.254643926938707,-0.362267668654683,-0.32671432965155,-0.34200779631313,-0.354478384548424,-0.354478384548424,-0.354478384548424,-0.354478384548424
"ESRP1",0.34200779631313,0.34200779631313,0.327816377171216,0.427816377171216,0.213498092566388,0.198198426311634,-0.246182388477168,-0.354478384548424,-0.315975563467239,-0.327816377171216,-0.34200779631313,-0.34200779631313,-0.34200779631313,-0.34200779631313
"MIR200",0.282527195060173,0.282527195060173,0.270448312562227,0.270448312562227,0.207440627024155,0.0765293842994238,-0.207127809045738,-0.286432224738399,-0.361770418702354,-0.270448312562227,-0.282527195060173,-0.282527195060173,-0.282527195060173,-0.282527195060173
"GRHL2",0.109079195839613,0.109079195839613,0.103615188901192,0.103615188901192,0.13256401845884,0.0482870102054729,-0.0700461165497441,-0.111260895611675,-0.109184145015201,-0.003615188901192,-0.109079195839613,-0.109079195839613,-0.109079195839613,-0.109079195839613
"SNAIL1",0.0664913670682497,0.0664913670682497,0.060229507485707,0.060229507485707,-0.0188886734141065,-0.0494541451866445,0.0502673857402958,-0.0638400130345051,-0.128762772803263,-0.060229507485707,-0.0664913670682497,-0.0664913670682497,-0.0664913670682497,-0.0664913670682497
"MIR190",0.0651274666693804,0.0651274666693804,0.0539558045440398,0.0539558045440398,0.082673814821715,-0.0480215710766977,-0.0441536652911257,-0.060229507485707,-0.125565006697067,-0.0539558045440398,-0.0651274666693804,-0.0651274666693804,-0.0651274666693804,-0.0651274666693804
"TGFB",-0.060229507485707,-0.060229507485707,-0.0651274666693804,-0.0651274666693804,-0.0738781449976284,0.056626525444364,-0.0431074812056896,0.0664913670682497,0.127911812433703,0.0651274666693804,0.060229507485707,0.060229507485707,0.060229507485707,0.060229507485707
"MIR34",-0.060229507485707,-0.060229507485707,-0.0651274666693804,-0.0651274666693804,-0.0738781449976284,0.056626525444364,-0.0431074812056896,0.0664913670682497,0.127911812433703,0.0651274666693804,0.060229507485707,0.060229507485707,0.060229507485707,0.060229507485707
"ZEB1",-0.362267668654683,-0.362267668654683,-0.354478384548424,-0.354478384548424,-0.223140474354737,-0.206601281840008,0.262827005995572,0.268493801810917,0.333684375734499,0.354478384548424,0.362267668654683,0.362267668654683,0.362267668654683,0.362267668654683
"HAS2",-0.34200779631313,-0.34200779631313,-0.427816377171216,-0.327816377171216,-0.213498092566388,-0.198198426311634,0.246182388477168,0.354478384548424,0.315975563467239,0.327816377171216,0.34200779631313,0.34200779631313,0.34200779631313,0.34200779631313
"MIR340",-0.354478384548424,-0.354478384548424,-0.34200779631313,-0.34200779631313,-0.219013680096364,-0.203605890134939,0.254643926938707,0.362267668654683,0.32671432965155,0.34200779631313,0.354478384548424,0.354478384548424,0.354478384548424,0.354478384548424
"MIR1199",-0.354478384548424,-0.354478384548424,-0.34200779631313,-0.34200779631313,-0.219013680096364,-0.203605890134939,0.254643926938707,0.362267668654683,0.32671432965155,0.34200779631313,0.354478384548424,0.354478384548424,0.354478384548424,0.354478384548424
"CD24",-0.354478384548424,-0.354478384548424,-0.34200779631313,-0.34200779631313,-0.219013680096364,-0.203605890134939,0.254643926938707,0.362267668654683,0.32671432965155,0.34200779631313,0.354478384548424,0.354478384548424,0.354478384548424,0.354478384548424
