"","MIR190","MIR1199","HAS2","ESRP1","CD44s","SNAIL1","MIR200","TGFB","ZEB1","HA","CD24","MIR340","GRHL2","MIR34"
"MIR1199",0.367264949878435,0.367264949878435,0.367264949878435,0.367264949878435,0.337147302819612,0.326520612022229,0.200186020346129,0.0508557887586637,-0.369831361404775,-0.337147302819612,-0.337147302819612,-0.367264949878435,-0.367264949878435,-0.388491748578451
"HA",0.367264949878435,0.367264949878435,0.367264949878435,0.367264949878435,0.337147302819612,0.326520612022229,0.200186020346129,0.0508557887586637,-0.369831361404775,-0.337147302819612,-0.337147302819612,-0.367264949878435,-0.367264949878435,-0.388491748578451
"CD44s",0.367264949878435,0.367264949878435,0.367264949878435,0.367264949878435,0.337147302819612,0.326520612022229,0.200186020346129,0.0508557887586637,-0.369831361404775,-0.337147302819612,-0.337147302819612,-0.367264949878435,-0.367264949878435,-0.388491748578451
"CD24",0.367264949878435,0.367264949878435,0.367264949878435,0.367264949878435,0.337147302819612,0.326520612022229,0.200186020346129,0.0508557887586637,-0.369831361404775,-0.337147302819612,-0.337147302819612,-0.367264949878435,-0.367264949878435,-0.388491748578451
"ESRP1",0.337147302819612,0.337147302819612,0.337147302819612,0.337147302819612,0.434177005789909,0.316688477729663,0.189294931237218,0.0472660451689201,-0.367264949878435,-0.334177005789909,-0.334177005789909,-0.337147302819612,-0.337147302819612,-0.360388168989723
"MIR200",0.358406417961436,0.358406417961436,0.358406417961436,0.358406417961436,0.33038669733695,0.443742709704494,0.0596841871044112,0.0662197568582674,-0.360499513868965,-0.33038669733695,-0.33038669733695,-0.358406417961436,-0.358406417961436,-0.492773566569757
"SNAIL1",0.25046813033418,0.25046813033418,0.25046813033418,0.25046813033418,0.237526953863592,0.380512031002755,-0.126945889357443,0.207142153896739,-0.251418080709907,-0.237526953863592,-0.237526953863592,-0.25046813033418,-0.25046813033418,-0.410516222967694
"GRHL2",-0.138435058950051,-0.138435058950051,-0.138435058950051,-0.138435058950051,-0.117012682540684,-0.183941647047145,-0.0590282660015715,-0.0247620921734237,0.131955085000197,0.117012682540684,0.217012682540684,0.138435058950051,0.138435058950051,0.154198106096188
"MIR190",-0.236506545700327,-0.236506545700327,-0.236506545700327,-0.236506545700327,-0.213345782757547,-0.466080164675307,0.12958540390587,-0.101517093724151,0.237526953863592,0.213345782757547,0.213345782757547,0.236506545700327,0.236506545700327,0.395270385921612
"TGFB",-0.237526953863592,-0.237526953863592,-0.237526953863592,-0.237526953863592,-0.236506545700327,-0.476364332469624,0.131541075353067,-0.20555106400016,0.25046813033418,0.236506545700327,0.236506545700327,0.237526953863592,0.237526953863592,0.398529838333606
"MIR34",-0.237526953863592,-0.237526953863592,-0.237526953863592,-0.237526953863592,-0.236506545700327,-0.476364332469624,0.131541075353067,-0.20555106400016,0.25046813033418,0.236506545700327,0.236506545700327,0.237526953863592,0.237526953863592,0.398529838333606
"ZEB1",-0.369831361404775,-0.369831361404775,-0.369831361404775,-0.369831361404775,-0.367264949878435,-0.340396210108354,-0.198285098687142,-0.0560800143712389,0.286849458698482,0.367264949878435,0.367264949878435,0.369831361404775,0.369831361404775,0.393676080375686
"HAS2",-0.337147302819612,-0.337147302819612,-0.337147302819612,-0.337147302819612,-0.334177005789909,-0.316688477729663,-0.189294931237218,-0.0472660451689201,0.367264949878435,0.234177005789909,0.334177005789909,0.337147302819612,0.337147302819612,0.360388168989723
"MIR340",-0.367264949878435,-0.367264949878435,-0.367264949878435,-0.367264949878435,-0.337147302819612,-0.326520612022229,-0.200186020346129,-0.0508557887586637,0.369831361404775,0.337147302819612,0.337147302819612,0.367264949878435,0.367264949878435,0.388491748578451
