"","MIR190","MIR1199","HAS2","ESRP1","CD24","TGFB","MIR34","ZEB1","MIR200","HA","CD44s","MIR340","GRHL2","SNAIL1"
"MIR340",0.148966792928016,0.148966792928016,0.148966792928016,0.148966792928016,0.148025616457427,0.0938063173087762,0.0601749283732998,-0.149462065327836,-0.0601749283732998,-0.148025616457427,-0.148025616457427,-0.148966792928016,-0.148966792928016,-0.219038453179195
"MIR1199",0.148966792928016,0.148966792928016,0.148966792928016,0.148966792928016,0.148025616457427,0.0938063173087762,0.0601749283732998,-0.149462065327836,-0.0601749283732998,-0.148025616457427,-0.148025616457427,-0.148966792928016,-0.148966792928016,-0.219038453179195
"CD24",0.148966792928016,0.148966792928016,0.148966792928016,0.148966792928016,0.148025616457427,0.0938063173087762,0.0601749283732998,-0.149462065327836,-0.0601749283732998,-0.148025616457427,-0.148025616457427,-0.148966792928016,-0.148966792928016,-0.219038453179195
"HAS2",0.148025616457427,0.148025616457427,0.148025616457427,0.148025616457427,0.149015715467328,0.0935499070523659,0.0599464439863996,-0.148966792928016,-0.0599464439863996,-0.249015715467328,-0.149015715467328,-0.148025616457427,-0.148025616457427,-0.216720307695581
"ESRP1",0.148025616457427,0.148025616457427,0.148025616457427,0.148025616457427,0.149015715467328,0.0935499070523659,0.0599464439863996,-0.148966792928016,-0.0599464439863996,-0.149015715467328,-0.249015715467328,-0.148025616457427,-0.148025616457427,-0.216720307695581
"MIR200",0.147938346144888,0.147938346144888,0.147938346144888,0.147938346144888,0.146377130039711,0.10709897394117,0.186028881540902,-0.148344469231423,-0.186028881540902,-0.146377130039711,-0.146377130039711,-0.147938346144888,-0.147938346144888,-0.00570751755603229
"SNAIL1",0.0838119810149993,0.0838119810149993,0.0838119810149993,0.0838119810149993,0.0837740303508627,0.163609165099126,0.151302607140812,-0.083684375740648,-0.151302607140812,-0.0837740303508627,-0.0837740303508627,-0.0838119810149993,-0.0838119810149993,0.00379139187198724
"ZEB1",-0.149462065327836,-0.149462065327836,-0.149462065327836,-0.149462065327836,-0.148966792928016,-0.0943148702445136,-0.0596564951935763,0.0489141656100869,0.0596564951935763,0.148966792928016,0.148966792928016,0.149462065327836,0.149462065327836,0.220055199590678
"MIR190",-0.0835699487182097,-0.0835699487182097,-0.0835699487182097,-0.0835699487182097,-0.08057267351385,-0.0582754669298931,-0.150558028704582,0.0837740303508627,0.150558028704582,0.08057267351385,0.08057267351385,0.0835699487182097,0.0835699487182097,-0.107590220484933
"TGFB",-0.0837740303508627,-0.0837740303508627,-0.0837740303508627,-0.0837740303508627,-0.0835699487182097,-0.162734065656008,-0.15186180966938,0.0838119810149993,0.15186180966938,0.0835699487182097,0.0835699487182097,0.0837740303508627,0.0837740303508627,-0.10596640451741
"MIR34",-0.0837740303508627,-0.0837740303508627,-0.0837740303508627,-0.0837740303508627,-0.0835699487182097,-0.162734065656008,-0.15186180966938,0.0838119810149993,0.15186180966938,0.0835699487182097,0.0835699487182097,0.0837740303508627,0.0837740303508627,-0.10596640451741
"HA",-0.148966792928016,-0.148966792928016,-0.148966792928016,-0.148966792928016,-0.148025616457427,-0.0938063173087762,-0.0601749283732998,0.149462065327836,0.0601749283732998,0.148025616457427,0.148025616457427,0.148966792928016,0.148966792928016,0.219038453179195
"CD44s",-0.148966792928016,-0.148966792928016,-0.148966792928016,-0.148966792928016,-0.148025616457427,-0.0938063173087762,-0.0601749283732998,0.149462065327836,0.0601749283732998,0.148025616457427,0.148025616457427,0.148966792928016,0.148966792928016,0.219038453179195
"GRHL2",-0.230431168670074,-0.230431168670074,-0.230431168670074,-0.230431168670074,-0.329997517325754,-0.184757231310448,-0.153407481679434,0.23104985965021,0.153407481679434,0.229997517325754,0.229997517325754,0.230431168670074,0.230431168670074,0.245127625711682
