"","MIR34","CD24","MIR190","HAS2","GRHL2","ESRP1","MIR200","SNAIL1","ZEB1","MIR340","MIR1199","TGFB","HA","CD44s"
"SNAIL1",0.380155237733043,0.136627764033255,0.13803193860631,0.13803193860631,0.13803193860631,0.13803193860631,-0.234128388176738,0.480971232934622,-0.138783391888601,-0.13803193860631,-0.13803193860631,0.136894653966988,-0.136627764033255,-0.136627764033255
"TGFB",0.375657304351083,0.13499511097203,0.136627764033255,0.136627764033255,0.136627764033255,0.136627764033255,-0.231429628147562,0.574041541482928,-0.13803193860631,-0.136627764033255,-0.136627764033255,0.134746682606607,-0.13499511097203,-0.13499511097203
"MIR34",0.375657304351083,0.13499511097203,0.136627764033255,0.136627764033255,0.136627764033255,0.136627764033255,-0.231429628147562,0.574041541482928,-0.13803193860631,-0.136627764033255,-0.136627764033255,0.134746682606607,-0.13499511097203,-0.13499511097203
"MIR340",0.098840257152034,0.0922340695608022,0.0927046577960964,0.0927046577960964,0.0927046577960964,0.0927046577960964,0.0902386362235155,0.062006558772176,-0.0924795339779964,-0.0927046577960964,-0.0927046577960964,-0.09205905867245,-0.0922340695608022,-0.0922340695608022
"HA",0.098840257152034,0.0922340695608022,0.0927046577960964,0.0927046577960964,0.0927046577960964,0.0927046577960964,0.0902386362235155,0.062006558772176,-0.0924795339779964,-0.0927046577960964,-0.0927046577960964,-0.09205905867245,-0.0922340695608022,-0.0922340695608022
"CD44s",0.098840257152034,0.0922340695608022,0.0927046577960964,0.0927046577960964,0.0927046577960964,0.0927046577960964,0.0902386362235155,0.062006558772176,-0.0924795339779964,-0.0927046577960964,-0.0927046577960964,-0.09205905867245,-0.0922340695608022,-0.0922340695608022
"CD24",0.098840257152034,0.0922340695608022,0.0927046577960964,0.0927046577960964,0.0927046577960964,0.0927046577960964,0.0902386362235155,0.062006558772176,-0.0924795339779964,-0.0927046577960964,-0.0927046577960964,-0.09205905867245,-0.0922340695608022,-0.0922340695608022
"MIR200",-0.0829362980830377,0.0647365903342832,0.0643257439908157,0.0643257439908157,0.0643257439908157,0.0643257439908157,0.233622917398904,-0.254246643703877,-0.0636696990048738,-0.0643257439908157,-0.0643257439908157,-0.306160543739561,-0.0647365903342832,-0.0647365903342832
"ZEB1",-0.0985522387188542,-0.0927046577960964,-0.0924795339779964,-0.0924795339779964,-0.0924795339779964,-0.0924795339779964,-0.0902386362235155,-0.062006558772176,-0.00753706904375356,0.0924795339779964,0.0924795339779964,0.0925676116081874,0.0927046577960964,0.0927046577960964
"GRHL2",-0.00277530341144799,0.104096276540608,0.00366262519628836,0.00366262519628836,0.00366262519628836,0.00366262519628836,0.00815301384801284,-0.05685072239948,-0.0039556893447742,-0.00366262519628836,-0.00366262519628836,-0.00598516983059231,-0.00409627654060753,-0.00409627654060753
"MIR1199",-0.098840257152034,-0.0922340695608022,-0.0927046577960964,-0.0927046577960964,-0.0927046577960964,-0.0927046577960964,-0.0902386362235155,-0.062006558772176,0.0924795339779964,0.0927046577960964,0.0927046577960964,0.09205905867245,0.0922340695608022,0.0922340695608022
"HAS2",-0.0987640956897339,-0.0925641025641026,-0.0922340695608022,-0.0922340695608022,-0.0922340695608022,-0.0922340695608022,-0.089705505987415,-0.0624062390279714,0.0927046577960964,0.0922340695608022,0.0922340695608022,0.0925718791852705,-0.00743589743589744,0.0925641025641026
"ESRP1",-0.0987640956897339,-0.0925641025641026,-0.0922340695608022,-0.0922340695608022,-0.0922340695608022,-0.0922340695608022,-0.089705505987415,-0.0624062390279714,0.0927046577960964,0.0922340695608022,0.0922340695608022,0.0925718791852705,0.0925641025641026,-0.00743589743589744
"MIR190",-0.369008021430614,-0.132542794895736,-0.13499511097203,-0.13499511097203,-0.13499511097203,-0.13499511097203,0.22686639477077,-0.564028009683199,0.136627764033255,0.13499511097203,0.13499511097203,-0.23219891190597,0.132542794895736,0.132542794895736
