"","SNAIL1","MIR190","MIR1199","GRHL2","ESRP1","HA","MIR200","TGFB","ZEB1","CD44s","CD24","MIR340","HAS2","MIR34"
"SNAIL1",0.511276640702515,0.356786321806564,0.356786321806564,0.356786321806564,0.356786321806564,0.348095619719277,-0.11784303384153,-0.0125537339606873,-0.36343597443665,-0.348095619719277,-0.348095619719277,-0.356786321806564,-0.356786321806564,-0.510043649986314
"MIR190",0.578051657591597,0.336667048290706,0.336667048290706,0.336667048290706,0.336667048290706,0.321680672268908,-0.115087152166388,-0.104382423237045,-0.348095619719277,-0.321680672268908,-0.321680672268908,-0.336667048290706,-0.336667048290706,-0.481549997240909
"MIR1199",0.358684325773483,0.215868821154484,0.215868821154484,0.215868821154484,0.215868821154484,0.208809997625073,0.0600651018011267,-0.118552974566782,-0.221406867079743,-0.208809997625073,-0.208809997625073,-0.215868821154484,-0.215868821154484,-0.284143372783937
"HA",0.358684325773483,0.215868821154484,0.215868821154484,0.215868821154484,0.215868821154484,0.208809997625073,0.0600651018011267,-0.118552974566782,-0.221406867079743,-0.208809997625073,-0.208809997625073,-0.215868821154484,-0.215868821154484,-0.284143372783937
"CD44s",0.358684325773483,0.215868821154484,0.215868821154484,0.215868821154484,0.215868821154484,0.208809997625073,0.0600651018011267,-0.118552974566782,-0.221406867079743,-0.208809997625073,-0.208809997625073,-0.215868821154484,-0.215868821154484,-0.284143372783937
"GRHL2",-0.200195163896686,-0.0489140765204923,-0.0489140765204923,-0.0489140765204923,-0.0489140765204923,-0.0462254381857134,0.0199793634110387,0.00752587105051801,0.0509655255598931,0.0462254381857134,-0.0537745618142865,0.0489140765204923,0.0489140765204923,0.0849164342063447
"MIR200",0.0682832120568457,-0.0868969855880783,-0.0868969855880783,-0.0868969855880783,-0.0868969855880783,-0.0864861392446108,-0.177447995436902,0.0805911586324905,0.0872406281997622,0.0864861392446108,0.0864861392446108,0.0868969855880783,0.0868969855880783,0.00298591450090169
"ZEB1",-0.367775234864392,-0.221406867079743,-0.221406867079743,-0.221406867079743,-0.221406867079743,-0.215868821154484,-0.0593162538748594,0.120725882564933,0.125574225538983,0.215868821154484,0.215868821154484,0.221406867079743,0.221406867079743,0.291977474166426
"HAS2",-0.346773854150781,-0.208809997625073,-0.208809997625073,-0.208809997625073,-0.208809997625073,-0.299239040529363,-0.0610552008110277,0.115732461746269,0.215868821154484,0.199239040529363,0.199239040529363,0.208809997625073,0.208809997625073,0.274013898298027
"ESRP1",-0.346773854150781,-0.208809997625073,-0.208809997625073,-0.208809997625073,-0.208809997625073,-0.199239040529363,-0.0610552008110277,0.115732461746269,0.215868821154484,0.0992390405293631,0.199239040529363,0.208809997625073,0.208809997625073,0.274013898298027
"MIR340",-0.358684325773483,-0.215868821154484,-0.215868821154484,-0.215868821154484,-0.215868821154484,-0.208809997625073,-0.0600651018011267,0.118552974566782,0.221406867079743,0.208809997625073,0.208809997625073,0.215868821154484,0.215868821154484,0.284143372783937
"CD24",-0.358684325773483,-0.215868821154484,-0.215868821154484,-0.215868821154484,-0.215868821154484,-0.208809997625073,-0.0600651018011267,0.118552974566782,0.221406867079743,0.208809997625073,0.208809997625073,0.215868821154484,0.215868821154484,0.284143372783937
"TGFB",-0.596860859215413,-0.348095619719277,-0.348095619719277,-0.348095619719277,-0.348095619719277,-0.336667048290706,0.116651689324146,0.00905333618821318,0.356786321806564,0.336667048290706,0.336667048290706,0.348095619719277,0.348095619719277,0.497716881204403
"MIR34",-0.596860859215413,-0.348095619719277,-0.348095619719277,-0.348095619719277,-0.348095619719277,-0.336667048290706,0.116651689324146,0.00905333618821318,0.356786321806564,0.336667048290706,0.336667048290706,0.348095619719277,0.348095619719277,0.497716881204403
