"","SNAIL1","MIR200","MIR340","MIR1199","HAS2","GRHL2","ESRP1","HA","ZEB1","CD44s","CD24","MIR190","TGFB","MIR34"
"SNAIL1",0.812370115962826,0.706467853776276,0.510503523355178,0.510503523355178,0.510503523355178,0.510503523355178,0.510503523355178,0.483596502482313,-0.533486651102236,-0.483596502482313,-0.483596502482313,-0.510503523355178,-0.636718400014239,-0.706467853776276
"MIR200",0.664034400348815,0.554478389932854,0.355261387398275,0.355261387398275,0.355261387398275,0.355261387398275,0.355261387398275,0.330364098984142,-0.37428669199059,-0.330364098984142,-0.330364098984142,-0.355261387398275,-0.586778971243502,-0.554478389932854
"MIR340",0.493304110395625,0.374043539649302,0.273812659181551,0.273812659181551,0.273812659181551,0.273812659181551,0.273812659181551,0.253812659181551,-0.287725311140128,-0.253812659181551,-0.253812659181551,-0.273812659181551,-0.311795670178969,-0.374043539649302
"MIR1199",0.493304110395625,0.374043539649302,0.273812659181551,0.273812659181551,0.273812659181551,0.273812659181551,0.273812659181551,0.253812659181551,-0.287725311140128,-0.253812659181551,-0.253812659181551,-0.273812659181551,-0.311795670178969,-0.374043539649302
"CD44s",0.493304110395625,0.374043539649302,0.273812659181551,0.273812659181551,0.273812659181551,0.273812659181551,0.273812659181551,0.253812659181551,-0.287725311140128,-0.253812659181551,-0.253812659181551,-0.273812659181551,-0.311795670178969,-0.374043539649302
"GRHL2",-0.26817229188037,-0.138211126142485,-0.0882636116788979,-0.0882636116788979,-0.0882636116788979,-0.0882636116788979,-0.0882636116788979,-0.0779427096841017,0.0927898246388458,0.0779427096841017,-0.0220572903158983,0.0882636116788979,0.106609860755707,0.138211126142485
"ZEB1",-0.520576837668352,-0.394377641031791,-0.287725311140128,-0.287725311140128,-0.287725311140128,-0.287725311140128,-0.287725311140128,-0.273812659181551,0.201920894736343,0.273812659181551,0.273812659181551,0.287725311140128,0.33532780147809,0.394377641031791
"HAS2",-0.461569498085473,-0.348224803929576,-0.253812659181551,-0.253812659181551,-0.253812659181551,-0.253812659181551,-0.253812659181551,-0.136980976013234,0.273812659181551,0.236980976013234,0.236980976013234,0.253812659181551,0.289231567614866,0.348224803929576
"ESRP1",-0.461569498085473,-0.348224803929576,-0.253812659181551,-0.253812659181551,-0.253812659181551,-0.253812659181551,-0.253812659181551,-0.236980976013234,0.273812659181551,0.136980976013234,0.236980976013234,0.253812659181551,0.289231567614866,0.348224803929576
"HA",-0.493304110395625,-0.374043539649302,-0.273812659181551,-0.273812659181551,-0.273812659181551,-0.273812659181551,-0.273812659181551,-0.253812659181551,0.287725311140128,0.253812659181551,0.253812659181551,0.273812659181551,0.311795670178969,0.374043539649302
"CD24",-0.493304110395625,-0.374043539649302,-0.273812659181551,-0.273812659181551,-0.273812659181551,-0.273812659181551,-0.273812659181551,-0.253812659181551,0.287725311140128,0.253812659181551,0.253812659181551,0.273812659181551,0.311795670178969,0.374043539649302
"MIR190",-0.81054308343791,-0.627390923091587,-0.452984257584354,-0.452984257584354,-0.452984257584354,-0.452984257584354,-0.452984257584354,-0.416744475568005,0.483596502482313,0.416744475568005,0.416744475568005,0.452984257584354,0.654848210654273,0.627390923091587
"TGFB",-0.865076236347247,-0.669633426351039,-0.483596502482313,-0.483596502482313,-0.483596502482313,-0.483596502482313,-0.483596502482313,-0.452984257584354,0.510503523355178,0.452984257584354,0.452984257584354,0.483596502482313,0.599009569465313,0.669633426351039
"MIR34",-0.865076236347247,-0.669633426351039,-0.483596502482313,-0.483596502482313,-0.483596502482313,-0.483596502482313,-0.483596502482313,-0.452984257584354,0.510503523355178,0.452984257584354,0.452984257584354,0.483596502482313,0.599009569465313,0.669633426351039
