"Nature","Strength","Type","Node"
"P",0.0289838920381878,"DA","TWIST1,TWIST1"
"P",0.156069304691067,"DA","TWIST1,MIR129"
"P",0.219811986039285,"TS","TWIST1,ZEB1"
"N",0.184213867216204,"NF","TWIST1,MIR200"
"N",0.0957097258220982,"NF","TWIST1,SNAIL1"
"N",0.0934101008897862,"NF","TWIST1,TGFB"
"P",0.158100732628715,"TS","TWIST1,MIR34"
"P",0.230174385187308,"TS","TWIST1,MIR190"
"N",0.22081818093478,"NF","TWIST1,HAS2"
"N",0.22081818093478,"NF","TWIST1,ESRP1"
"N",0.219083021117428,"NF","TWIST1,MIR340"
"N",0.219083021117428,"NF","TWIST1,MIR1199"
"N",0.219508979523843,"NF","TWIST1,HA"
"N",0.219508979523843,"NF","TWIST1,CD44s"
"N",0.219508979523843,"NF","TWIST1,CD24"
"P",0.207497325269213,"DA","TWIST1,GRHL2"
"P",0.083207387977645,"DA","MIR129,MIR129"
"P",0.217306766832604,"TS","MIR129,ZEB1"
"N",0.183813497644291,"NF","MIR129,MIR200"
"N",0.0949824031927583,"NF","MIR129,SNAIL1"
"N",0.0935509856460556,"NF","MIR129,TGFB"
"P",0.157700363056802,"TS","MIR129,MIR34"
"P",0.230600343593723,"TS","MIR129,MIR190"
"N",0.221244139341195,"NF","MIR129,HAS2"
"N",0.221244139341195,"NF","MIR129,ESRP1"
"N",0.219508979523843,"NF","MIR129,MIR340"
"N",0.219508979523843,"NF","MIR129,MIR1199"
"N",0.226066356573023,"NF","MIR129,HA"
"N",0.226066356573023,"NF","MIR129,CD44s"
"N",0.226066356573023,"NF","MIR129,CD24"
"P",0.207923283675628,"DA","MIR129,GRHL2"
"P",0.191786793319708,"TS","ZEB1,ZEB1"
"N",0.0928697828673873,"NF","ZEB1,MIR200"
"N",0.053558883877502,"NF","ZEB1,SNAIL1"
"P",0.00749993872408726,"TS","ZEB1,TGFB"
"N",0.043781980211863,"NF","ZEB1,MIR34"
"N",0.00612438835770775,"NF","ZEB1,MIR190"
"P",0.00604706583258863,"TS","ZEB1,HAS2"
"P",0.00604706583258863,"TS","ZEB1,ESRP1"
"N",0.00395528674548458,"NF","ZEB1,MIR340"
"N",0.00395528674548458,"NF","ZEB1,MIR1199"
"P",0.00604706583258863,"TS","ZEB1,HA"
"P",0.00604706583258863,"TS","ZEB1,CD44s"
"P",0.00604706583258863,"TS","ZEB1,CD24"
"N",0.0345147579283937,"NF","ZEB1,GRHL2"
"P",0.0380302883817042,"DA","MIR200,MIR200"
"P",0.117683140939232,"TS","MIR200,SNAIL1"
"P",0.239125596648951,"TS","MIR200,TGFB"
"N",0.0669609822552501,"NF","MIR200,MIR34"
"P",0.0994006098228069,"TS","MIR200,MIR190"
"P",0.0841601949651133,"DA","MIR200,HAS2"
"P",0.0841601949651133,"DA","MIR200,ESRP1"
"P",0.0851085616669047,"TS","MIR200,MIR340"
"P",0.0851085616669047,"TS","MIR200,MIR1199"
"P",0.0834376755909554,"TS","MIR200,HA"
"P",0.0834376755909554,"TS","MIR200,CD44s"
"P",0.0834376755909554,"TS","MIR200,CD24"
"P",0.0861040232015302,"DA","MIR200,GRHL2"
"P",0.2146434119251,"TS","SNAIL1,SNAIL1"
"N",0.0698004788931149,"NF","SNAIL1,TGFB"
"P",0.0564059315918637,"TS","SNAIL1,MIR34"
"P",0.0138783757373889,"TS","SNAIL1,MIR190"
"P",0.0536318421417348,"DA","SNAIL1,HAS2"
"P",0.0536318421417348,"DA","SNAIL1,ESRP1"
"P",0.0518343019335986,"TS","SNAIL1,MIR340"
"P",0.0518343019335986,"TS","SNAIL1,MIR1199"
"P",0.0492890613862984,"TS","SNAIL1,HA"
"P",0.0492890613862984,"TS","SNAIL1,CD44s"
"P",0.0492890613862984,"TS","SNAIL1,CD24"
"N",0.0533184993100051,"NF","SNAIL1,GRHL2"
"P",0.125344070748648,"DA","TGFB,TGFB"
"N",0.110617873438722,"NF","TGFB,MIR34"
"N",0.1667713645224,"NF","TGFB,MIR190"
"N",0.00423642316794993,"NF","TGFB,HAS2"
"N",0.00423642316794993,"NF","TGFB,ESRP1"
"P",0.00434692187444476,"TS","TGFB,MIR340"
"P",0.00434692187444476,"TS","TGFB,MIR1199"
"P",0.00383278305696404,"TS","TGFB,HA"
"P",0.00383278305696404,"TS","TGFB,CD44s"
"P",0.00383278305696404,"TS","TGFB,CD24"
"N",0.00587072128543142,"NF","TGFB,GRHL2"
"P",0.095891676128796,"TS","MIR34,MIR34"
"P",0.0511237430388895,"TS","MIR34,MIR190"
"P",0.0358833281811959,"DA","MIR34,HAS2"
"P",0.0358833281811959,"DA","MIR34,ESRP1"
"P",0.0368316948829873,"TS","MIR34,MIR340"
"P",0.0368316948829873,"TS","MIR34,MIR1199"
"P",0.0363175560655065,"TS","MIR34,HA"
"P",0.0363175560655065,"TS","MIR34,CD44s"
"P",0.0363175560655065,"TS","MIR34,CD24"
"P",0.0378271564176128,"DA","MIR34,GRHL2"
"P",0.00726521233496948,"TS","MIR190,MIR190"
"N",0.00659752565366922,"NF","MIR190,HAS2"
"N",0.00659752565366922,"NF","MIR190,ESRP1"
"N",0.00770202862733108,"NF","MIR190,MIR340"
"N",0.00770202862733108,"NF","MIR190,MIR1199"
"N",0.0134664396549,"NF","MIR190,HA"
"N",0.0134664396549,"NF","MIR190,CD44s"
"N",0.0134664396549,"NF","MIR190,CD24"
"P",0.0409337260164753,"DA","MIR190,GRHL2"
"P",0.00592983897236896,"DA","HAS2,HAS2"
"P",0.00592983897236896,"DA","HAS2,ESRP1"
"P",0.00703434194603082,"TS","HAS2,MIR340"
"P",0.00703434194603082,"TS","HAS2,MIR1199"
"P",0.0904949017424685,"TS","HAS2,HA"
"N",0.0176439431772242,"NF","HAS2,CD44s"
"N",0.0176439431772242,"NF","HAS2,CD24"
"N",0.0402660393351751,"NF","HAS2,GRHL2"
"P",0.00592983897236896,"DA","ESRP1,ESRP1"
"P",0.00703434194603082,"TS","ESRP1,MIR340"
"P",0.00703434194603082,"TS","ESRP1,MIR1199"
"N",0.0176439431772242,"NF","ESRP1,HA"
"P",0.0904949017424685,"TS","ESRP1,CD44s"
"N",0.0176439431772242,"NF","ESRP1,CD24"
"N",0.0402660393351751,"NF","ESRP1,GRHL2"
"P",0.00813884491969268,"DA","MIR340,MIR340"
"P",0.00813884491969268,"DA","MIR340,MIR1199"
"P",0.00703434194603082,"DA","MIR340,HA"
"P",0.00703434194603082,"DA","MIR340,CD44s"
"P",0.00703434194603082,"DA","MIR340,CD24"
"N",0.0413705423088369,"NF","MIR340,GRHL2"
"P",0.00813884491969268,"DA","MIR1199,MIR1199"
"P",0.00703434194603082,"DA","MIR1199,HA"
"P",0.00703434194603082,"DA","MIR1199,CD44s"
"P",0.00703434194603082,"DA","MIR1199,CD24"
"N",0.0413705423088369,"NF","MIR1199,GRHL2"
"P",0.00592983897236896,"DA","HA,HA"
"P",0.00592983897236896,"DA","HA,CD44s"
"P",0.00592983897236896,"DA","HA,CD24"
"N",0.0446826442196649,"NF","HA,GRHL2"
"P",0.00592983897236896,"DA","CD44s,CD44s"
"P",0.00592983897236896,"DA","CD44s,CD24"
"N",0.0446826442196649,"NF","CD44s,GRHL2"
"P",0.00592983897236896,"DA","CD24,CD24"
"P",0.0634562007000277,"TS","CD24,GRHL2"
"P",0.0746022396979812,"TS","GRHL2,GRHL2"
