"","SNAIL1","MIR129","MIR1199","HAS2","GRHL2","ESRP1","CD44s","CD24","ZEB1","MIR200","MIR34","TGFB","HA","MIR340","MIR190","TWIST1"
"TGFB",-0.0719027709052744,-0.0241984222178838,0.194032290820902,0.194032290820902,0.194032290820902,0.194032290820902,0.191290217127672,0.191290217127672,-0.197666246978031,0.18578343595704,-0.18578343595704,-0.218930709060072,-0.191290217127672,-0.194032290820902,-0.194032290820902,0.0923617017087071
"MIR34",-0.0719027709052744,-0.0241984222178838,0.194032290820902,0.194032290820902,0.194032290820902,0.194032290820902,0.191290217127672,0.191290217127672,-0.197666246978031,0.18578343595704,-0.18578343595704,-0.218930709060072,-0.191290217127672,-0.194032290820902,-0.194032290820902,0.0923617017087071
"MIR190",-0.0715777941179021,-0.0241544274972503,0.191290217127672,0.191290217127672,0.191290217127672,0.191290217127672,0.194297735924664,0.194297735924664,-0.194032290820902,0.181620042398517,-0.181620042398517,-0.118029808159171,-0.194297735924664,-0.191290217127672,-0.191290217127672,0.0866863827469825
"MIR340",0.186958742214669,0.112121548609864,0.0614225839116023,0.0614225839116023,0.0614225839116023,0.0614225839116023,0.0542008336991979,0.0542008336991979,-0.064312068570524,0.0334630294310344,-0.0334630294310344,-0.039716213468749,-0.0542008336991979,-0.0614225839116023,-0.0614225839116023,-0.192037750914141
"MIR1199",0.186958742214669,0.112121548609864,0.0614225839116023,0.0614225839116023,0.0614225839116023,0.0614225839116023,0.0542008336991979,0.0542008336991979,-0.064312068570524,0.0334630294310344,-0.0334630294310344,-0.039716213468749,-0.0542008336991979,-0.0614225839116023,-0.0614225839116023,-0.192037750914141
"HA",0.186958742214669,0.112121548609864,0.0614225839116023,0.0614225839116023,0.0614225839116023,0.0614225839116023,0.0542008336991979,0.0542008336991979,-0.064312068570524,0.0334630294310344,-0.0334630294310344,-0.039716213468749,-0.0542008336991979,-0.0614225839116023,-0.0614225839116023,-0.192037750914141
"CD44s",0.186958742214669,0.112121548609864,0.0614225839116023,0.0614225839116023,0.0614225839116023,0.0614225839116023,0.0542008336991979,0.0542008336991979,-0.064312068570524,0.0334630294310344,-0.0334630294310344,-0.039716213468749,-0.0542008336991979,-0.0614225839116023,-0.0614225839116023,-0.192037750914141
"ESRP1",0.18393130607465,0.109655795185207,0.0542008336991979,0.0542008336991979,0.0542008336991979,0.0542008336991979,0.155473098330241,0.0554730983302412,-0.0614225839116023,0.0278782032982631,-0.0278782032982631,-0.0374939912465267,-0.0554730983302412,-0.0542008336991979,-0.0542008336991979,-0.194503504338798
"MIR129",-0.136992022057991,-0.122931047356654,0.038711245283143,0.038711245283143,0.038711245283143,0.038711245283143,0.0394564017660044,0.0394564017660044,-0.0389367526747742,0.0947756127318784,-0.0947756127318784,-0.0770212718422742,-0.0394564017660044,-0.038711245283143,-0.038711245283143,0.0293128967412778
"ZEB1",-0.190540637362829,-0.114957322994408,-0.064312068570524,-0.064312068570524,-0.064312068570524,-0.064312068570524,-0.0614225839116023,-0.0614225839116023,-0.034068292028437,-0.0340662098368103,0.0340662098368103,0.0459275955825701,0.0614225839116023,0.064312068570524,0.064312068570524,0.194873525298684
"MIR200",0.179903505661867,0.0921304443766796,0.032009306054523,0.032009306054523,0.032009306054523,0.032009306054523,0.0264903187127509,0.0264903187127509,-0.0325891689960096,-0.056322364170476,0.056322364170476,-0.037669990103851,-0.0264903187127509,-0.032009306054523,-0.032009306054523,-0.180105882670308
"GRHL2",0.119943294293827,0.0894840850373911,-0.00758527669682503,-0.00758527669682503,-0.00758527669682503,-0.00758527669682503,-0.0133177607732582,0.0866822392267418,0.00732060973608397,-0.02244789955697,0.02244789955697,0.0190427653920298,0.0133177607732582,0.00758527669682503,0.00758527669682503,-0.132967388561472
"TWIST1",0.137554667865594,0.123375724311925,-0.0389367526747742,-0.0389367526747742,-0.0389367526747742,-0.0389367526747742,-0.038711245283143,-0.038711245283143,0.0403285411229301,-0.0959151261288602,0.0959151261288602,0.0775002800135901,0.038711245283143,0.0389367526747742,0.0389367526747742,-0.131614151971403
"HAS2",-0.18393130607465,-0.109655795185207,-0.0542008336991979,-0.0542008336991979,-0.0542008336991979,-0.0542008336991979,-0.0554730983302412,-0.0554730983302412,0.0614225839116023,-0.0278782032982631,0.0278782032982631,0.0374939912465267,-0.0445269016697588,0.0542008336991979,0.0542008336991979,0.194503504338798
"CD24",-0.186958742214669,-0.112121548609864,-0.0614225839116023,-0.0614225839116023,-0.0614225839116023,-0.0614225839116023,-0.0542008336991979,-0.0542008336991979,0.064312068570524,-0.0334630294310344,0.0334630294310344,0.039716213468749,0.0542008336991979,0.0614225839116023,0.0614225839116023,0.192037750914141
"SNAIL1",-0.0304395426289809,0.0224509674237795,-0.197666246978031,-0.197666246978031,-0.197666246978031,-0.197666246978031,-0.194032290820902,-0.194032290820902,0.199636341946711,-0.188133728618003,0.188133728618003,0.222554957394218,0.194032290820902,0.197666246978031,0.197666246978031,-0.0925896305948946
