"","MIR34","HA","CD24","MIR340","MIR190","GRHL2","ESRP1","TWIST1","MIR129","TGFB","ZEB1","MIR200","MIR1199","HAS2","CD44s","SNAIL1"
"TWIST1",0.335631113839162,0.259777378332231,0.259777378332231,0.260654351521908,0.260654351521908,0.260654351521908,0.260654351521908,0.231251367358697,0.0868270999926077,-0.127504313902943,-0.261002298633947,0.0647375250275962,-0.260654351521908,-0.260654351521908,-0.259777378332231,-0.456562563105548
"TGFB",0.348176852639934,0.162953870272834,0.162953870272834,0.166038703177718,0.166038703177718,0.166038703177718,0.166038703177718,0.212804678346642,0.212804678346642,-0.204383625474201,-0.166553636236421,0.176028506806596,-0.166038703177718,-0.166038703177718,-0.162953870272834,-0.451916161053496
"MIR34",0.348176852639934,0.162953870272834,0.162953870272834,0.166038703177718,0.166038703177718,0.166038703177718,0.166038703177718,0.212804678346642,0.212804678346642,-0.204383625474201,-0.166553636236421,0.176028506806596,-0.166038703177718,-0.166038703177718,-0.162953870272834,-0.451916161053496
"ESRP1",0.175960159174578,0.146753246753247,0.146753246753247,0.160239251842305,0.160239251842305,0.160239251842305,0.160239251842305,0.122281357857828,0.122281357857828,-0.0293540806725391,-0.155566354646044,-0.0759005840094383,-0.160239251842305,-0.160239251842305,-0.246753246753247,-0.180414274311524
"MIR1199",0.174379548004926,0.160239251842305,0.160239251842305,0.155566354646044,0.155566354646044,0.155566354646044,0.155566354646044,0.124747111282486,0.124747111282486,-0.0298371724599787,-0.153570525036273,-0.0716856208903656,-0.155566354646044,-0.155566354646044,-0.160239251842305,-0.18372553258967
"HA",0.174379548004926,0.160239251842305,0.160239251842305,0.155566354646044,0.155566354646044,0.155566354646044,0.155566354646044,0.124747111282486,0.124747111282486,-0.0298371724599787,-0.153570525036273,-0.0716856208903656,-0.155566354646044,-0.155566354646044,-0.160239251842305,-0.18372553258967
"CD24",0.174379548004926,0.160239251842305,0.160239251842305,0.155566354646044,0.155566354646044,0.155566354646044,0.155566354646044,0.124747111282486,0.124747111282486,-0.0298371724599787,-0.153570525036273,-0.0716856208903656,-0.155566354646044,-0.155566354646044,-0.160239251842305,-0.18372553258967
"GRHL2",-0.028173076029864,-0.019282513685655,0.080717486314345,-0.0124035327939353,-0.0124035327939353,-0.0124035327939353,-0.0124035327939353,-0.0933038304295495,-0.0933038304295495,0.0142817092123787,0.0121388658331942,-0.0237529666616176,0.0124035327939353,0.0124035327939353,0.019282513685655,0.117725386988359
"ZEB1",-0.174434382587269,-0.155566354646044,-0.155566354646044,-0.153570525036273,-0.153570525036273,-0.153570525036273,-0.153570525036273,-0.126087092585072,-0.126087092585072,0.03065018059006,0.0570440912988787,0.0691815082966898,0.153570525036273,0.153570525036273,0.155566354646044,0.184734975767787
"MIR340",-0.174379548004926,-0.160239251842305,-0.160239251842305,-0.155566354646044,-0.155566354646044,-0.155566354646044,-0.155566354646044,-0.124747111282486,-0.124747111282486,0.0298371724599787,0.153570525036273,0.0716856208903656,0.155566354646044,0.155566354646044,0.160239251842305,0.18372553258967
"CD44s",-0.174379548004926,-0.160239251842305,-0.160239251842305,-0.155566354646044,-0.155566354646044,-0.155566354646044,-0.155566354646044,-0.124747111282486,-0.124747111282486,0.0298371724599787,0.153570525036273,0.0716856208903656,0.155566354646044,0.155566354646044,0.160239251842305,0.18372553258967
"HAS2",-0.175960159174578,-0.246753246753247,-0.146753246753247,-0.160239251842305,-0.160239251842305,-0.160239251842305,-0.160239251842305,-0.122281357857828,-0.122281357857828,0.0293540806725391,0.155566354646044,0.0759005840094383,0.160239251842305,0.160239251842305,0.146753246753247,0.180414274311524
"MIR190",-0.343751610429931,-0.16069823117509,-0.16069823117509,-0.162953870272834,-0.162953870272834,-0.162953870272834,-0.162953870272834,-0.209329095416593,-0.209329095416593,0.102155081140393,0.166038703177718,-0.175373885177898,0.162953870272834,0.162953870272834,0.16069823117509,0.448480692158417
"SNAIL1",-0.349824758988425,-0.166038703177718,-0.166038703177718,-0.166553636236421,-0.166553636236421,-0.166553636236421,-0.166553636236421,-0.213853151223104,-0.213853151223104,0.205960092238381,0.166755697258849,-0.177046066464408,0.166553636236421,0.166553636236421,0.166038703177718,0.354706152259827
"MIR200",-0.328944779791621,-0.170778682506041,-0.170778682506041,-0.168905264784522,-0.168905264784522,-0.168905264784522,-0.168905264784522,-0.202296645784769,-0.202296645784769,0.0562537488415318,0.16899312280596,-0.0576162987611945,0.168905264784522,0.168905264784522,0.170778682506041,0.360492232212159
"MIR129",-0.33230496662635,-0.254412251655629,-0.254412251655629,-0.259777378332231,-0.259777378332231,-0.259777378332231,-0.259777378332231,-0.327119568195518,-0.0827203775233427,0.125391042558903,0.260654351521908,-0.0624892958930104,0.259777378332231,0.259777378332231,0.254412251655629,0.452541704041461
