"","MIR129","SNAIL1","HA","CD44s","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","MIR200","TGFB","ZEB1","ESRP1","MIR34","TWIST1"
"TWIST1",-0.45817111100983,-0.295641774582794,0.474781988268309,0.474781988268309,0.474781988268309,0.484178129586274,0.484178129586274,0.484178129586274,0.484178129586274,0.484178129586274,0.411093235229448,0.0938911769430098,-0.489066786510422,-0.484178129586274,-0.129011323909381,0.360022406648087
"MIR34",-0.461095117856145,-0.395929695757434,0.460051555688228,0.460051555688228,0.460051555688228,0.476332618241784,0.476332618241784,0.476332618241784,0.476332618241784,0.476332618241784,0.505324522761985,0.195590535737984,-0.486028072118494,-0.476332618241784,-0.018055934244886,0.461095117856145
"MIR190",-0.46289890140212,-0.401964978951492,0.434738272480208,0.434738272480208,0.434738272480208,0.460051555688228,0.460051555688228,0.460051555688228,0.460051555688228,0.460051555688228,0.49723339943127,0.0959224465962102,-0.476332618241784,-0.460051555688228,-0.00624656006316304,0.46289890140212
"GRHL2",0.326212350159281,0.303277662032317,0.30122659268209,0.30122659268209,0.40122659268209,0.291035509879542,0.291035509879542,0.291035509879542,0.291035509879542,0.291035509879542,0.179942479274457,-0.049727316196893,-0.28133105465237,-0.291035509879542,-0.356979889552828,-0.326212350159281
"HAS2",0.292931766272943,0.273450656932895,0.300463821892393,0.200463821892393,0.200463821892393,0.190540157770256,0.190540157770256,0.190540157770256,0.190540157770256,0.190540157770256,0.0838081454910564,-0.0432685412401437,-0.18025978393848,-0.190540157770256,-0.242026949836895,-0.292931766272943
"MIR1199",0.307452314218148,0.280167780868562,0.190540157770256,0.190540157770256,0.190540157770256,0.18025978393848,0.18025978393848,0.18025978393848,0.18025978393848,0.18025978393848,0.0732707376933747,-0.0474231306121244,-0.170757251915841,-0.18025978393848,-0.239814094199381,-0.307452314218148
"HA",0.307452314218148,0.280167780868562,0.190540157770256,0.190540157770256,0.190540157770256,0.18025978393848,0.18025978393848,0.18025978393848,0.18025978393848,0.18025978393848,0.0732707376933747,-0.0474231306121244,-0.170757251915841,-0.18025978393848,-0.239814094199381,-0.307452314218148
"CD44s",0.307452314218148,0.280167780868562,0.190540157770256,0.190540157770256,0.190540157770256,0.18025978393848,0.18025978393848,0.18025978393848,0.18025978393848,0.18025978393848,0.0732707376933747,-0.0474231306121244,-0.170757251915841,-0.18025978393848,-0.239814094199381,-0.307452314218148
"CD24",0.307452314218148,0.280167780868562,0.190540157770256,0.190540157770256,0.190540157770256,0.18025978393848,0.18025978393848,0.18025978393848,0.18025978393848,0.18025978393848,0.0732707376933747,-0.0474231306121244,-0.170757251915841,-0.18025978393848,-0.239814094199381,-0.307452314218148
"MIR200",0.439067120700288,0.394540118969932,0.0120930937300218,0.0120930937300218,0.0120930937300218,-0.00426133664972506,-0.00426133664972506,-0.00426133664972506,-0.00426133664972506,-0.00426133664972506,-0.168056467729148,-0.0645057817373376,0.0165438880466676,0.00426133664972506,-0.245440269198028,-0.439067120700288
"ZEB1",-0.316832183336254,-0.283684550650392,-0.18025978393848,-0.18025978393848,-0.18025978393848,-0.170757251915841,-0.170757251915841,-0.170757251915841,-0.170757251915841,-0.170757251915841,-0.0648444902066263,0.0499922363031813,0.0632294939449741,0.170757251915841,0.236578853841129,0.316832183336254
"MIR340",-0.307452314218148,-0.280167780868562,-0.190540157770256,-0.190540157770256,-0.190540157770256,-0.18025978393848,-0.18025978393848,-0.18025978393848,-0.18025978393848,-0.18025978393848,-0.0732707376933747,0.0474231306121244,0.170757251915841,0.18025978393848,0.239814094199381,0.307452314218148
"ESRP1",-0.292931766272943,-0.273450656932895,-0.200463821892393,-0.300463821892393,-0.200463821892393,-0.190540157770256,-0.190540157770256,-0.190540157770256,-0.190540157770256,-0.190540157770256,-0.0838081454910564,0.0432685412401437,0.18025978393848,0.190540157770256,0.242026949836895,0.292931766272943
"MIR129",0.463010242581893,0.30177598619251,-0.458239514348786,-0.458239514348786,-0.458239514348786,-0.474781988268309,-0.474781988268309,-0.474781988268309,-0.474781988268309,-0.474781988268309,-0.40770549269788,-0.0951591397494341,0.484178129586274,0.474781988268309,0.120849944174241,-0.464834122129259
"TGFB",0.461095117856145,0.395929695757434,-0.460051555688228,-0.460051555688228,-0.460051555688228,-0.476332618241784,-0.476332618241784,-0.476332618241784,-0.476332618241784,-0.476332618241784,-0.505324522761985,-0.195590535737984,0.486028072118494,0.476332618241784,0.018055934244886,-0.461095117856145
"SNAIL1",0.456521344873316,0.289973983869993,-0.476332618241784,-0.476332618241784,-0.476332618241784,-0.486028072118494,-0.486028072118494,-0.486028072118494,-0.486028072118494,-0.486028072118494,-0.50891749889886,-0.194436627075542,0.491049288525849,0.486028072118494,0.0263314857982403,-0.456521344873316
